"","fit_metric","method","cc","fit_type","corr","pval","signif"
"1","surv","lea_offset","full","abs",0.0547722557505166,0.779668207985795,FALSE
"2","surv","lea_offset","full","rel",0.0547722557505166,0.779668207985795,FALSE
"3","surv","lea_offset","full","cf_abs",-0.0547722557505166,0.779668207985795,FALSE
"4","surv","lea_offset","full","cf_rel",0.0547722557505166,0.779668207985795,FALSE
"5","len","lea_offset","full","abs",-0.14142135623731,0.583882420770365,FALSE
"6","len","lea_offset","full","rel",0.0471404520791032,0.855132140584706,FALSE
"7","len","lea_offset","full","cf_abs",0.0471404520791032,0.855132140584706,FALSE
"8","len","lea_offset","full","cf_rel",0.0471404520791032,0.855132140584706,FALSE
"9","weigh","lea_offset","full","abs",-0.612825877028341,0.0176220909623244,TRUE
"10","weigh","lea_offset","full","rel",-0.14142135623731,0.583882420770365,FALSE
"11","weigh","lea_offset","full","cf_abs",0.0471404520791032,0.855132140584706,FALSE
"12","weigh","lea_offset","full","cf_rel",-0.14142135623731,0.583882420770365,FALSE
"13","surv","lea_offset","mll","abs",0.0547722557505166,0.779668207985795,FALSE
"14","surv","lea_offset","mll","rel",0.0547722557505166,0.779668207985795,FALSE
"15","surv","lea_offset","mll","cf_abs",-0.0547722557505166,0.779668207985795,FALSE
"16","surv","lea_offset","mll","cf_rel",0.0547722557505166,0.779668207985795,FALSE
"17","len","lea_offset","mll","abs",-0.188561808316413,0.465208818452142,FALSE
"18","len","lea_offset","mll","rel",0,1,FALSE
"19","len","lea_offset","mll","cf_abs",0,1,FALSE
"20","len","lea_offset","mll","cf_rel",0,1,FALSE
"21","weigh","lea_offset","mll","abs",-0.754247233265651,0.00348700489214139,TRUE
"22","weigh","lea_offset","mll","rel",-0.188561808316413,0.465208818452142,FALSE
"23","weigh","lea_offset","mll","cf_abs",0,1,FALSE
"24","weigh","lea_offset","mll","cf_rel",-0.188561808316413,0.465208818452142,FALSE
"25","surv","rda_offset","full","abs",0,1,FALSE
"26","surv","rda_offset","full","rel",0,1,FALSE
"27","surv","rda_offset","full","cf_abs",0,1,FALSE
"28","surv","rda_offset","full","cf_rel",0,1,FALSE
"29","len","rda_offset","full","abs",0,1,FALSE
"30","len","rda_offset","full","rel",0,1,FALSE
"31","len","rda_offset","full","cf_abs",0,1,FALSE
"32","len","rda_offset","full","cf_rel",0,1,FALSE
"33","weigh","rda_offset","full","abs",0,1,FALSE
"34","weigh","rda_offset","full","rel",0,1,FALSE
"35","weigh","rda_offset","full","cf_abs",0,1,FALSE
"36","weigh","rda_offset","full","cf_rel",0,1,FALSE
"37","surv","rda_offset","mll","abs",0.0547722557505166,0.779668207985795,FALSE
"38","surv","rda_offset","mll","rel",0.0547722557505166,0.779668207985795,FALSE
"39","surv","rda_offset","mll","cf_abs",0.0182574185835055,0.925704571167075,FALSE
"40","surv","rda_offset","mll","cf_rel",0.0547722557505166,0.779668207985795,FALSE
"41","len","rda_offset","mll","abs",0.0471404520791032,0.855132140584706,FALSE
"42","len","rda_offset","mll","rel",0.0471404520791032,0.855132140584706,FALSE
"43","len","rda_offset","mll","cf_abs",0.0471404520791032,0.855132140584706,FALSE
"44","len","rda_offset","mll","cf_rel",0.0471404520791032,0.855132140584706,FALSE
"45","weigh","rda_offset","mll","abs",0.0471404520791032,0.855132140584706,FALSE
"46","weigh","rda_offset","mll","rel",0.0471404520791032,0.855132140584706,FALSE
"47","weigh","rda_offset","mll","cf_abs",0.0471404520791032,0.855132140584706,FALSE
"48","weigh","rda_offset","mll","cf_rel",0.0471404520791032,0.855132140584706,FALSE
"49","surv","gf_offset","full","abs",-0.127801930084539,0.513915292328084,FALSE
"50","surv","gf_offset","full","rel",-0.127801930084539,0.513915292328084,FALSE
"51","surv","gf_offset","full","cf_abs",-0.273861278752583,0.161885801206774,FALSE
"52","surv","gf_offset","full","cf_rel",-0.127801930084539,0.513915292328084,FALSE
"53","len","gf_offset","full","abs",-0.329983164553722,0.201242620957724,FALSE
"54","len","gf_offset","full","rel",-0.14142135623731,0.583882420770365,FALSE
"55","len","gf_offset","full","cf_abs",-0.14142135623731,0.583882420770365,FALSE
"56","len","gf_offset","full","cf_rel",-0.14142135623731,0.583882420770365,FALSE
"57","weigh","gf_offset","full","abs",-0.518544972870135,0.0446097180249396,TRUE
"58","weigh","gf_offset","full","rel",-0.424264068711929,0.100348246462291,FALSE
"59","weigh","gf_offset","full","cf_abs",-0.0471404520791032,0.855132140584706,FALSE
"60","weigh","gf_offset","full","cf_rel",-0.424264068711929,0.100348246462291,FALSE
"61","surv","gf_offset","mll","abs",-0.0365148371670111,0.852051924801413,FALSE
"62","surv","gf_offset","mll","rel",-0.0365148371670111,0.852051924801413,FALSE
"63","surv","gf_offset","mll","cf_abs",-0.146059348668044,0.455665091393344,FALSE
"64","surv","gf_offset","mll","cf_rel",-0.0365148371670111,0.852051924801413,FALSE
"65","len","gf_offset","mll","abs",-0.282842712474619,0.273321678292298,FALSE
"66","len","gf_offset","mll","rel",-0.0942809041582063,0.715000654688089,FALSE
"67","len","gf_offset","mll","cf_abs",-0.0942809041582063,0.715000654688089,FALSE
"68","len","gf_offset","mll","cf_rel",-0.0942809041582063,0.715000654688089,FALSE
"69","weigh","gf_offset","mll","abs",-0.659966329107444,0.0105871373340569,TRUE
"70","weigh","gf_offset","mll","rel",-0.282842712474619,0.273321678292298,FALSE
"71","weigh","gf_offset","mll","cf_abs",-0.0942809041582063,0.715000654688089,FALSE
"72","weigh","gf_offset","mll","cf_rel",-0.282842712474619,0.273321678292298,FALSE
"73","surv","env_dist","full","abs",-0.0365148371670111,0.852051924801413,FALSE
"74","surv","env_dist","full","rel",-0.0365148371670111,0.852051924801413,FALSE
"75","surv","env_dist","full","cf_abs",-0.273861278752583,0.161885801206774,FALSE
"76","surv","env_dist","full","cf_rel",-0.0365148371670111,0.852051924801413,FALSE
"77","len","env_dist","full","abs",-0.282842712474619,0.273321678292298,FALSE
"78","len","env_dist","full","rel",-0.0942809041582063,0.715000654688089,FALSE
"79","len","env_dist","full","cf_abs",-0.0942809041582063,0.715000654688089,FALSE
"80","len","env_dist","full","cf_rel",-0.0942809041582063,0.715000654688089,FALSE
"81","weigh","env_dist","full","abs",-0.659966329107444,0.0105871373340569,TRUE
"82","weigh","env_dist","full","rel",-0.282842712474619,0.273321678292298,FALSE
"83","weigh","env_dist","full","cf_abs",-0.0942809041582063,0.715000654688089,FALSE
"84","weigh","env_dist","full","cf_rel",-0.282842712474619,0.273321678292298,FALSE
"85","surv","env_dist","mll","abs",-0.0365148371670111,0.852051924801413,FALSE
"86","surv","env_dist","mll","rel",-0.0365148371670111,0.852051924801413,FALSE
"87","surv","env_dist","mll","cf_abs",-0.273861278752583,0.161885801206774,FALSE
"88","surv","env_dist","mll","cf_rel",-0.0365148371670111,0.852051924801413,FALSE
"89","len","env_dist","mll","abs",-0.282842712474619,0.273321678292298,FALSE
"90","len","env_dist","mll","rel",-0.0942809041582063,0.715000654688089,FALSE
"91","len","env_dist","mll","cf_abs",-0.0942809041582063,0.715000654688089,FALSE
"92","len","env_dist","mll","cf_rel",-0.0942809041582063,0.715000654688089,FALSE
"93","weigh","env_dist","mll","abs",-0.659966329107444,0.0105871373340569,TRUE
"94","weigh","env_dist","mll","rel",-0.282842712474619,0.273321678292298,FALSE
"95","weigh","env_dist","mll","cf_abs",-0.0942809041582063,0.715000654688089,FALSE
"96","weigh","env_dist","mll","cf_rel",-0.282842712474619,0.273321678292298,FALSE
