"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"1","AHU",351,"AHU-01","01","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"2","AHU",366,"AHU-02","02","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"3","AHU",366,"AHU-03","03","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"4","AHU",366,"AHU-04","04","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"5","AHU",366,"AHU-06","06","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"6","AHU",366,"AHU-07","07","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"7","AHU",351,"AHU-08","08","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"8","AHU",361,"AHU-09","09","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"9","AHU",361,"AHU-10","10","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"10","AHU",361,"AHU-11","11","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"11","AHU",367,"AHU-13","13","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"12","AHU",366,"AHU-14","14","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"13","AHU",366,"AHU-15","15","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"14","AHU",366,"AHU-16","16","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"15","AHU",367,"AHU-17","17","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"16","AHU",367,"AHU-18","18","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"17","AHU",366,"AHU-19","19","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"18","AHU",366,"AHU-20","20","Kristianstad","Åhus",14402056,55973569,-0.451463586881927,-0.522363384199117
"19","ALA",219,"ALA-01","01","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"20","ALA",222,"ALA-02","02","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"21","ALA",230,"ALA-03","03","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"22","ALA",220,"ALA-04","04","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"23","ALA",230,"ALA-07","07","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"24","ALA",230,"ALA-08","08","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"25","ALA",229,"ALA-09","09","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"26","ALA",230,"ALA-10","10","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"27","ALA",231,"ALA-11","11","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"28","ALA",230,"ALA-12","12","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"29","ALA",233,"ALA-13","13","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"30","ALA",234,"ALA-14","14","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"31","ALA",236,"ALA-15","15","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"32","ALA",236,"ALA-16","16","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"33","ALA",237,"ALA-17","17","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"34","ALA",238,"ALA-18","18","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"35","ALA",239,"ALA-19","19","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"36","ALA",240,"ALA-20","20","Øresund","Ålabadarna",12771034,55940683,0.482321424915461,0.958217719250326
"37","BAD",519,"BAD-03","03","Öland","Bödagården",17058547,57259256,0.0154289190167668,-0.6868723956935
"38","BAD",519,"BAD-04","04","Öland","Bödagården",17058547,57259256,0.0154289190167668,-0.6868723956935
"39","BAD",519,"BAD-05","05","Öland","Bödagården",17058547,57259256,0.0154289190167668,-0.6868723956935
"40","BAD",520,"BAD-06","06","Öland","Bödagården",17058547,57259256,0.0154289190167668,-0.6868723956935
"41","BAD",519,"BAD-08","08","Öland","Bödagården",17058547,57259256,0.0154289190167668,-0.6868723956935
