bagKey,tank_ID,trt,bagnum_text,PopID,new_label,bagnum_num,genetID,DNA_label,temp_full,sal_full,gen,genet,board
871C9089,A1,TempControl-21psu,001,HOR,001_A1_HOR_gen-01_TempControl-21psu,1,1,HOR_gen-01,TempControl,21psu,gen-01,HOR-01,1
6D4F9AB3,A1,TempControl-21psu,002,KUR,002_A1_KUR_gen-01_TempControl-21psu,2,1,KUR_gen-01,TempControl,21psu,gen-01,KUR-01,1
A622BDC6,A1,TempControl-21psu,003,BAR,003_A1_BAR_gen-01_TempControl-21psu,3,1,BAR_gen-01,TempControl,21psu,gen-01,BAR-01,1
A96C6176,A1,TempControl-21psu,004,HOG,004_A1_HOG_gen-01_TempControl-21psu,4,1,HOG_gen-01,TempControl,21psu,gen-01,HOG-01,1
D58072B0,A1,TempControl-21psu,005,VIK,005_A1_VIK_gen-01_TempControl-21psu,5,1,VIK_gen-01,TempControl,21psu,gen-01,VIK-01,1
3E6FDEC4,A1,TempControl-21psu,006,VAT,006_A1_VAT_gen-01_TempControl-21psu,6,1,VAT_gen-01,TempControl,21psu,gen-01,VAT-01,1
0F56358C,A1,TempControl-21psu,007,KAL,007_A1_KAL_gen-01_TempControl-21psu,7,1,KAL_gen-01,TempControl,21psu,gen-01,KAL-01,1
6A6DBE63,A1,TempControl-21psu,008,BJO,008_A1_BJO_gen-01_TempControl-21psu,8,1,BJO_gen-01,TempControl,21psu,gen-01,BJO-01,1
FC8888C3,A1,TempControl-7psu,009,KAL,009_A1_KAL_gen-02_TempControl-7psu,9,2,KAL_gen-02,TempControl,7psu,gen-02,KAL-02,2
9F479928,A1,TempControl-7psu,010,KUR,010_A1_KUR_gen-02_TempControl-7psu,10,2,KUR_gen-02,TempControl,7psu,gen-02,KUR-02,2
7350357C,A1,TempControl-7psu,011,BJO,011_A1_BJO_gen-02_TempControl-7psu,11,2,BJO_gen-02,TempControl,7psu,gen-02,BJO-02,2
5A20C34C,A1,TempControl-7psu,012,VIK,012_A1_VIK_gen-02_TempControl-7psu,12,2,VIK_gen-02,TempControl,7psu,gen-02,VIK-02,2
C6683E66,A1,TempControl-7psu,013,VAT,013_A1_VAT_gen-02_TempControl-7psu,13,2,VAT_gen-02,TempControl,7psu,gen-02,VAT-02,2
D2F3A374,A1,TempControl-7psu,014,HOR,014_A1_HOR_gen-02_TempControl-7psu,14,2,HOR_gen-02,TempControl,7psu,gen-02,HOR-02,2
DF59D6C9,A1,TempControl-7psu,015,HOG,015_A1_HOG_gen-02_TempControl-7psu,15,2,HOG_gen-02,TempControl,7psu,gen-02,HOG-02,2
7CEB63EA,A1,TempControl-7psu,016,BAR,016_A1_BAR_gen-02_TempControl-7psu,16,2,BAR_gen-02,TempControl,7psu,gen-02,BAR-02,2
821A0DAE,A1,TempControl-21psu,017,VIK,017_A1_VIK_gen-03_TempControl-21psu,17,3,VIK_gen-03,TempControl,21psu,gen-03,VIK-03,3
732AA4DD,A1,TempControl-21psu,018,HOG,018_A1_HOG_gen-03_TempControl-21psu,18,3,HOG_gen-03,TempControl,21psu,gen-03,HOG-03,3
