"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"1","AHU",351,"AHU-01","01","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"2","AHU",366,"AHU-02","02","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"3","AHU",361,"AHU-09","09","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"4","AHU",367,"AHU-13","13","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"5","ALA",219,"ALA-01","01","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"6","ALA",222,"ALA-02","02","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"7","ALA",230,"ALA-03","03","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"8","ALA",220,"ALA-04","04","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"9","ALA",229,"ALA-09","09","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"10","ALA",231,"ALA-11","11","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"11","ALA",233,"ALA-13","13","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"12","ALA",234,"ALA-14","14","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"13","ALA",236,"ALA-15","15","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"14","ALA",237,"ALA-17","17","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"15","ALA",238,"ALA-18","18","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"16","ALA",239,"ALA-19","19","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"17","ALA",240,"ALA-20","20","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"18","BAD",519,"BAD-03","03","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"19","BAD",520,"BAD-06","06","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"20","BAD",526,"BAD-16","16","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"21","BAD",533,"BAD-17","17","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"22","BAR",241,"BAR-01","01","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
