"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"1","AHU",351,"AHU-01","01","Kristianstad","Åhus",14402056,55973569,-1.12395337498965,-1.08129363946381
"2","AHU",366,"AHU-02","02","Kristianstad","Åhus",14402056,55973569,-1.12395337498965,-1.08129363946381
"3","AHU",361,"AHU-09","09","Kristianstad","Åhus",14402056,55973569,-1.12395337498965,-1.08129363946381
"4","AHU",367,"AHU-13","13","Kristianstad","Åhus",14402056,55973569,-1.12395337498965,-1.08129363946381
"5","ALA",219,"ALA-01","01","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"6","ALA",222,"ALA-02","02","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"7","ALA",230,"ALA-03","03","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"8","ALA",220,"ALA-04","04","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"9","ALA",229,"ALA-09","09","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"10","ALA",231,"ALA-11","11","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"11","ALA",233,"ALA-13","13","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"12","ALA",234,"ALA-14","14","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"13","ALA",236,"ALA-15","15","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"14","ALA",237,"ALA-17","17","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"15","ALA",238,"ALA-18","18","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"16","ALA",239,"ALA-19","19","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"17","ALA",240,"ALA-20","20","Øresund","Ålabadarna",12771034,55940683,0.165130590638291,0.288722385406568
"18","BAD",519,"BAD-03","03","Öland","Bödagården",17058547,57259256,-0.479411392175681,-1.23351764222719
"19","BAD",520,"BAD-06","06","Öland","Bödagården",17058547,57259256,-0.479411392175681,-1.23351764222719
"20","BAD",526,"BAD-16","16","Öland","Bödagården",17058547,57259256,-0.479411392175681,-1.23351764222719
"21","BAD",533,"BAD-17","17","Öland","Bödagården",17058547,57259256,-0.479411392175681,-1.23351764222719
"22","BAR",241,"BAR-01","01","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"23","BAR",244,"BAR-02","02","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"24","BAR",247,"BAR-03","03","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"25","BAR",250,"BAR-06","06","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"26","BAR",251,"BAR-07","07","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"27","BAR",255,"BAR-10","10","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"28","BAR",258,"BAR-14","14","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"29","BAR",259,"BAR-15","15","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"30","BAR",260,"BAR-16","16","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"31","BAR",261,"BAR-17","17","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"32","BAR",262,"BAR-18","18","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"33","BAR",263,"BAR-19","19","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"34","BAR",264,"BAR-20","20","Barsebäck","Barsebäck hamn",1290189,5575528,-0.479411392175681,0.288722385406568
"35","BJN",394,"BJN-02","02","Karlskrona","Björkenäs",15925111,56159447,-1.76849535780363,-1.08129363946381
"36","BJO",703,"BJO-01","01","Östersjö","Björkö",1907867998,5983484289,0.165130590638291,-1.38574164499056
"37","BLA",404,"BLA-01","01","Öland","Bläsinge",16704923,56621246,-3.70212130624554,-1.08129363946381
"38","BUR",489,"BUR-01","01","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"39","BUR",491,"BUR-03","03","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"40","BUR",493,"BUR-05","05","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"41","BUR",494,"BUR-06","06","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"42","BUR",496,"BUR-07","07","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"43","BUR",498,"BUR-09","09","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"44","BUR",499,"BUR-10","10","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"45","BUR",501,"BUR-11","11","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"46","BUR",504,"BUR-13","13","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"47","BUR",507,"BUR-14","14","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"48","BUR",508,"BUR-16","16","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"49","BUR",509,"BUR-17","17","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"50","BUR",511,"BUR-18","18","Gotland","Burgsvik",18223786,57032289,0.809672573452264,-1.23351764222719
"51","EKO",615,"EKO-01","01","Valdemarsvik","Ekön",16854798,58175265,-3.05757932343157,-1.23351764222719
"52","EKO",624,"EKO-09","09","Valdemarsvik","Ekön",16854798,58175265,-3.05757932343157,-1.23351764222719
"53","FUR",383,"FUR-02","02","Pukaviksbukten","Furumon",1472029998,560954,-1.76849535780363,-1.08129363946381
"54","FUR",379,"FUR-18","18","Pukaviksbukten","Furumon",1472029998,560954,-1.76849535780363,-1.08129363946381
"55","GAL",669,"GAL-01","01","Haninge","Gålö",1832692339,5909087305,0.809672573452264,-1.23351764222719
"56","GAL",687,"GAL-16","16","Haninge","Gålö",1832692339,5909087305,0.809672573452264,-1.23351764222719
"57","GAS",44,"GAS-01","01","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
