"","pop","trt","bagnum_text","ind_dists"
"1","HOR","TempControl-21psu",1,6.83952563342343
"2","KUR","TempControl-21psu",2,6.04546929319623
"3","BAR","TempControl-21psu",3,5.96688203118289
"4","HOG","TempControl-21psu",4,5.82352725410493
"5","VIK","TempControl-21psu",5,3.93879679882129
"6","VAT","TempControl-21psu",6,5.65690161074356
"7","KAL","TempControl-21psu",7,6.30119698364129
"8","BJO","TempControl-21psu",8,7.6608462810634
"9","KAL","TempControl-7psu",9,0.681162301594915
"10","KUR","TempControl-7psu",10,1.62997694290438
"11","BJO","TempControl-7psu",11,3.63924930679916
"12","VIK","TempControl-7psu",12,3.11325972035892
"13","VAT","TempControl-7psu",13,4.63082276340362
"14","HOR","TempControl-7psu",14,2.53967850791319
"15","HOG","TempControl-7psu",15,2.69154679356817
"16","BAR","TempControl-7psu",16,2.60079942046107
"17","VIK","TempControl-21psu",17,3.97437505611337
"18","HOG","TempControl-21psu",18,5.74983216602325
"19","VAT","TempControl-21psu",19,5.65690161074356
"20","BJO","TempControl-21psu",20,7.62983851983422
"21","BAR","TempControl-21psu",21,5.96688203118289
"22","KAL","TempControl-21psu",22,6.2601130410608
"23","HOR","TempControl-21psu",23,6.83349310703897
"24","KUR","TempControl-21psu",24,6.03935759135416
"25","VAT","TempControl-7psu",25,4.61266548956956
"26","HOG","TempControl-7psu",26,2.69154679356817
"27","VIK","TempControl-7psu",27,3.11325972035892
"28","BAR","TempControl-7psu",28,2.61092849751625
"29","KUR","TempControl-7psu",29,1.62579085828021
"30","KAL","TempControl-7psu",30,0.681162301594915
"31","HOR","TempControl-7psu",31,2.56354574307667
"32","BJO","TempControl-7psu",32,3.616448793727
"33","VIK","TempControl-21psu",33,4.12417876443473
"34","VAT","TempControl-21psu",34,5.83046444237195
"35","HOR","TempControl-21psu",35,6.79748933062066
"36","BJO","TempControl-21psu",36,7.87849513567882
"37","KAL","TempControl-21psu",37,6.24229834406801
"38","BAR","TempControl-21psu",38,6.04930325754108
"39","HOG","TempControl-21psu",39,5.90668055641244
"40","KUR","TempControl-21psu",40,6.09867650685353
"41","VAT","TempControl-7psu",41,4.81023577000085
"42","HOG","TempControl-7psu",42,3.00786622866948
"43","BJO","TempControl-7psu",43,4.019098961033
"44","KUR","TempControl-7psu",44,1.93951634879419
"45","BAR","TempControl-7psu",45,2.87467419700442
"46","VIK","TempControl-7psu",46,3.40234378521935
"47","KAL","TempControl-7psu",47,0.802692763311823
"48","HOR","TempControl-7psu",48,2.71909475449922
"49","HOG","TempControl-21psu",49,5.94257422406832
"50","BJO","TempControl-21psu",50,7.7764013874636
"51","HOR","TempControl-21psu",51,6.89933477933596
"52","KAL","TempControl-21psu",52,6.31782914913835
"53","VAT","TempControl-21psu",53,5.77571081953778
"54","KUR","TempControl-21psu",54,6.09867650685353
"55","VIK","TempControl-21psu",55,4.09025085652579
"56","BAR","TempControl-21psu",56,6.01283891597896
"57","KUR","TempControl-7psu",57,1.94116311374908
"58","BJO","TempControl-7psu",58,3.98693267277215
"59","KAL","TempControl-7psu",59,0.820892083142613
"60","HOR","TempControl-7psu",60,2.72624556408838
"61","VIK","TempControl-7psu",61,3.37256140192232
"62","HOG","TempControl-7psu",62,3.01758526982193
"63","BAR","TempControl-7psu",63,2.87467419700442
"64","VAT","TempControl-7psu",64,4.79979612250594
"65","VIK","TempWarm-16psu",65,10.6799506562667
"66","KAL","TempWarm-16psu",66,10.0082619912777
"67","HOG","TempWarm-16psu",67,11.5258962584837
"68","KUR","TempWarm-16psu",68,10.9973710769975
"69","BJO","TempWarm-16psu",69,13.1779619880064
"70","BAR","TempWarm-16psu",70,11.3633093830713
"71","VAT","TempWarm-16psu",71,12.0603155247813
"72","HOR","TempWarm-16psu",72,11.3928022594164
"73","KAL","TempWarm-5psu",73,9.14104530324428
"74","HOR","TempWarm-5psu",74,10.590539022074
"75","VAT","TempWarm-5psu",75,12.2784649228823
"76","BAR","TempWarm-5psu",76,10.954614721196
"77","VIK","TempWarm-5psu",77,11.0832769570991
"78","KUR","TempWarm-5psu",78,10.3849026578605
"79","BJO","TempWarm-5psu",79,12.336763086874
"80","HOG","TempWarm-5psu",80,11.2249898531941
"81","KAL","TempWarm-16psu",81,9.97477947591061
"82","BJO","TempWarm-16psu",82,13.2520456866124
"83","BAR","TempWarm-16psu",83,11.3514378618121
"84","HOR","TempWarm-16psu",84,11.3904717895916
"85","HOG","TempWarm-16psu",85,11.5151186704409
"86","VIK","TempWarm-16psu",86,10.6865090179575
"87","VAT","TempWarm-16psu",87,12.0526386937725
"88","KUR","TempWarm-16psu",88,10.9834872195881
"89","HOG","TempWarm-5psu",89,11.2249898531941
"90","BAR","TempWarm-5psu",90,10.9560805353367
"91","BJO","TempWarm-5psu",91,12.336763086874
"92","KUR","TempWarm-5psu",92,10.3823945048093
"93","KAL","TempWarm-5psu",93,9.14104530324428
"94","VIK","TempWarm-5psu",94,11.0832769570991
"95","HOR","TempWarm-5psu",95,10.5918876899472
"96","VAT","TempWarm-5psu",96,12.2784649228823
"97","HOG","TempWarm-16psu",97,13.296576239211
"98","BJO","TempWarm-16psu",98,14.970637077622
"99","VAT","TempWarm-16psu",99,13.7527677638995
"100","BAR","TempWarm-16psu",100,13.079802930534
"101","VIK","TempWarm-16psu",101,12.5143665666477
"102","HOR","TempWarm-16psu",102,12.9921593711665
"103","KAL","TempWarm-16psu",103,11.7205414019042
"104","KUR","TempWarm-16psu",104,12.7007084559898
"105","KAL","TempWarm-5psu",105,10.9734328576363
"106","VIK","TempWarm-5psu",106,12.8493777441851
"107","BJO","TempWarm-5psu",107,14.1646704307764
"108","KUR","TempWarm-5psu",108,12.1970035233112
"109","VAT","TempWarm-5psu",109,13.9394987348557
"110","BAR","TempWarm-5psu",110,12.7381268711762
"111","HOR","TempWarm-5psu",111,12.3230311955865
"112","HOG","TempWarm-5psu",112,13.0366043250584
"113","KAL","TempWarm-16psu",113,11.7227509596771
"114","BAR","TempWarm-16psu",114,13.0696424902497
"115","KUR","TempWarm-16psu",115,12.7236928922502
"116","HOR","TempWarm-16psu",116,13.0165801708219
"117","HOG","TempWarm-16psu",117,13.2873823637811
"118","BJO","TempWarm-16psu",118,14.9552822142438
"119","VAT","TempWarm-16psu",119,13.7527677638995
"120","VIK","TempWarm-16psu",120,12.5143665666477
"121","HOR","TempWarm-5psu",121,12.3230311955865
"122","BJO","TempWarm-5psu",122,14.1646704307764
"123","KUR","TempWarm-5psu",123,12.1970035233112
"124","HOG","TempWarm-5psu",124,13.0464448304329
"125","VAT","TempWarm-5psu",125,13.9479580338265
"126","KAL","TempWarm-5psu",126,10.9757131359562
"127","BAR","TempWarm-5psu",127,12.7381268711762
"128","VIK","TempWarm-5psu",128,12.8565329356338
"129","BAR","TempWarm-16psu",129,11.1603148244676
"130","HOG","TempWarm-16psu",130,11.313082151245
"131","HOR","TempWarm-16psu",131,11.2251197637381
"132","VAT","TempWarm-16psu",132,11.8662540554081
"133","BJO","TempWarm-16psu",133,13.0483388172526
"134","KAL","TempWarm-16psu",134,9.82453509882402
"135","VIK","TempWarm-16psu",135,10.457884115481
"136","KUR","TempWarm-16psu",136,10.7512978837031
"137","KAL","TempWarm-5psu",137,8.9240001497619
"138","BAR","TempWarm-5psu",138,10.7453322423177
"139","KUR","TempWarm-5psu",139,10.1660059891466
"140","HOR","TempWarm-5psu",140,10.3962858942214
"141","BJO","TempWarm-5psu",141,12.1154306105486
"142","VAT","TempWarm-5psu",142,12.0909659761473
"143","VIK","TempWarm-5psu",143,10.8664127530967
"144","HOG","TempWarm-5psu",144,11.0062861644025
"145","BJO","TempWarm-16psu",145,13.0495120166004
"146","VIK","TempWarm-16psu",146,10.4521555892832
"147","KUR","TempWarm-16psu",147,10.7502867313512
"148","KAL","TempWarm-16psu",148,9.77049931610638
"149","BAR","TempWarm-16psu",149,11.1362707664297
"150","HOR","TempWarm-16psu",150,11.1953185599198
"151","HOG","TempWarm-16psu",151,11.3020306105913
"152","VAT","TempWarm-16psu",152,11.8559947876396
"153","KUR","TempWarm-5psu",153,10.1689990333603
"154","BAR","TempWarm-5psu",154,10.7453322423177
"155","BJO","TempWarm-5psu",155,12.1154306105486
"156","HOG","TempWarm-5psu",156,11.0062861644025
"157","VAT","TempWarm-5psu",157,12.0984082377765
"158","VIK","TempWarm-5psu",158,10.8768248715844
"159","KAL","TempWarm-5psu",159,8.92216462983099
"160","HOR","TempWarm-5psu",160,10.3960508139485
"161","BAR","TempWarm-16psu",161,10.7827818939427
"162","HOG","TempWarm-16psu",162,10.9390403827676
"163","VAT","TempWarm-16psu",163,11.4998216957095
"164","KAL","TempWarm-16psu",164,9.55055716981972
"165","VIK","TempWarm-16psu",165,10.0693780708748
"166","KUR","TempWarm-16psu",166,10.4004043722735
"167","BJO","TempWarm-16psu",167,12.6561618445258
"168","HOR","TempWarm-16psu",168,10.8337273519065
"169","KAL","TempWarm-5psu",169,8.5338732988498
"170","HOR","TempWarm-5psu",170,10.0242569611856
"171","VIK","TempWarm-5psu",171,10.5052849804244
"172","KUR","TempWarm-5psu",172,9.78529599171155
"173","BAR","TempWarm-5psu",173,10.369345313525
"174","BJO","TempWarm-5psu",174,11.724589262662
"175","VAT","TempWarm-5psu",175,11.7439569168355
"176","HOG","TempWarm-5psu",176,10.6215214135642
"177","KAL","TempWarm-16psu",177,9.43717974228132
"178","HOG","TempWarm-16psu",178,10.9391935864663
"179","BJO","TempWarm-16psu",179,12.6863063491303
"180","KUR","TempWarm-16psu",180,10.3993455159713
"181","VIK","TempWarm-16psu",181,10.0689258672319
"182","BAR","TempWarm-16psu",182,10.7703936066589
"183","HOR","TempWarm-16psu",183,10.851940016044
"184","VAT","TempWarm-16psu",184,11.5009061589109
"185","BJO","TempWarm-5psu",185,11.7256513963277
"186","KUR","TempWarm-5psu",186,9.7820332415884
"187","KAL","TempWarm-5psu",187,8.53195384948127
"188","HOR","TempWarm-5psu",188,10.0200099682884
"189","VAT","TempWarm-5psu",189,11.7439569168355
"190","VIK","TempWarm-5psu",190,10.5033921774872
"191","HOG","TempWarm-5psu",191,10.6215214135642
"192","BAR","TempWarm-5psu",192,10.369345313525
"193","HOR","TempWarm-16psu",193,11.0834815613253
"194","KUR","TempWarm-16psu",194,10.6839434954433
"195","BJO","TempWarm-16psu",195,12.9301527368346
"196","KAL","TempWarm-16psu",196,9.73567767609885
"197","BAR","TempWarm-16psu",197,11.0263121544027
"198","VIK","TempWarm-16psu",198,10.3459542745284
"199","HOG","TempWarm-16psu",199,11.2043441614219
"200","VAT","TempWarm-16psu",200,11.7516304891144
"201","VAT","TempWarm-5psu",201,11.9849821085694
"202","BJO","TempWarm-5psu",202,12.0018601842213
"203","KUR","TempWarm-5psu",203,10.0539567491765
"204","HOG","TempWarm-5psu",204,10.8913989932326
"205","HOR","TempWarm-5psu",205,10.2770376177466
"206","KAL","TempWarm-5psu",206,8.80805324078813
"207","VIK","TempWarm-5psu",207,10.7696663966496
"208","BAR","TempWarm-5psu",208,10.6333404051897
"209","VIK","TempWarm-16psu",209,10.3463875425597
"210","BAR","TempWarm-16psu",210,11.0262524311307
"211","HOG","TempWarm-16psu",211,11.1931072403614
"212","KUR","TempWarm-16psu",212,10.6728204087045
"213","BJO","TempWarm-16psu",213,12.9254487572681
"214","KAL","TempWarm-16psu",214,9.75613848137519
"215","HOR","TempWarm-16psu",215,11.0822998003301
"216","VAT","TempWarm-16psu",216,11.7537348186017
"217","KUR","TempWarm-5psu",217,10.0571312818406
"218","VAT","TempWarm-5psu",218,11.9774693692441
"219","BAR","TempWarm-5psu",219,10.6312690253597
"220","HOG","TempWarm-5psu",220,10.8928995141284
"221","KAL","TempWarm-5psu",221,8.80743271427963
"222","VIK","TempWarm-5psu",222,10.7591505765404
"223","HOR","TempWarm-5psu",223,10.2770376177466
"224","BJO","TempWarm-5psu",224,12.0008224964594
"225","BJO","TempWarm-16psu",225,12.3718665616827
"226","HOG","TempWarm-16psu",226,10.5976039652309
"227","HOR","TempWarm-16psu",227,10.5001050572492
"228","VAT","TempWarm-16psu",228,11.1680865590335
"229","KUR","TempWarm-16psu",229,10.0458756288828
"230","BAR","TempWarm-16psu",230,10.4421469145314
"231","VIK","TempWarm-16psu",231,9.72191970631508
"232","KAL","TempWarm-16psu",232,9.13031487817382
"233","BJO","TempWarm-5psu",233,11.3645812234004
"234","HOR","TempWarm-5psu",234,9.65987054441611
"235","BAR","TempWarm-5psu",235,10.0108989682319
"236","VAT","TempWarm-5psu",236,11.39208093985
"237","VIK","TempWarm-5psu",237,10.1544892481741
"238","KAL","TempWarm-5psu",238,8.17225967397688
"239","KUR","TempWarm-5psu",239,9.42284516865399
"240","HOG","TempWarm-5psu",240,10.2694555442719
"241","KAL","TempWarm-16psu",241,9.12890804239325
"242","HOR","TempWarm-16psu",242,10.5001050572492
"243","KUR","TempWarm-16psu",243,10.0322744917966
"244","BAR","TempWarm-16psu",244,10.4294036137063
"245","VIK","TempWarm-16psu",245,9.71607255754348
"246","HOG","TempWarm-16psu",246,10.5858946624876
"247","VAT","TempWarm-16psu",247,11.1566131883705
"248","BJO","TempWarm-16psu",248,12.3382083584887
"249","BAR","TempWarm-5psu",249,10.0092947376529
"250","HOG","TempWarm-5psu",250,10.2694555442719
"251","VIK","TempWarm-5psu",251,10.1675862594605
"252","VAT","TempWarm-5psu",252,11.3999794645272
"253","BJO","TempWarm-5psu",253,11.3656770002203
"254","KUR","TempWarm-5psu",254,9.42284516865399
"255","KAL","TempWarm-5psu",255,8.17259837866798
"256","HOR","TempWarm-5psu",256,9.65987054441611
"257","KUR","TempControl-21psu",257,6.49161570948642
