"","TempControl-21psu","TempControl-7psu","TempWarm-16psu","TempWarm-5psu","VAT","VIK","HOG","BAR","KUR","KAL","HOR","BJO"
"TempControl-21psu",0,3.6719,3.7897,5.5002,3.4861,2.4044,3.2186,3.2931,3.9378,3.9871,4.4518,4.9783
"TempControl-7psu",3.6719,0,4.2678,3.5941,4.5587,3.1674,2.8197,2.7722,1.8042,1.2321,2.246,2.7082
"TempWarm-16psu",3.7897,4.2678,0,2.8851,6.6275,5.394,5.7683,5.7974,5.774,5.3493,6.2752,6.8452
"TempWarm-5psu",5.5002,3.5941,2.8851,0,7.4833,6.1427,6.0562,6.0353,5.3861,4.7555,5.7503,6.2003
"VAT",3.4861,4.5587,6.6275,7.4833,0,1.9753,2.1236,2.0284,3.608,4.0852,3.7295,4.1118
"VIK",2.4044,3.1674,5.394,6.1427,1.9753,0,0.9969,1.2011,2.4157,2.7338,2.9865,3.213
"HOG",3.2186,2.8197,5.7683,6.0562,2.1236,0.9969,0,0.3555,1.7413,2.1344,2.25,2.4062
"BAR",3.2931,2.7722,5.7974,6.0353,2.0284,1.2011,0.3555,0,1.6854,2.1087,2.0651,2.3404
"KUR",3.9378,1.8042,5.774,5.3861,3.608,2.4157,1.7413,1.6854,0,0.7006,0.9301,1.1145
"KAL",3.9871,1.2321,5.3493,4.7555,4.0852,2.7338,2.1344,2.1087,0.7006,0,1.372,1.5314
"HOR",4.4518,2.246,6.2752,5.7503,3.7295,2.9865,2.25,2.0651,0.9301,1.372,0,1.0518
"BJO",4.9783,2.7082,6.8452,6.2003,4.1118,3.213,2.4062,2.3404,1.1145,1.5314,1.0518,0
