"","TempControl-21psu","TempControl-7psu","TempWarm-16psu","TempWarm-5psu","VIK","VAT","HOG","BAR","KUR","KAL","HOR","BJO"
"TempControl-21psu",0,5.7907,7.9105,10.0895,4.5246,6.1047,6.2538,6.3282,6.3678,6.3633,7.0281,8.2971
"TempControl-7psu",5.7907,0,8.4866,7.6749,3.9626,5.2721,3.7115,3.4925,2.6775,1.5073,3.2104,4.7721
"TempWarm-16psu",7.9105,8.4866,0,4.5192,10.6238,12.0028,11.4677,11.2933,10.9379,9.9659,11.3338,13.1798
"TempWarm-5psu",10.0895,7.6749,4.5192,0,11.0526,12.2335,11.1689,10.9001,10.3263,9.085,10.5356,12.28
"VIK",4.5246,3.9626,10.6238,11.0526,0,2.5608,1.8827,2.1814,2.7161,3.3766,3.6138,4.1232
"VAT",6.1047,5.2721,12.0028,12.2335,2.5608,0,2.44,2.3027,3.5114,4.4279,3.5516,4.1949
"HOG",6.2538,3.7115,11.4677,11.1689,1.8827,2.44,0,0.6414,1.6349,2.5539,2.4349,2.5636
"BAR",6.3282,3.4925,11.2933,10.9001,2.1814,2.3027,0.6414,0,1.4742,2.3395,1.989,2.6138
"KUR",6.3678,2.6775,10.9379,10.3263,2.7161,3.5114,1.6349,1.4742,0,1.307,1.3335,2.2761
"KAL",6.3633,1.5073,9.9659,9.085,3.3766,4.4279,2.5539,2.3395,1.307,0,1.9994,3.2724
"HOR",7.0281,3.2104,11.3338,10.5356,3.6138,3.5516,2.4349,1.989,1.3335,1.9994,0,2.4056
"BJO",8.2971,4.7721,13.1798,12.28,4.1232,4.1949,2.5636,2.6138,2.2761,3.2724,2.4056,0
