"","AHU","ALA","BAD","BAR","BJN","BJO","BLA","BUR","EKO","FUR","GAL","GAS","GOT","GRO","HAN","HOG","HOR","ING","KAL","KAR","KAV","KIE","KLI","KOD","KRA","KUR","LJU","LOM","NOV","NYN","OSK","RAU","SBR","SKI","SLI","STE","TAL","VHA","YST","TempControl-21psu","TempControl-7psu","TempWarm-16psu","TempWarm-5psu"
"AHU",0,1.6043,0.3407,1.6043,0.3407,1.0356,1.3628,1.0567,1.3628,0.5283,1.0722,2.6715,2.3023,1.7006,0.6739,1.9827,0.3407,0.5815,1.0989,0.4039,3.505,1.7706,0.8766,2.8335,1.0594,0.8558,0.4039,0.9025,2.1259,1.7261,0.3407,0.5918,2.4263,1.1458,0.4039,3.0955,0.6739,3.583,0.6198,5.1327,1.8917,6.2333,5.3903
"ALA",1.6043,0,1.5678,0,1.7094,2.0713,2.3151,1.9694,2.3151,1.6611,1.9171,1.1384,1.0529,1.0106,2.0159,0.5536,1.7094,1.9276,1.847,1.7502,2.4026,1.5013,1.9397,1.3419,2.1326,1.3667,1.7502,1.2073,0.8071,2.621,1.7094,1.9336,1.8133,1.8998,1.7502,1.7445,1.8972,2.4046,1.3236,4.4397,2.4531,6.0363,5.811
"BAD",0.3407,1.5678,0,1.5678,0.6814,1.0902,1.7035,0.8766,1.7035,0.7921,0.7545,2.6496,2.2769,1.5204,0.8958,1.8929,0.6814,0.6739,0.792,0.5284,3.4549,1.5983,0.8077,2.7714,1.391,0.6198,0.5284,0.6828,1.9848,2.0631,0.6814,0.6829,2.3036,1.4578,0.5284,3.0388,0.5815,3.5992,0.5178,5.0493,1.6519,6.0523,5.1799
"BAR",1.6043,0,1.5678,0,1.7094,2.0713,2.3151,1.9694,2.3151,1.6611,1.9171,1.1384,1.0529,1.0106,2.0159,0.5536,1.7094,1.9276,1.847,1.7502,2.4026,1.5013,1.9397,1.3419,2.1326,1.3667,1.7502,1.2073,0.8071,2.621,1.7094,1.9336,1.8133,1.8998,1.7502,1.7445,1.8972,2.4046,1.3236,4.4397,2.4531,6.0363,5.811
"BJN",0.3407,1.7094,0.6814,1.7094,0,1.0902,1.0221,1.3027,1.0221,0.4038,1.4007,2.7359,2.3767,1.9247,0.5815,2.1241,0,0.6739,1.4213,0.5284,3.5868,1.9868,1.0567,2.9341,0.7362,1.1458,0.5284,1.181,2.3091,1.391,0,0.6829,2.5883,0.8558,0.5284,3.1879,0.8958,3.5992,0.8558,5.237,2.1588,6.4273,5.6136
"BJO",1.0356,2.0713,1.0902,2.0713,1.0902,0,1.7116,1.8691,1.7116,0.8363,1.3423,3.183,2.9883,2.2139,0.892,2.2594,1.0902,0.8244,1.7124,1.374,4.1273,2.5788,1.7735,3.3666,1.3726,1.2541,1.374,1.3283,2.4787,1.9342,1.0902,0.4906,2.4183,1.4674,1.374,3.6755,0.892,4.3253,1.1066,5.9652,2.6333,7.1199,6.0227
"BLA",1.3628,2.3151,1.7035,2.3151,1.0221,1.7116,0,2.198,0,1.099,2.4067,3.15,2.8436,2.745,1.1759,2.7651,1.0221,1.4817,2.4188,1.4214,3.9999,2.7888,1.8853,3.4268,0.4402,2.1088,1.4214,2.1281,3.0269,0.4402,1.0221,1.4857,3.2449,0.6198,1.4214,3.6465,1.8,3.8334,1.7804,5.6626,3.0494,7.0762,6.3462
"BUR",1.0567,1.9694,0.8766,1.9694,1.3027,1.8691,2.198,0,2.198,1.5851,0.9346,2.9054,2.4399,1.8078,1.4266,2.3289,1.3027,1.2061,0.5283,0.7921,3.6229,1.4854,0.3407,2.9781,1.9058,1.2541,0.7921,1.2864,2.2126,2.5333,1.3027,1.4557,2.5026,2.1153,0.7921,3.2284,1.0519,3.6472,1.2996,4.8535,0.8891,5.3494,4.3379
"EKO",1.3628,2.3151,1.7035,2.3151,1.0221,1.7116,0,2.198,0,1.099,2.4067,3.15,2.8436,2.745,1.1759,2.7651,1.0221,1.4817,2.4188,1.4214,3.9999,2.7888,1.8853,3.4268,0.4402,2.1088,1.4214,2.1281,3.0269,0.4402,1.0221,1.4857,3.2449,0.6198,1.4214,3.6465,1.8,3.8334,1.7804,5.6626,3.0494,7.0762,6.3462
"FUR",0.5283,1.6611,0.7921,1.6611,0.4038,0.8363,1.099,1.5851,1.099,0,1.4578,2.7059,2.4108,1.8819,0.7079,2.0056,0.4038,0.7856,1.5841,0.8766,3.564,2.1063,1.39,2.9062,0.8397,1.0722,0.8766,1.1099,2.2735,1.4484,0.4038,0.5507,2.5566,0.7545,0.8766,3.1622,0.9826,3.6665,0.7545,5.3457,2.4104,6.6941,5.9171
"GAL",1.0722,1.9171,0.7545,1.9171,1.4007,1.3423,2.4067,0.9346,2.4067,1.4578,0,2.9795,2.6518,1.6575,1.3909,2.0955,1.4007,1.0593,0.5179,1.1457,3.7691,1.758,1.1053,3.0378,2.0508,0.8362,1.1457,0.9144,2.0451,2.7305,1.4007,1.1113,2.1721,2.1821,1.1457,3.3306,0.7361,4.0076,1.0234,5.2625,1.4093,5.9186,4.7875
"GAS",2.6715,1.1384,2.6496,1.1384,2.7359,3.183,3.15,2.9054,3.15,2.7059,2.9795,0,0.6979,1.6375,3.0946,1.1288,2.7359,3.0378,2.8238,2.7615,1.7146,1.9827,2.8854,0.4402,3.0695,2.4066,2.7615,2.2478,1.2654,3.4268,2.7359,3.0445,2.474,2.7446,2.7615,0.9029,3.0187,1.5025,2.3823,3.8748,3.2046,5.9107,6.2688
"GOT",2.3023,1.0529,2.2769,1.0529,2.3767,2.9883,2.8436,2.4399,2.8436,2.4108,2.6518,0.6979,0,1.3001,2.8084,1.2558,2.3767,2.7457,2.4108,2.3374,1.5267,1.403,2.4159,0.7249,2.7822,2.0713,2.3374,1.9276,1.3775,3.1721,2.3767,2.7543,2.6513,2.4559,2.3374,0.9144,2.7244,1.4013,2.0431,3.4872,2.7003,5.4486,5.8268
"GRO",1.7006,1.0106,1.5204,1.0106,1.9247,2.2139,2.745,1.8078,2.745,1.8819,1.6575,1.6375,1.3001,0,2.3029,1.0138,1.9247,2.1192,1.5287,1.8388,2.1597,0.8703,1.9017,1.5527,2.5631,1.0541,1.8388,0.9299,1.1763,3.1336,1.9247,2.0098,2.3259,2.2745,1.8388,1.7413,1.9775,2.6233,1.208,3.9668,2.0233,5.5178,5.4211
"HAN",0.6739,2.0159,0.8958,2.0159,0.5815,0.892,1.1759,1.4266,1.1759,0.7079,1.3909,3.0946,2.8084,2.3029,0,2.3891,0.5815,0.3407,1.5356,0.7857,4.0947,2.4088,1.2061,3.3184,0.7546,1.42,0.7857,1.4674,2.5045,1.4008,0.5815,0.6198,2.4559,1.1983,0.7857,3.6313,0.6814,4.0562,1.1983,5.7613,2.3042,6.7267,5.6062
"HOG",1.9827,0.5536,1.8929,0.5536,2.1241,2.2594,2.7651,2.3289,2.7651,2.0056,2.0955,1.1288,1.2558,1.0138,2.3891,0,2.1241,2.2644,2.0972,2.1787,2.3607,1.7226,2.3537,1.2436,2.5694,1.5428,2.1787,1.3838,0.6198,3.0639,2.1241,2.209,1.7538,2.2983,2.1787,1.6702,2.1862,2.5457,1.58,4.5081,2.7195,6.1886,6.0192
"HOR",0.3407,1.7094,0.6814,1.7094,0,1.0902,1.0221,1.3027,1.0221,0.4038,1.4007,2.7359,2.3767,1.9247,0.5815,2.1241,0,0.6739,1.4213,0.5284,3.5868,1.9868,1.0567,2.9341,0.7362,1.1458,0.5284,1.181,2.3091,1.391,0,0.6829,2.5883,0.8558,0.5284,3.1879,0.8958,3.5992,0.8558,5.237,2.1588,6.4273,5.6136
"ING",0.5815,1.9276,0.6739,1.9276,0.6739,0.8244,1.4817,1.2061,1.4817,0.7856,1.0593,3.0378,2.7457,2.1192,0.3407,2.2644,0.6739,0,1.2433,0.708,4.0232,2.2338,1.0519,3.2297,1.0723,1.1983,0.708,1.2541,2.3367,1.7341,0.6739,0.5178,2.2845,1.42,0.708,3.5505,0.3407,4.0419,1.0429,5.6666,2.056,6.5416,5.3827
"KAL",1.0989,1.847,0.792,1.847,1.4213,1.7124,2.4188,0.5283,2.4188,1.5841,0.5179,2.8238,2.4108,1.5287,1.5356,2.0972,1.4213,1.2433,0,1.022,3.525,1.3883,0.792,2.8583,2.1022,0.9346,1.022,0.9775,1.9911,2.7693,1.4213,1.3726,2.309,2.2217,1.022,3.1182,0.9825,3.704,1.1053,4.865,0.9499,5.4501,4.4616
"KAR",0.4039,1.7502,0.5284,1.7502,0.5284,1.374,1.4214,0.7921,1.4214,0.8766,1.1457,2.7615,2.3374,1.8388,0.7857,2.1787,0.5284,0.708,1.022,0,3.5741,1.7239,0.5283,2.9186,1.1338,1.1053,0,1.1418,2.2381,1.7728,0.5284,0.9163,2.5251,1.3424,0,3.1736,0.7857,3.5602,0.9346,5.0519,1.6598,5.9732,5.0873
"KAV",3.505,2.4026,3.4549,2.4026,3.5868,4.1273,3.9999,3.6229,3.9999,3.564,3.7691,1.7146,1.5267,2.1597,4.0947,2.3607,3.5868,4.0232,3.525,3.5741,0,2.2198,3.6388,1.4034,4.0247,3.0981,3.5741,2.9856,2.5797,4.3571,3.5868,3.9038,3.9725,3.5355,3.5741,0.8524,3.9797,1.3658,3.1167,2.4453,3.6769,5.3772,6.552
"KIE",1.7706,1.5013,1.5983,1.5013,1.9868,2.5788,2.7888,1.4854,2.7888,2.1063,1.758,1.9827,1.403,0.8703,2.4088,1.7226,1.9868,2.2338,1.3883,1.7239,2.2198,0,1.5983,1.8723,2.6397,1.3804,1.7239,1.3092,1.6973,3.1965,1.9868,2.2316,2.7621,2.4429,1.7239,1.9535,2.0998,2.5238,1.5013,3.5273,1.486,4.7909,4.796
"KLI",0.8766,1.9397,0.8077,1.9397,1.0567,1.7735,1.8853,0.3407,1.8853,1.39,1.1053,2.8854,2.4159,1.9017,1.2061,2.3537,1.0567,1.0519,0.792,0.5283,3.6388,1.5983,0,2.9975,1.6085,1.2996,0.5283,1.3308,2.29,2.2156,1.0567,1.3308,2.5712,1.852,0.5283,3.2463,0.9952,3.5992,1.2541,4.9167,1.1866,5.5324,4.5617
"KOD",2.8335,1.3419,2.7714,1.3419,2.9341,3.3666,3.4268,2.9781,3.4268,2.9062,3.0378,0.4402,0.7249,1.5527,3.3184,1.2436,2.9341,3.2297,2.8583,2.9186,1.4034,1.8723,2.9975,0,3.3415,2.4625,2.9186,2.3076,1.3405,3.7351,2.9341,3.2119,2.6632,2.9943,2.9186,0.5574,3.1754,1.436,2.486,3.5511,3.1687,5.651,6.1648
"KRA",1.0594,2.1326,1.391,2.1326,0.7362,1.3726,0.4402,1.9058,0.4402,0.8397,2.0508,3.0695,2.7822,2.5631,0.7546,2.5694,0.7362,1.0723,2.1022,1.1338,4.0247,2.6397,1.6085,3.3415,0,1.8447,1.1338,1.8668,2.7805,0.6814,0.7362,1.1477,2.8847,0.7079,1.1338,3.6097,1.4008,3.8792,1.5357,5.7179,2.7845,6.9678,6.0863
"KUR",0.8558,1.3667,0.6198,1.3667,1.1458,1.2541,2.1088,1.2541,2.1088,1.0722,0.8362,2.4066,2.0713,1.0541,1.42,1.5428,1.1458,1.1983,0.9346,1.1053,3.0981,1.3804,1.2996,2.4625,1.8447,0,1.1053,0.1654,1.712,2.4877,1.1458,1.0106,2.2649,1.7035,1.1053,2.7031,1.0429,3.4386,0.3407,4.7995,1.7917,6.0164,5.3581
"LJU",0.4039,1.7502,0.5284,1.7502,0.5284,1.374,1.4214,0.7921,1.4214,0.8766,1.1457,2.7615,2.3374,1.8388,0.7857,2.1787,0.5284,0.708,1.022,0,3.5741,1.7239,0.5283,2.9186,1.1338,1.1053,0,1.1418,2.2381,1.7728,0.5284,0.9163,2.5251,1.3424,0,3.1736,0.7857,3.5602,0.9346,5.0519,1.6598,5.9732,5.0873
"LOM",0.9025,1.2073,0.6828,1.2073,1.181,1.3283,2.1281,1.2864,2.1281,1.1099,0.9144,2.2478,1.9276,0.9299,1.4674,1.3838,1.181,1.2541,0.9775,1.1418,2.9856,1.3092,1.3308,2.3076,1.8668,0.1654,1.1418,0,1.5528,2.5042,1.181,1.1013,2.1597,1.7115,1.1418,2.5628,1.1066,3.3047,0.3787,4.7277,1.8145,5.9822,5.376
"NOV",2.1259,0.8071,1.9848,0.8071,2.3091,2.4787,3.0269,2.2126,3.0269,2.2735,2.0451,1.2654,1.3775,1.1763,2.5045,0.6198,2.3091,2.3367,1.9911,2.2381,2.5797,1.6973,2.29,1.3405,2.7805,1.712,2.2381,1.5528,0,3.3138,2.3091,2.3975,1.4034,2.6445,2.2381,1.8304,2.209,2.6162,1.8109,4.5302,2.4874,5.8542,5.5764
