"","pop","bagnum_text","df","order","median_temp","max_temp","median_sal","min_sal"
"1","HOR",1,"experiment",1,-0.874271586217626,-0.431407868538746,-0.781602168430851,-0.564411954208226
"2","KUR",2,"experiment",2,-0.201946484225171,-0.536813550166668,-0.559570852047579,-0.316744467157048
"3","BAR",3,"experiment",3,-0.389202782623134,-0.63458651984843,0.734361019298779,-0.377850234475161
"4","HOG",4,"experiment",4,-0.162052511347984,-0.772480451253922,0.773597970020086,-0.252421334589957
"5","VIK",5,"experiment",5,0.0630300004483909,-0.661439203875678,1.17915545233671,0.749947821261075
"6","VAT",6,"experiment",6,-1.18446307816043,-0.734593073177993,2.04401881137074,0.253474926553803
"7","KAL",7,"experiment",7,0.184889959064263,-0.218715752824157,-0.745884087099629,-0.527296843432871
"8","BJO",8,"experiment",8,-0.532815570955732,-1.12501436986932,-0.98641282310866,-0.885993844240392
"9","KAL",9,"experiment",9,0.184889959064263,-0.218715752824157,-0.745884087099629,-0.527296843432871
"10","KUR",10,"experiment",10,-0.201946484225171,-0.536813550166668,-0.559570852047579,-0.316744467157048
"11","BJO",11,"experiment",11,-0.532815570955732,-1.12501436986932,-0.98641282310866,-0.885993844240392
"12","VIK",12,"experiment",12,0.0630300004483909,-0.661439203875678,1.17915545233671,0.749947821261075
"13","VAT",13,"experiment",13,-1.18446307816043,-0.734593073177993,2.04401881137074,0.253474926553803
"14","HOR",14,"experiment",14,-0.874271586217626,-0.431407868538746,-0.781602168430851,-0.564411954208226
"15","HOG",15,"experiment",15,-0.162052511347984,-0.772480451253922,0.773597970020086,-0.252421334589957
"16","BAR",16,"experiment",16,-0.389202782623134,-0.63458651984843,0.734361019298779,-0.377850234475161
"17","VIK",17,"experiment",17,0.0630300004483909,-0.661439203875678,1.17915545233671,0.749947821261075
"18","HOG",18,"experiment",18,-0.162052511347984,-0.772480451253922,0.773597970020086,-0.252421334589957
"19","VAT",19,"experiment",19,-1.18446307816043,-0.734593073177993,2.04401881137074,0.253474926553803
"20","BJO",20,"experiment",20,-0.532815570955732,-1.12501436986932,-0.98641282310866,-0.885993844240392
"21","BAR",21,"experiment",21,-0.389202782623134,-0.63458651984843,0.734361019298779,-0.377850234475161
"22","KAL",22,"experiment",22,0.184889959064263,-0.218715752824157,-0.745884087099629,-0.527296843432871
"23","HOR",23,"experiment",23,-0.874271586217626,-0.431407868538746,-0.781602168430851,-0.564411954208226
"24","KUR",24,"experiment",24,-0.201946484225171,-0.536813550166668,-0.559570852047579,-0.316744467157048
