"","pop","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"1","HOR",1,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"2","KUR",2,17.602,23.1814250946045,8.1808,6.88506889343262,"experiment",0.556136776160777,-0.59537188008651,-0.422457367685732,0.0411410716448226
"3","BAR",3,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"4","HOG",4,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"5","VIK",5,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"6","VAT",6,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"7","KAL",7,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"8","BJO",8,16.4019,21.3371880849202,5.4394,4.24618355433146,"experiment",-0.0296498932748573,-2.50243231953989,-0.883280429210505,-0.952996165915243
"9","KAL",9,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"10","KUR",10,17.602,23.1814250946045,8.1808,6.88506889343262,"experiment",0.556136776160777,-0.59537188008651,-0.422457367685732,0.0411410716448226
"11","BJO",11,16.4019,21.3371880849202,5.4394,4.24618355433146,"experiment",-0.0296498932748573,-2.50243231953989,-0.883280429210505,-0.952996165915243
"12","VIK",12,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"13","VAT",13,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"14","HOR",14,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"15","HOG",15,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"16","BAR",16,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"17","VIK",17,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"18","HOG",18,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
