"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"1","KIE",2,"KIE-01","01","seascape",1,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"2","KIE",2,"KIE-01","01","seascape",2,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"3","KIE",4,"KIE-03","03","seascape",3,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"4","KIE",5,"KIE-04","04","seascape",4,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"5","KIE",5,"KIE-04","04","seascape",5,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"6","KIE",5,"KIE-04","04","seascape",6,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"7","KIE",7,"KIE-05","05","seascape",7,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"8","KIE",11,"KIE-09","09","seascape",8,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"9","KIE",12,"KIE-10","10","seascape",9,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"10","KIE",14,"KIE-11","11","seascape",10,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"11","KIE",15,"KIE-12","12","seascape",11,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"12","KIE",16,"KIE-13","13","seascape",12,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"13","KIE",20,"KIE-14","14","seascape",13,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"14","KIE",20,"KIE-14","14","seascape",14,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"15","KIE",20,"KIE-14","14","seascape",15,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"16","KIE",20,"KIE-14","14","seascape",16,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"17","KIE",21,"KIE-18","18","seascape",17,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"18","KIE",21,"KIE-18","18","seascape",18,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"19","KIE",21,"KIE-18","18","seascape",19,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"20","KOD",25,"KOD-14","14","seascape",21,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"21","KOD",25,"KOD-14","14","seascape",20,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"22","KOD",28,"KOD-16","16","seascape",22,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"23","KOD",29,"KOD-18","18","seascape",23,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"24","KOD",30,"KOD-19","19","seascape",24,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"25","KOD",31,"KOD-20","20","seascape",25,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"26","KOD",33,"KOD-01","01","seascape",27,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
