"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"1","east","KUR",288,"KUR-01","01","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"2","east","KUR",288,"KUR-02","02","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"3","east","KUR",288,"KUR-03","03","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"4","east","KUR",288,"KUR-04","04","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"5","east","KUR",288,"KUR-05","05","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"6","east","KUR",288,"KUR-06","06","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"7","east","KUR",288,"KUR-08","08","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"8","east","KUR",291,"KUR-07","07","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"9","east","KUR",294,"KUR-09","09","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"10","east","KUR",296,"KUR-10","10","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"11","east","KUR",297,"KUR-11","11","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"12","east","KUR",297,"KUR-12","12","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"13","east","KUR",299,"KUR-13","13","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"14","east","KUR",302,"KUR-14","14","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"15","east","KUR",302,"KUR-15","15","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"16","east","KUR",302,"KUR-16","16","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"17","east","KUR",302,"KUR-17","17","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"18","east","KUR",306,"KUR-18","18","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"19","east","KUR",306,"KUR-19","19","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"20","east","KUR",306,"KUR-20","20","Kurland","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"21","east","YST",312,"YST-01","01","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"22","east","YST",312,"YST-02","02","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"23","east","YST",312,"YST-03","03","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"24","east","YST",312,"YST-04","04","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"25","east","YST",312,"YST-05","05","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"26","east","YST",312,"YST-08","08","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"27","east","YST",312,"YST-06","06","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"28","east","YST",312,"YST-07","07","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"29","east","YST",315,"YST-11","11","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"30","east","YST",315,"YST-12","12","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"31","east","YST",315,"YST-10","10","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"32","east","YST",315,"YST-14","14","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"33","east","YST",317,"YST-15","15","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"34","east","YST",317,"YST-19","19","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"35","east","YST",317,"YST-16","16","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"36","east","YST",321,"YST-09","09","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"37","east","YST",326,"YST-18","18","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"38","east","YST",326,"YST-20","20","Ystad","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"39","east","SKI",327,"SKI-01","01","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"40","east","SKI",327,"SKI-02","02","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"41","east","SKI",327,"SKI-03","03","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"42","east","SKI",327,"SKI-10","10","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"43","east","SKI",336,"SKI-04","04","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"44","east","SKI",336,"SKI-05","05","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"45","east","SKI",336,"SKI-06","06","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"46","east","SKI",336,"SKI-07","07","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"47","east","SKI",336,"SKI-08","08","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"48","east","SKI",336,"SKI-09","09","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"49","east","SKI",336,"SKI-11","11","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"50","east","SKI",336,"SKI-12","12","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"51","east","SKI",336,"SKI-13","13","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"52","east","SKI",346,"SKI-14","14","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"53","east","SKI",346,"SKI-15","15","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"54","east","SKI",346,"SKI-16","16","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"55","east","SKI",346,"SKI-17","17","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"56","east","SKI",346,"SKI-18","18","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"57","east","SKI",346,"SKI-19","19","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"58","east","SKI",346,"SKI-20","20","Skillinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"59","east","AHU",351,"AHU-01","01","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"60","east","AHU",351,"AHU-08","08","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"61","east","AHU",361,"AHU-09","09","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"62","east","AHU",361,"AHU-10","10","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"63","east","AHU",361,"AHU-11","11","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"64","east","AHU",366,"AHU-02","02","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"65","east","AHU",366,"AHU-03","03","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"66","east","AHU",366,"AHU-04","04","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"67","east","AHU",366,"AHU-06","06","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"68","east","AHU",366,"AHU-07","07","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"69","east","AHU",366,"AHU-14","14","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"70","east","AHU",366,"AHU-15","15","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"71","east","AHU",366,"AHU-16","16","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"72","east","AHU",366,"AHU-19","19","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"73","east","AHU",366,"AHU-20","20","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"74","east","AHU",367,"AHU-13","13","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"75","east","AHU",367,"AHU-17","17","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"76","east","AHU",367,"AHU-18","18","Åhus","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"77","east","FUR",379,"FUR-18","18","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"78","east","FUR",379,"FUR-19","19","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"79","east","FUR",383,"FUR-02","02","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"80","east","FUR",383,"FUR-07","07","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"81","east","FUR",383,"FUR-08","08","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"82","east","FUR",383,"FUR-09","09","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"83","east","FUR",383,"FUR-11","11","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"84","east","FUR",383,"FUR-13","13","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"85","east","FUR",383,"FUR-14","14","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"86","east","FUR",383,"FUR-17","17","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"87","east","FUR",383,"FUR-20","20","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"88","east","FUR",383,"FUR-03","03","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"89","east","FUR",383,"FUR-04","04","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"90","east","FUR",383,"FUR-06","06","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"91","east","FUR",383,"FUR-10","10","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"92","east","FUR",383,"FUR-12","12","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"93","east","FUR",383,"FUR-15","15","Furumon","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"94","east","BJN",394,"BJN-02","02","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"95","east","BJN",394,"BJN-08","08","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"96","east","BJN",394,"BJN-10","10","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"97","east","BJN",394,"BJN-14","14","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"98","east","BJN",394,"BJN-15","15","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"99","east","BJN",394,"BJN-16","16","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"100","east","BJN",394,"BJN-21","21","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"101","east","BJN",394,"BJN-22","22","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"102","east","BJN",394,"BJN-27","27","Björkenäs","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"103","east","BLA",404,"BLA-01","01","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"104","east","BLA",404,"BLA-02","02","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"105","east","BLA",404,"BLA-03","03","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"106","east","BLA",404,"BLA-04","04","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"107","east","BLA",404,"BLA-05","05","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"108","east","BLA",404,"BLA-06","06","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"109","east","BLA",404,"BLA-07","07","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"110","east","BLA",404,"BLA-08","08","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"111","east","BLA",404,"BLA-09","09","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"112","east","BLA",404,"BLA-10","10","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"113","east","BLA",404,"BLA-11","11","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"114","east","BLA",404,"BLA-12","12","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"115","east","BLA",404,"BLA-13","13","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"116","east","BLA",404,"BLA-14","14","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"117","east","BLA",404,"BLA-15","15","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"118","east","BLA",404,"BLA-16","16","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"119","east","BLA",404,"BLA-17","17","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"120","east","BLA",404,"BLA-18","18","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"121","east","BLA",404,"BLA-19","19","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"122","east","BLA",404,"BLA-20","20","Bläsinge","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"123","east","KAL",426,"KAL-01","01","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"124","east","KAL",426,"KAL-07","07","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"125","east","KAL",426,"KAL-09","09","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"126","east","KAL",426,"KAL-14","14","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"127","east","KAL",427,"KAL-02","02","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"128","east","KAL",427,"KAL-03","03","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"129","east","KAL",427,"KAL-05","05","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"130","east","KAL",427,"KAL-17","17","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"131","east","KAL",427,"KAL-19","19","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"132","east","KAL",436,"KAL-06","06","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"133","east","KAL",436,"KAL-08","08","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"134","east","KAL",436,"KAL-12","12","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"135","east","KAL",436,"KAL-15","15","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"136","east","KAL",436,"KAL-16","16","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
"137","east","KAL",441,"KAL-04","04","Kalmarsund","TempControl-7psu",1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084,"current"
