"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"1","east","KUR",288,"KUR-01","01","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"2","east","KUR",288,"KUR-02","02","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"3","east","KUR",288,"KUR-03","03","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"4","east","KUR",288,"KUR-04","04","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"5","east","KUR",288,"KUR-05","05","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"6","east","KUR",288,"KUR-06","06","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"7","east","KUR",288,"KUR-08","08","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"8","east","KUR",291,"KUR-07","07","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"9","east","KUR",294,"KUR-09","09","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"10","east","KUR",296,"KUR-10","10","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"11","east","KUR",297,"KUR-11","11","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"12","east","KUR",297,"KUR-12","12","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"13","east","KUR",299,"KUR-13","13","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"14","east","KUR",302,"KUR-14","14","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"15","east","KUR",302,"KUR-15","15","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"16","east","KUR",302,"KUR-16","16","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"17","east","KUR",302,"KUR-17","17","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"18","east","KUR",306,"KUR-18","18","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"19","east","KUR",306,"KUR-19","19","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"20","east","KUR",306,"KUR-20","20","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"21","east","YST",312,"YST-01","01","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"22","east","YST",312,"YST-02","02","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"23","east","YST",312,"YST-03","03","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
