"","trt","bagnum","tank","pop","genet","ind","max_temp","med_temp","min_sal","avg_sal"
"33","TempControl-21psu","001","A1","HOR","gen-01","HOR_gen-01",27.02447265625,20.16041015625,21,21
"68","TempControl-21psu","002","A1","KUR","gen-01","KUR_gen-01",27.02447265625,20.16041015625,21,21
"1","TempControl-21psu","003","A1","BAR","gen-01","BAR_gen-01",27.02447265625,20.16041015625,21,21
"49","TempControl-21psu","004","A1","HOG","gen-01","HOG_gen-01",27.02447265625,20.16041015625,21,21
"8","TempControl-21psu","005","A1","VIK","gen-01","VIK_gen-01",27.02447265625,20.16041015625,21,21
"24","TempControl-21psu","006","A1","VAT","gen-01","VAT_gen-01",27.02447265625,20.16041015625,21,21
"57","TempControl-21psu","007","A1","KAL","gen-01","KAL_gen-01",27.02447265625,20.16041015625,21,21
"25","TempControl-21psu","008","A1","BJO","gen-01","BJO_gen-01",27.02447265625,20.16041015625,21,21
"139","TempControl-7psu","009","A1","KAL","gen-02","KAL_gen-02",27.02447265625,20.16041015625,7,7
"163","TempControl-7psu","010","A1","KUR","gen-02","KUR_gen-02",27.02447265625,20.16041015625,7,7
"111","TempControl-7psu","011","A1","BJO","gen-02","BJO_gen-02",27.02447265625,20.16041015625,7,7
"130","TempControl-7psu","012","A1","VIK","gen-02","VIK_gen-02",27.02447265625,20.16041015625,7,7
"187","TempControl-7psu","013","A1","VAT","gen-02","VAT_gen-02",27.02447265625,20.16041015625,7,7
"119","TempControl-7psu","014","A1","HOR","gen-02","HOR_gen-02",27.02447265625,20.16041015625,7,7
"131","TempControl-7psu","015","A1","HOG","gen-02","HOG_gen-02",27.02447265625,20.16041015625,7,7
"164","TempControl-7psu","016","A1","BAR","gen-02","BAR_gen-02",27.02447265625,20.16041015625,7,7
"10","TempControl-21psu","017","A1","VIK","gen-03","VIK_gen-03",27.02447265625,20.16041015625,21,21
"51","TempControl-21psu","018","A1","HOG","gen-03","HOG_gen-03",27.02447265625,20.16041015625,21,21
"26","TempControl-21psu","019","A1","VAT","gen-03","VAT_gen-03",27.02447265625,20.16041015625,21,21
"27","TempControl-21psu","020","A1","BJO","gen-03","BJO_gen-03",27.02447265625,20.16041015625,21,21
"3","TempControl-21psu","021","A1","BAR","gen-03","BAR_gen-03",27.02447265625,20.16041015625,21,21
"59","TempControl-21psu","022","A1","KAL","gen-03","KAL_gen-03",27.02447265625,20.16041015625,21,21
"35","TempControl-21psu","023","A1","HOR","gen-03","HOR_gen-03",27.02447265625,20.16041015625,21,21
