"bagnum_num","tank_ID","bagKey","trt","bagnum_text","pop","new_label","genetID","DNA_label","temp_full","sal_full","gen","genet","board","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position"
1,"A1","871C9089","TempControl-21psu",1,"HOR","001_A1_HOR_gen-01_TempControl-21psu",1,"HOR_gen-01","TempControl","21psu","gen-01","HOR-01",1,21.4,21.4,21.3,21.5,0.0707106781186545,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,1,1,"1_1"
2,"A1","6D4F9AB3","TempControl-21psu",2,"KUR","002_A1_KUR_gen-01_TempControl-21psu",1,"KUR_gen-01","TempControl","21psu","gen-01","KUR-01",1,21.3,21.3,21.2,21.4,0.0707106781186545,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,1,2,"1_2"
3,"A1","A622BDC6","TempControl-21psu",3,"BAR","003_A1_BAR_gen-01_TempControl-21psu",1,"BAR_gen-01","TempControl","21psu","gen-01","BAR-01",1,21.34,21.3,21.3,21.4,0.0547722557505154,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,1,3,"1_3"
4,"A1","A96C6176","TempControl-21psu",4,"HOG","004_A1_HOG_gen-01_TempControl-21psu",1,"HOG_gen-01","TempControl","21psu","gen-01","HOG-01",1,21.4,21.4,21.4,21.4,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,1,4,"1_4"
5,"A1","D58072B0","TempControl-21psu",5,"VIK","005_A1_VIK_gen-01_TempControl-21psu",1,"VIK_gen-01","TempControl","21psu","gen-01","VIK-01",1,21.3,21.3,21.3,21.3,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,2,1,"2_1"
6,"A1","3E6FDEC4","TempControl-21psu",6,"VAT","006_A1_VAT_gen-01_TempControl-21psu",1,"VAT_gen-01","TempControl","21psu","gen-01","VAT-01",1,21.42,21.4,21.4,21.5,0.0447213595499964,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,2,2,"2_2"
7,"A1","0F56358C","TempControl-21psu",7,"KAL","007_A1_KAL_gen-01_TempControl-21psu",1,"KAL_gen-01","TempControl","21psu","gen-01","KAL-01",1,21.32,21.3,21.3,21.4,0.0447213595499948,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,2,3,"2_3"
8,"A1","6A6DBE63","TempControl-21psu",8,"BJO","008_A1_BJO_gen-01_TempControl-21psu",1,"BJO_gen-01","TempControl","21psu","gen-01","BJO-01",1,21.02,21,21,21.1,0.0447213595499964,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,2,4,"2_4"
9,"A1","FC8888C3","TempControl-7psu",9,"KAL","009_A1_KAL_gen-02_TempControl-7psu",2,"KAL_gen-02","TempControl","7psu","gen-02","KAL-02",2,7.02,7,7,7.1,0.0447213595499956,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,3,1,"3_1"
10,"A1","9F479928","TempControl-7psu",10,"KUR","010_A1_KUR_gen-02_TempControl-7psu",2,"KUR_gen-02","TempControl","7psu","gen-02","KUR-02",2,6.8,6.8,6.8,6.8,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,3,2,"3_2"
