"","pop","mll_no","median_temp","max_temp","median_sal","min_sal","median_temp_std","max_temp_std","median_sal_std","min_sal_std","df"
"1","KIE","2",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"3","KIE","4",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"4","KIE","5",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"7","KIE","7",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"8","KIE","11",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"9","KIE","12",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"10","KIE","14",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"11","KIE","15",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"12","KIE","16",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"13","KIE","20",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"17","KIE","21",19,25,12,10,1.23852138066958,1.28515228250804,0.219541405413932,1.21461722067962,"seascape"
"20","KOD","25",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"22","KOD","28",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"23","KOD","29",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"24","KOD","30",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"25","KOD","31",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"26","KOD","33",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"28","KOD","39",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"35","KOD","41",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"36","KOD","42",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"37","KOD","43",18,23,22,10,0.750406499046688,-0.782977170961545,1.90051850297275,1.21461722067962,"seascape"
"39","GAS","44",17,23,22,9,0.262291617423796,-0.782977170961545,1.90051850297275,0.837891023891289,"seascape"
"40","GAS","46",17,23,22,9,0.262291617423796,-0.782977170961545,1.90051850297275,0.837891023891289,"seascape"
"42","GAS","47",17,23,22,9,0.262291617423796,-0.782977170961545,1.90051850297275,0.837891023891289,"seascape"
"43","GAS","48",17,23,22,9,0.262291617423796,-0.782977170961545,1.90051850297275,0.837891023891289,"seascape"
"44","GAS","49",17,23,22,9,0.262291617423796,-0.782977170961545,1.90051850297275,0.837891023891289,"seascape"
