"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"1","KIE",2,"KIE-01","01","seascape",1,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"2","KIE",4,"KIE-03","03","seascape",3,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"3","KIE",5,"KIE-04","04","seascape",4,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"4","KIE",7,"KIE-05","05","seascape",7,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"5","KIE",11,"KIE-09","09","seascape",8,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"6","KIE",12,"KIE-10","10","seascape",9,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"7","KIE",14,"KIE-11","11","seascape",10,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"8","KIE",15,"KIE-12","12","seascape",11,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"9","KIE",16,"KIE-13","13","seascape",12,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"10","KIE",20,"KIE-14","14","seascape",13,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"11","KIE",21,"KIE-18","18","seascape",17,0.183483882618695,0.0432025998331731,0.0350869344397933,0.355195524246663
"12","KOD",25,"KOD-13","13","seascape",21,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"13","KOD",28,"KOD-16","16","seascape",22,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"14","KOD",29,"KOD-18","18","seascape",23,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"15","KOD",30,"KOD-19","19","seascape",24,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"16","KOD",31,"KOD-20","20","seascape",25,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"17","KOD",33,"KOD-01","01","seascape",27,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"18","KOD",39,"KOD-04","04","seascape",33,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"19","KOD",41,"KOD-10","10","seascape",35,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"20","KOD",42,"KOD-11","11","seascape",36,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"21","KOD",43,"KOD-15","15","seascape",37,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"22","GAS",44,"GAS-01","01","seascape",39,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"23","GAS",46,"GAS-02","02","seascape",40,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"24","GAS",47,"GAS-04","04","seascape",42,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"25","GAS",48,"GAS-05","05","seascape",43,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"26","GAS",49,"GAS-06","06","seascape",44,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"27","GAS",50,"GAS-07","07","seascape",45,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"28","GAS",51,"GAS-08","08","seascape",46,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"29","GAS",52,"GAS-09","09","seascape",47,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"30","GAS",53,"GAS-10","10","seascape",48,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"31","GAS",56,"GAS-11","11","seascape",49,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"32","GAS",66,"GAS-20","20","seascape",58,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"33","KAV",69,"KAV-01","01","seascape",59,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"34","KAV",71,"KAV-02","02","seascape",61,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"35","KAV",72,"KAV-03","03","seascape",62,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"36","KAV",75,"KAV-04","04","seascape",63,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"37","KAV",76,"KAV-05","05","seascape",64,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"38","KAV",77,"KAV-06","06","seascape",65,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"39","KAV",78,"KAV-07","07","seascape",66,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"40","KAV",79,"KAV-08","08","seascape",67,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"41","KAV",84,"KAV-11","11","seascape",69,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"42","KAV",85,"KAV-14","14","seascape",72,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"43","KAV",86,"KAV-15","15","seascape",73,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"44","KAV",87,"KAV-16","16","seascape",74,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"45","KAV",90,"KAV-17","17","seascape",75,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"46","VHA",92,"VHA-01","01","seascape",79,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"47","VHA",93,"VHA-02","02","seascape",80,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"48","VHA",94,"VHA-03","03","seascape",81,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"49","VHA",96,"VHA-04","04","seascape",82,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
