"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"1","east","KUR",288,"KUR-01","01","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"2","east","KUR",291,"KUR-07","07","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"3","east","KUR",294,"KUR-09","09","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"4","east","KUR",296,"KUR-10","10","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"5","east","KUR",297,"KUR-11","11","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"6","east","KUR",299,"KUR-13","13","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"7","east","KUR",302,"KUR-14","14","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"8","east","KUR",306,"KUR-18","18","Kurland","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"9","east","YST",312,"YST-01","01","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"10","east","YST",315,"YST-11","11","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"11","east","YST",317,"YST-15","15","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"12","east","YST",321,"YST-09","09","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"13","east","YST",326,"YST-18","18","Ystad","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"14","east","SKI",327,"SKI-01","01","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"15","east","SKI",336,"SKI-04","04","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"16","east","SKI",346,"SKI-14","14","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"17","east","AHU",351,"AHU-01","01","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"18","east","AHU",361,"AHU-09","09","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"19","east","AHU",366,"AHU-02","02","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"20","east","AHU",367,"AHU-13","13","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"21","east","FUR",379,"FUR-18","18","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"22","east","FUR",383,"FUR-02","02","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"23","east","BJN",394,"BJN-02","02","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"24","east","BLA",404,"BLA-01","01","Bläsinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"25","east","KAL",426,"KAL-01","01","Kalmarsund","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"26","east","KAL",427,"KAL-02","02","Kalmarsund","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"27","east","KAL",436,"KAL-06","06","Kalmarsund","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"28","east","KAL",441,"KAL-04","04","Kalmarsund","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"29","east","KAL",448,"KAL-20","20","Kalmarsund","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"30","east","KAR",451,"KAR-02","02","Kårehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"31","east","KAR",460,"KAR-03","03","Kårehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"32","east","OSK",471,"OSK-01","01","Oskarshamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"33","east","OSK",474,"OSK-06","06","Oskarshamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"34","east","BUR",489,"BUR-01","01","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"35","east","BUR",491,"BUR-03","03","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"36","east","BUR",493,"BUR-05","05","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"37","east","BUR",494,"BUR-06","06","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"38","east","BUR",496,"BUR-07","07","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"39","east","BUR",498,"BUR-09","09","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"40","east","BUR",499,"BUR-10","10","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"41","east","BUR",501,"BUR-11","11","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"42","east","BUR",504,"BUR-13","13","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"43","east","BUR",507,"BUR-14","14","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"44","east","BUR",508,"BUR-16","16","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"45","east","BUR",509,"BUR-17","17","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"46","east","BUR",511,"BUR-18","18","Burgsvik","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"47","east","BAD",519,"BAD-03","03","Bödagården","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"48","east","BAD",520,"BAD-06","06","Bödagården","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"49","east","BAD",526,"BAD-16","16","Bödagården","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"50","east","BAD",533,"BAD-17","17","Bödagården","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"51","east","LJU",540,"LJU-01","01","Ljugarn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"52","east","LJU",546,"LJU-08","08","Ljugarn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"53","east","LJU",551,"LJU-17","17","Ljugarn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"54","east","LJU",555,"LJU-20","20","Ljugarn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"55","east","KLI",561,"KLI-07","07","Klintehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"56","east","KLI",563,"KLI-02","02","Klintehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
