"trt","pop","max_temp","avg_temp","med_temp","min_sal","avg_sal","med_sal"
"TempControl-21psu","BAR",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","BJO",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","HOG",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","HOR",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","KAL",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","KUR",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","VAT",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-21psu","VIK",27.02447265625,20.0713383691548,20.16041015625,21,21,21
"TempControl-7psu","BAR",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","BJO",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","HOG",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","HOR",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","KAL",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","KUR",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","VAT",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempControl-7psu","VIK",27.02447265625,20.0713383691548,20.16041015625,7,7,7
"TempWarm-16psu","BAR",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","BJO",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","HOG",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","HOR",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","KAL",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","KUR",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","VAT",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-16psu","VIK",34.23173828125,25.8003762629227,26.0806640625,16,16,16
"TempWarm-5psu","BAR",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","BJO",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","HOG",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","HOR",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","KAL",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","KUR",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","VAT",34.23173828125,25.8003762629227,26.0806640625,5,5,5
"TempWarm-5psu","VIK",34.23173828125,25.8003762629227,26.0806640625,5,5,5
