"region","site_full","Pop","long","lat","temp_curr","sal_curr","temp_8.5","sal_8.5","max_temp_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"Germany","Kiel","KIE",10.154972,54.345615,"19","12","22","10","25","10",0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"Kosterhavet","Koster donor site","KOD",10.991989,58.882538,"18","22","20","20","23","10",0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"Kosterhavet","Gåsholmen ","GAS",11.134688,58.878628,"17","22","19","21","23","9",0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"Grebbestad-Fjällbacka","Kämpersvik","KAV",11.27672,58.64622,"18","21","21","20","23","15",0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"Ellös-Havstenfjord","Väst Hjältön","VHA",11.60238,58.25641,"16","25","18","24","25","13",-0.343457933764543,0.28625165378761,2.05058822898102,1.55657360680921
"Hake-Älgöfjorden","Stenungsund","STE",11.81013,58.05143,"18","22","20","20","23","12",0.356100837694119,-0.528792618165885,1.59836815758678,1.27759479233202
"Sälöfjorden","N. Överön","NOV",11.728779,57.795244,"19","18","21","17","23","6",0.70588022342345,-0.528792618165885,0.99540806239447,-0.396278094531094
"Göteborgs S skärgård","S. Brännö","SBR",11.79115,57.64159,"19","17","21","16","23","1",0.70588022342345,-0.528792618165885,0.844668038596393,-1.79117216691703
"Kungsbacka","Gottskär","GOT",12.02123,57.39626,"17","19","20","18","24","10",0.00632145196478833,-0.121270482189138,1.14614808619255,0.719637163377652
"Lahalmsbukten","Grötvik","GRO",12.78014,56.64116,"19","13","21","12","23","9",0.70588022342345,-0.528792618165885,0.241707943404081,0.440658348900465
"Øresund","Ålabadarna","ALA",12.771034,55.940683,"17","16","20","15","23","7",0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"Lomma","South Lomma Bay","LOM",13.05485,55.67242,"18","9","20","7","23","7",0.356100837694119,-0.528792618165885,-0.361252151788231,-0.117299280053907
"Gamla Staden-Sandskogen","Ystad","YST",13.84636159,55.42155879,"17","8","19","6","23","7",0.00632145196478833,-0.528792618165885,-0.511992175586309,-0.117299280053907
"Skillinge","Skillinge","SKI",14.2785,55.457556,"13","8","15","6","23","7",-1.39279609095254,-0.528792618165885,-0.511992175586309,-0.117299280053907
"Kristianstad","Åhus","AHU",14.402056,55.973569,"16","7","18","6","24","6",-0.343457933764543,-0.121270482189138,-0.662732199384387,-0.396278094531094
"Pukaviksbukten","Furumon","FUR",14.72029998,56.0954,"15","7","17","6","23","6",-0.693237319493874,-0.528792618165885,-0.662732199384387,-0.396278094531094
"Karlskrona","Björkenäs","BJN",15.925111,56.159447,"15","7","17","6","24","6",-0.693237319493874,-0.121270482189138,-0.662732199384387,-0.396278094531094
"Öland","Bläsinge","BLA",16.704923,56.621246,"12","7","14","6","24","6",-1.74257547668187,-0.121270482189138,-0.662732199384387,-0.396278094531094
"Öland","Kårehamn","KAR",16.912377,56.969566,"16","7","19","5","25","6",-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"Oskarshamn","Oskarshamn","OSK",16.583068,57.031518,"15","7","17","6","24","6",-0.693237319493874,-0.121270482189138,-0.662732199384387,-0.396278094531094
"Gotland","Burgsvik","BUR",18.223786,57.032289,"18","7","21","5","26","6",0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"Öland","Bödagården","BAD",17.058547,57.259256,"17","7","19","5","24","6",0.00632145196478833,-0.121270482189138,-0.662732199384387,-0.396278094531094
"Gotland","Ljugarn","LJU",18.695397,57.319176,"16","7","19","5","25","6",-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"Gotland","Klintehamn","KLI",18.152719,57.401162,"17","7","21","5","26","6",0.00632145196478833,0.693773789764357,-0.662732199384387,-0.396278094531094
"Gotland","Slite","SLI",18.831167,57.713318,"16","7","19","5","25","6",-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"Valdemarsvik","Ekön","EKO",16.854798,58.175265,"12","7","15","5","24","6",-1.74257547668187,-0.121270482189138,-0.662732199384387,-0.396278094531094
