"region","site_full","pop","long","lat","median_temp","median_sal","temp_8.5","sal_8.5","max_temp","min_sal","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled"
"Germany","Kiel","KIE",10.154972,54.345615,"19","12","22","10","25","10",0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"Kosterhavet","Koster donor site","KOD",10.991989,58.882538,"18","22","20","20","23","10",0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"Kosterhavet","Gåsholmen ","GAS",11.134688,58.878628,"17","22","19","21","23","9",0.000570701900369464,-0.528792618165885,1.65865566123658,0.480108492706237
"Grebbestad-Fjällbacka","Kämpersvik","KAV",11.27672,58.64622,"18","21","21","20","23","15",0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"Ellös-Havstenfjord","Väst Hjältön","VHA",11.60238,58.25641,"16","25","18","24","25","13",-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"Hake-Älgöfjorden","Stenungsund","STE",11.81013,58.05143,"18","22","20","20","23","12",0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"Sälöfjorden","N. Överön","NOV",11.728779,57.795244,"19","18","21","17","23","6",0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"Göteborgs S skärgård","S. Brännö","SBR",11.79115,57.64159,"19","17","21","16","23","1",0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"Kungsbacka","Gottskär","GOT",12.02123,57.39626,"17","19","20","18","24","10",0.000570701900369464,-0.121270482189138,1.18878784649956,0.772939611717519
"Lahalmsbukten","Grötvik","GRO",12.78014,56.64116,"19","13","21","12","23","9",0.6895323991586,-0.528792618165885,0.249052217025537,0.480108492706237
"Øresund","Ålabadarna","ALA",12.771034,55.940683,"17","16","20","15","23","7",0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"Lomma","South Lomma Bay","LOM",13.05485,55.67242,"18","9","20","7","23","7",0.345051550529484,-0.528792618165885,-0.377438202623813,-0.105553745316327
"Gamla Staden-Sandskogen","Ystad","YST",13.84636159,55.42155879,"17","8","19","6","23","7",0.000570701900369464,-0.528792618165885,-0.53406080753615,-0.105553745316327
"Skillinge","Skillinge","SKI",14.2785,55.457556,"13","8","15","6","23","7",-1.37735269261609,-0.528792618165885,-0.53406080753615,-0.105553745316327
"Kristianstad","Åhus","AHU",14.402056,55.973569,"16","7","18","6","24","6",-0.343910146728746,-0.121270482189138,-0.690683412448488,-0.398384864327609
"Pukaviksbukten","Furumon","FUR",14.72029998,56.0954,"15","7","17","6","23","6",-0.688390995357861,-0.528792618165885,-0.690683412448488,-0.398384864327609
"Karlskrona","Björkenäs","BJN",15.925111,56.159447,"15","7","17","6","24","6",-0.688390995357861,-0.121270482189138,-0.690683412448488,-0.398384864327609
"Öland","Bläsinge","BLA",16.704923,56.621246,"12","7","14","6","24","6",-1.72183354124521,-0.121270482189138,-0.690683412448488,-0.398384864327609
"Öland","Kårehamn","KAR",16.912377,56.969566,"16","7","19","5","25","6",-0.343910146728746,0.28625165378761,-0.690683412448488,-0.398384864327609
"Oskarshamn","Oskarshamn","OSK",16.583068,57.031518,"15","7","17","6","24","6",-0.688390995357861,-0.121270482189138,-0.690683412448488,-0.398384864327609
"Gotland","Burgsvik","BUR",18.223786,57.032289,"18","7","21","5","26","6",0.345051550529484,0.693773789764357,-0.690683412448488,-0.398384864327609
"Öland","Bödagården","BAD",17.058547,57.259256,"17","7","19","5","24","6",0.000570701900369464,-0.121270482189138,-0.690683412448488,-0.398384864327609
"Gotland","Ljugarn","LJU",18.695397,57.319176,"16","7","19","5","25","6",-0.343910146728746,0.28625165378761,-0.690683412448488,-0.398384864327609
"Gotland","Klintehamn","KLI",18.152719,57.401162,"17","7","21","5","26","6",0.000570701900369464,0.693773789764357,-0.690683412448488,-0.398384864327609
"Gotland","Slite","SLI",18.831167,57.713318,"16","7","19","5","25","6",-0.343910146728746,0.28625165378761,-0.690683412448488,-0.398384864327609
"Valdemarsvik","Ekön","EKO",16.854798,58.175265,"12","7","15","5","24","6",-1.72183354124521,-0.121270482189138,-0.690683412448488,-0.398384864327609
"Tystberga","Krampö","KRA",17.4658689,58.690647,"13","7","16","5","24","5",-1.37735269261609,-0.121270482189138,-0.690683412448488,-0.69121598333889
"Nynäshamn","Nynäshamn","NYN",17.9542217,58.8811079,"11","7","13","5","24","5",-2.06631438987432,-0.121270482189138,-0.690683412448488,-0.69121598333889
"Haninge","Gålö","GAL",18.32692339,59.09087305,"19","6","21","5","24","5",0.6895323991586,-0.121270482189138,-0.847306017360825,-0.69121598333889
"Finland","Rauma","RAU",21.319105,61.052267,"16","5","19","4","23","5",-0.343910146728746,-0.528792618165885,-1.00392862227316,-0.69121598333889
"Finland","Hanko","HAN",22.990247,59.824232,"15","6","18","4","24","4",-0.688390995357861,-0.121270482189138,-0.847306017360825,-0.984047102350172
"Finland","Ingå","ING",24.039419,59.9906558,"16","6","18","4","24","4",-0.343910146728746,-0.121270482189138,-0.847306017360825,-0.984047102350172
"Estonia","Tallinn","TAL",24.5688,59.4576,"17","6","21","4","24","4",0.000570701900369464,-0.121270482189138,-0.847306017360825,-0.984047102350172
"Barsebäck","Barsebäck hamn","BAR",12.90189,55.75528,"17","16","19","15","23","7",-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"Östersjö","Björkö","BJO",19.07867998,59.83484289,"16","5","20","4","22","4",-0.205463293664704,-1.20642528152679,-0.935108649674682,-0.911956896653116
"Södra Höganäs","Höganäs","HOG",12.55141,56.1969,"18","17","20","15","22","7",0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"Hornsudde","Hornsudde","HOR",16.730625,57.695151,"15","7","18","5","24","6",-0.632102824691863,-0.320176875989651,-0.729087275172993,-0.475414159962669
"Kalmar","Kalmarsund","KAL",16.351908,56.654431,"19","7","22","6","25","6",0.691289251486608,-0.0484117641275608,-0.693158049606103,-0.42503093711134
"Trelleborg","Kurland","KUR",12.982861,55.395972,"18","8","20","7","23","7",0.207948172775097,-0.454857876092876,-0.505743440568,-0.139209149861658
