"Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","sal_curr","temp_8.5","sal_8.5","max_temp_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"AHU",351,"AHU-01","01","Kristianstad","Åhus",14.402056,55.973569,18,8,20,7,23,7,-0.343457933764543,-0.121270482189138,-0.662732199384387,-0.396278094531094
"AHU",366,"AHU-02","02","Kristianstad","Åhus",14.402056,55.973569,18,8,20,7,23,7,-0.343457933764543,-0.121270482189138,-0.662732199384387,-0.396278094531094
"AHU",361,"AHU-09","09","Kristianstad","Åhus",14.402056,55.973569,18,8,20,7,23,7,-0.343457933764543,-0.121270482189138,-0.662732199384387,-0.396278094531094
"AHU",367,"AHU-13","13","Kristianstad","Åhus",14.402056,55.973569,18,8,20,7,23,7,-0.343457933764543,-0.121270482189138,-0.662732199384387,-0.396278094531094
"ALA",219,"ALA-01","01","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",222,"ALA-02","02","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",230,"ALA-03","03","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",220,"ALA-04","04","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",229,"ALA-09","09","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",231,"ALA-11","11","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",233,"ALA-13","13","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",234,"ALA-14","14","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",236,"ALA-15","15","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",237,"ALA-17","17","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",238,"ALA-18","18","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",239,"ALA-19","19","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"ALA",240,"ALA-20","20","Øresund","Ålabadarna",12.771034,55.940683,18,17,20,15,22,7,0.00632145196478833,-0.528792618165885,0.693928014798315,-0.117299280053907
"BAD",519,"BAD-03","03","Öland","Bödagården",17.058547,57.259256,19,7,22,6,25,6,0.00632145196478833,-0.121270482189138,-0.662732199384387,-0.396278094531094
"BAD",520,"BAD-06","06","Öland","Bödagården",17.058547,57.259256,19,7,22,6,25,6,0.00632145196478833,-0.121270482189138,-0.662732199384387,-0.396278094531094
"BAD",526,"BAD-16","16","Öland","Bödagården",17.058547,57.259256,19,7,22,6,25,6,0.00632145196478833,-0.121270482189138,-0.662732199384387,-0.396278094531094
"BAD",533,"BAD-17","17","Öland","Bödagården",17.058547,57.259256,19,7,22,6,25,6,0.00632145196478833,-0.121270482189138,-0.662732199384387,-0.396278094531094
"BAR",241,"BAR-01","01","Barsebäck","Barsebäck hamn",12.90189,55.75528,19,6,21,5,24,5,-0.0206815166135165,-0.579786258855822,1.52165655947594,-0.228388875481985
