"pop","mll_no","indv_no","pop_no","region","site_full","long","lat","median_temp","median_sal","temp_8.5","sal_8.5","max_temp","min_sal","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled"
"KIE",2,"KIE-01","01","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",4,"KIE-03","03","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",5,"KIE-04","04","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",7,"KIE-05","05","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",11,"KIE-09","09","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",12,"KIE-10","10","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",14,"KIE-11","11","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",15,"KIE-12","12","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",16,"KIE-13","13","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",20,"KIE-14","14","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KIE",21,"KIE-18","18","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.6895323991586,0.28625165378761,0.0924296121131999,0.772939611717519
"KOD",25,"KOD-13","13","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",28,"KOD-16","16","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",29,"KOD-18","18","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",30,"KOD-19","19","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",31,"KOD-20","20","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",33,"KOD-01","01","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",39,"KOD-04","04","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",41,"KOD-10","10","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
"KOD",42,"KOD-11","11","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.345051550529484,-0.528792618165885,1.65865566123658,0.772939611717519
