"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"1","HOR","TempControl-21psu","A1",1,20.117509765625,24.193046875,21.4,21.3,"treatment",1.78399452763005,0.450710519817127,1.79965987711922,5.47162324438776
"2","KUR","TempControl-21psu","A1",2,20.117509765625,24.193046875,21.3,21.2,"treatment",1.78399452763005,0.450710519817127,1.78285010614363,5.43395062470893
"3","BAR","TempControl-21psu","A1",3,20.117509765625,24.193046875,21.3,21.3,"treatment",1.78399452763005,0.450710519817127,1.78285010614363,5.47162324438776
"4","HOG","TempControl-21psu","A1",4,20.117509765625,24.193046875,21.4,21.4,"treatment",1.78399452763005,0.450710519817127,1.79965987711922,5.5092958640666
"5","VIK","TempControl-21psu","A1",5,20.117509765625,24.193046875,21.3,21.3,"treatment",1.78399452763005,0.450710519817127,1.78285010614363,5.47162324438776
"6","VAT","TempControl-21psu","A1",6,20.117509765625,24.193046875,21.4,21.4,"treatment",1.78399452763005,0.450710519817127,1.79965987711922,5.5092958640666
"7","KAL","TempControl-21psu","A1",7,20.117509765625,24.193046875,21.3,21.3,"treatment",1.78399452763005,0.450710519817127,1.78285010614363,5.47162324438776
"8","BJO","TempControl-21psu","A1",8,20.117509765625,24.193046875,21,21,"treatment",1.78399452763005,0.450710519817127,1.73242079321687,5.35860538535126
"9","KAL","TempControl-7psu","A1",9,20.117509765625,24.193046875,7,7,"treatment",1.78399452763005,0.450710519817127,-0.620947143365477,0.0844386303146261
"10","KUR","TempControl-7psu","A1",10,20.117509765625,24.193046875,6.8,6.8,"treatment",1.78399452763005,0.450710519817127,-0.654566685316653,0.00909339095695978
"11","BJO","TempControl-7psu","A1",11,20.117509765625,24.193046875,7.1,7.1,"treatment",1.78399452763005,0.450710519817127,-0.604137372389888,0.122111249993459
"12","VIK","TempControl-7psu","A1",12,20.117509765625,24.193046875,7.3,7.3,"treatment",1.78399452763005,0.450710519817127,-0.570517830438712,0.197456489351125
"13","VAT","TempControl-7psu","A1",13,20.117509765625,24.193046875,7.1,7.1,"treatment",1.78399452763005,0.450710519817127,-0.604137372389888,0.122111249993459
"14","HOR","TempControl-7psu","A1",14,20.117509765625,24.193046875,6.9,6.6,"treatment",1.78399452763005,0.450710519817127,-0.637756914341065,-0.0662518484007065
"15","HOG","TempControl-7psu","A1",15,20.117509765625,24.193046875,7.1,7.1,"treatment",1.78399452763005,0.450710519817127,-0.604137372389888,0.122111249993459
"16","BAR","TempControl-7psu","A1",16,20.117509765625,24.193046875,7.2,7.1,"treatment",1.78399452763005,0.450710519817127,-0.5873276014143,0.122111249993459
"17","VIK","TempControl-21psu","A1",17,20.117509765625,24.193046875,21.4,21.4,"treatment",1.78399452763005,0.450710519817127,1.79965987711922,5.5092958640666
"18","HOG","TempControl-21psu","A1",18,20.117509765625,24.193046875,21.2,21.2,"treatment",1.78399452763005,0.450710519817127,1.76604033516804,5.43395062470893
"19","VAT","TempControl-21psu","A1",19,20.117509765625,24.193046875,21.4,21.4,"treatment",1.78399452763005,0.450710519817127,1.79965987711922,5.5092958640666
"20","BJO","TempControl-21psu","A1",20,20.117509765625,24.193046875,21,20.9,"treatment",1.78399452763005,0.450710519817127,1.73242079321687,5.32093276567243
"21","BAR","TempControl-21psu","A1",21,20.117509765625,24.193046875,21.3,21.3,"treatment",1.78399452763005,0.450710519817127,1.78285010614363,5.47162324438776
"22","KAL","TempControl-21psu","A1",22,20.117509765625,24.193046875,21.2,21.2,"treatment",1.78399452763005,0.450710519817127,1.76604033516804,5.43395062470893
"23","HOR","TempControl-21psu","A1",23,20.117509765625,24.193046875,21.3,21.3,"treatment",1.78399452763005,0.450710519817127,1.78285010614363,5.47162324438776
"24","KUR","TempControl-21psu","A1",24,20.117509765625,24.193046875,21.2,21.2,"treatment",1.78399452763005,0.450710519817127,1.76604033516804,5.43395062470893
"25","VAT","TempControl-7psu","A1",25,20.117509765625,24.193046875,7.2,7.2,"treatment",1.78399452763005,0.450710519817127,-0.5873276014143,0.159783869672292
"26","HOG","TempControl-7psu","A1",26,20.117509765625,24.193046875,7.1,7.1,"treatment",1.78399452763005,0.450710519817127,-0.604137372389888,0.122111249993459
