bagnum_num,tank_ID,DNA_label,new_label,need DNA ?,sal_full,temp_full,nbr_leaves,length_longest_leaf,nbr_leaves_end,nbr_new_leaves,width_leaf,Growth_leaf1,Growth_leaf2,Growth_leaf3,Growth_leaf4,Growth_leaf5,Growth_leaf6,Growth_leaf7,Length_new_leaf1,Length_new_leaf2,Length_new_leaf3,Length_new_leaf4,Length_new_leaf5,Length_new_leaf6,Nbr_new_shoots,Nbr_leaves_new_shoot1,Length_new_shoot1_leaf1,Length_new_shoot1_leaf2,Length_new_shoot1_leaf3,Length_new_shoot1_leaf4,Length_new_shoot1_leaf5,Length_new_shoot1_leaf6,Nbr_leaves_new_shoot2,Length_new_shoot2_leaf1,Length_new_shoot2_leaf2,Length_new_shoot2_leaf3,Length_new_shoot2_leaf4,Length_new_shoot2_leaf5,Length_flower1,Length_bract1,Length_flower2,Length_bract2,Length_flower3,Length_bract3,below_ground_weight,above_ground_weight,weight_new_shoot1,weight_new_shoot2,total_weight,lesions?,picture?,isAlive,Comment
1,A1,HOR_gen-01,001_A1_HOR_gen-01_TempControl-21psu,,21psu,TempControl,5,43.0,5,2,0.40,0.3,25.0,7.4,NA,NA,NA,NA,32.1,47.8,NA,NA,NA,NA,1,3,13.5,4.1,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,1.16,0.11,0.00,2.71,Y,Y,TRUE,"new leaf coming in on old shoot, 7.1"
2,A1,KUR_gen-01,002_A1_KUR_gen-01_TempControl-21psu,,21psu,TempControl,6,15.5,4,2,0.20,6.1,18.7,0.0,NA,NA,NA,NA,13.6,18.4,NA,NA,NA,NA,1,3,12.5,6.1,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.33,0.07,0.00,1.31,N,Y,TRUE,new leaf coming in on old shoot
3,A1,BAR_gen-01,003_A1_BAR_gen-01_TempControl-21psu,yes,21psu,TempControl,5,36.5,5,3,0.20,0.2,9.4,NA,NA,NA,NA,NA,24.1,18.2,29.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,0.73,0.00,0.00,1.92,N,Y,TRUE,
4,A1,HOG_gen-01,004_A1_HOG_gen-01_TempControl-21psu,yes,21psu,TempControl,5,37.5,5,3,0.30,5.2,15.6,NA,NA,NA,NA,NA,23.6,20.5,26.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,1.10,0.00,0.00,4.02,N,Y,TRUE,new leaf coming in on old shoot
5,A1,VIK_gen-01,005_A1_VIK_gen-01_TempControl-21psu,,21psu,TempControl,5,59.7,5,3,0.50,6.1,23.3,NA,NA,NA,NA,NA,41.9,16.0,44.1,NA,NA,NA,1,4,7.9,21.2,15.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,2.00,0.36,0.00,4.17,N,Y,TRUE,new leaf coming in on new shoot
6,A1,VAT_gen-01,006_A1_VAT_gen-01_TempControl-21psu,,21psu,TempControl,5,58.3,5,2,0.60,1.4,17.5,13.0,NA,NA,NA,NA,27.1,18.2,NA,NA,NA,NA,1,4,7.9,5.0,9.4,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97,2.29,0.00,0.00,6.26,N,Y,TRUE,missing new shoot weight
7,A1,KAL_gen-01,007_A1_KAL_gen-01_TempControl-21psu,,21psu,TempControl,5,56.7,5,3,0.30,10.0,34.5,NA,NA,NA,NA,NA,53.8,23.0,48.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11,1.63,0.00,0.00,4.74,N,Y,TRUE,
8,A1,BJO_gen-01,008_A1_BJO_gen-01_TempControl-21psu,yes,21psu,TempControl,5,26.7,3,2,0.40,3.4,13.2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,1,3,9.0,8.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,0.63,0.23,0.00,3.39,Y,Y,TRUE,
10,A1,KUR_gen-02,010_A1_KUR_gen-02_TempControl-7psu,yes,7psu,TempControl,5,20.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
11,A1,BJO_gen-02,011_A1_BJO_gen-02_TempControl-7psu,,7psu,TempControl,6,43.5,5,2,0.40,16.5,34.7,4.8,NA,NA,NA,NA,36.8,21.0,NA,NA,NA,NA,1,3,16.6,9.3,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,1.67,0.18,0.00,4.19,N,Y,TRUE,"new shoot 1 has a hole on leaf3, growth to hole is 11"
