"","DNA_label","tank_ID","setupKey","setupLabel","bagKey","setupTimestamp","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","leaf_width_hole","weight_start","IsBlackLesions_start","bagnum","pop","genet","bagnum_num","new_label","need.DNA..","sal_full","temp_full","nbr_leaves","length_longest_leaf","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","Length_flower1","Length_bract1","Length_flower2","Length_bract2","Length_flower3","Length_bract3","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","picture.","isAlive","Comment","trt"
"1","BAR_gen-01","A1","c17c4d6b","003_A1_BAR_gen-01_TempControl-21psu07/04/2024 07:14:00","A622BDC6","7/4/2024 7:14:00",5,FALSE,0,36.5,NA,1.78,FALSE,"003","BAR","gen-01",3,"003_A1_BAR_gen-01_TempControl-21psu","yes","21psu","TempControl",5,36.5,5,3,0.2,0.2,9.4,NA,NA,NA,NA,NA,24.1,18.2,29.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,0.73,0,0,1.92,"N","Y",TRUE,"","TempControl_21psu"
"2","BAR_gen-02","A1","066ae7d9","016_A1_BAR_gen-02_TempControl-7psu07/04/2024 07:17:27","7CEB63EA","7/4/2024 7:17:27",4,FALSE,0,26,NA,1.57,FALSE,"016","BAR","gen-02",16,"016_A1_BAR_gen-02_TempControl-7psu","yes","7psu","TempControl",4,26,5,3,0.2,13.1,3.4,NA,NA,NA,NA,NA,18.1,9.7,16.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.32,0,0,1.79,"N","Y",TRUE,"","TempControl_7psu"
"3","BAR_gen-03","A1","dd5a123e","021_A1_BAR_gen-03_TempControl-21psu07/04/2024 07:17:51","7150E0DB","7/4/2024 7:17:51",5,FALSE,0,37,NA,1.51,FALSE,"021","BAR","gen-03",21,"021_A1_BAR_gen-03_TempControl-21psu","yes","21psu","TempControl",5,37,5,3,0.2,0.3,9.8,NA,NA,NA,NA,NA,27.4,4.6,24.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.58,0,0,1.38,"N","Y",TRUE,"","TempControl_21psu"
"4","BAR_gen-04","A1","e0424209","028_A1_BAR_gen-04_TempControl-7psu07/04/2024 07:19:58","BB0780DF","7/4/2024 7:19:58",5,FALSE,0,30.7,NA,1.56,FALSE,"028","BAR","gen-04",28,"028_A1_BAR_gen-04_TempControl-7psu","yes","7psu","TempControl",5,30.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"5","BAR_gen-05","A2","22abc6b9","038_A2_BAR_gen-05_TempControl-21psu07/04/2024 07:21:39","8E10126B","7/4/2024 7:21:39",4,FALSE,0,39.5,NA,1.78,TRUE,"038","BAR","gen-05",38,"038_A2_BAR_gen-05_TempControl-21psu","","21psu","TempControl",4,39.5,3,2,0.3,14.7,NA,NA,NA,NA,NA,NA,8.6,34.6,NA,NA,NA,NA,1,1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.42,0.01,0,1.32,"N","Y",TRUE,"","TempControl_21psu"
"6","BAR_gen-06","A2","b9028b6c","045_A2_BAR_gen-06_TempControl-7psu07/04/2024 07:22:54","D9E7C45A","7/4/2024 7:22:54",4,FALSE,0,66,NA,1.52,FALSE,"045","BAR","gen-06",45,"045_A2_BAR_gen-06_TempControl-7psu","yes","7psu","TempControl",4,66,5,3,0.3,3.3,13.6,NA,NA,NA,NA,NA,30.9,10,29.1,NA,NA,NA,1,2,2.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.06,0.02,0,3.28,"N","Y",TRUE,"","TempControl_7psu"
"7","BAR_gen-07","A2","7c95b891","056_A2_BAR_gen-07_TempControl-21psu07/04/2024 07:24:40","7A7B2461","7/4/2024 7:24:40",4,FALSE,0,36,NA,1.6,FALSE,"056","BAR","gen-07",56,"056_A2_BAR_gen-07_TempControl-21psu","yes","21psu","TempControl",4,36,5,2,0.3,0,25.8,8,NA,NA,NA,NA,25.6,5.3,NA,NA,NA,NA,1,1,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.55,0.2,0,1.65,"N","Y",TRUE,"","TempControl_21psu"
"8","BAR_gen-08","A2","69977c1e","063_A2_BAR_gen-08_TempControl-7psu07/04/2024 07:26:19","95923563","7/4/2024 7:26:19",4,FALSE,0,33.6,NA,2.4,FALSE,"063","BAR","gen-08",63,"063_A2_BAR_gen-08_TempControl-7psu","yes","7psu","TempControl",4,33.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"9","BAR_gen-09","A3","f8483d99","070_A3_BAR_gen-09_TempWarm-16psu07/04/2024 07:28:16","9DD26146","7/4/2024 7:28:16",4,FALSE,0,45.7,NA,2.62,FALSE,"070","BAR","gen-09",70,"070_A3_BAR_gen-09_TempWarm-16psu","absolutely yes","16psu","TempWarm",4,45.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"10","BAR_gen-10","A3","d8b926c6","076_A3_BAR_gen-10_TempWarm-5psu07/04/2024 07:29:33","7A882DEA","7/4/2024 7:29:33",4,FALSE,0,29.6,NA,1.1,FALSE,"076","BAR","gen-10",76,"076_A3_BAR_gen-10_TempWarm-5psu","absolutely yes","5psu","TempWarm",4,29.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
