"DNA_label","new_label","pop","genet","bagnum","tank_ID","sal_full","temp_full","trt","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","weight_start","IsBlackLesions_start","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","isAlive","Length_flower1","Length_bract1","pop_trt","block","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio"
"BAR_gen-01","003_A1_BAR_gen-01_TempControl-21psu","BAR","gen-01",3,"A1","21psu","TempControl","TempControl_21psu",5,FALSE,0,36.5,1.78,FALSE,5,3,0.2,0.2,9.4,NA,NA,NA,NA,NA,24.1,18.2,29.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,0.73,0,0,1.92,"N",1,NA,NA,"BAR_TempControl_21psu","1",21.34,21.3,21.3,21.4,0.0547722557505154,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,1,3,"1_3",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126
"BAR_gen-02","016_A1_BAR_gen-02_TempControl-7psu","BAR","gen-02",16,"A1","7psu","TempControl","TempControl_7psu",4,FALSE,0,26,1.57,FALSE,5,3,0.2,13.1,3.4,NA,NA,NA,NA,NA,18.1,9.7,16.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.32,0,0,1.79,"N",1,NA,NA,"BAR_TempControl_7psu","2",7.16,7.2,7.1,7.2,0.0547722557505169,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,4,4,"4_4",61.1,2.35,0.22,0.140127388535032,0.217687074829932
"BAR_gen-03","021_A1_BAR_gen-03_TempControl-21psu","BAR","gen-03",21,"A1","21psu","TempControl","TempControl_21psu",5,FALSE,0,37,1.51,FALSE,5,3,0.2,0.3,9.8,NA,NA,NA,NA,NA,27.4,4.6,24.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.58,0,0,1.38,"N",1,NA,NA,"BAR_TempControl_21psu","3",21.3,21.3,21.3,21.3,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,6,1,"6_1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725
"BAR_gen-05","038_A2_BAR_gen-05_TempControl-21psu","BAR","gen-05",38,"A2","21psu","TempControl","TempControl_21psu",4,FALSE,0,39.5,1.78,TRUE,3,2,0.3,14.7,NA,NA,NA,NA,NA,NA,8.6,34.6,NA,NA,NA,NA,1,1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.42,0.01,0,1.32,"N",1,NA,NA,"BAR_TempControl_21psu","5",21.275,21.3,21.2,21.3,0.0500000000000007,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,2,6,"2_6",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551
"BAR_gen-06","045_A2_BAR_gen-06_TempControl-7psu","BAR","gen-06",45,"A2","7psu","TempControl","TempControl_7psu",4,FALSE,0,66,1.52,FALSE,5,3,0.3,3.3,13.6,NA,NA,NA,NA,NA,30.9,10,29.1,NA,NA,NA,1,2,2.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.06,0.02,0,3.28,"N",1,NA,NA,"BAR_TempControl_7psu","6",7.14,7,7,7.7,0.313049516849971,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,4,5,"4_5",92.9,1.40757575757576,1.76,1.15789473684211,0.481818181818182
"BAR_gen-07","056_A2_BAR_gen-07_TempControl-21psu","BAR","gen-07",56,"A2","21psu","TempControl","TempControl_21psu",4,FALSE,0,36,1.6,FALSE,5,2,0.3,0,25.8,8,NA,NA,NA,NA,25.6,5.3,NA,NA,NA,NA,1,1,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.55,0.2,0,1.65,"N",1,NA,NA,"BAR_TempControl_21psu","7",21.2,21.2,21.1,21.3,0.0707106781186545,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,6,8,"6_8",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111
"BAR_gen-11","083_A3_BAR_gen-11_TempWarm-16psu","BAR","gen-11",83,"A3","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,37,1.93,FALSE,4,3,0.3,4.7,12.4,NA,NA,NA,NA,NA,17.5,9.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,0.81,0,0,2.1,"N",1,NA,NA,"BAR_TempWarm_16psu","11",16.18,16.2,16.1,16.2,0.0447213595499948,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,5,11,"5_11",44.1,1.19189189189189,0.17,0.0880829015544042,0.627906976744186
"BAR_gen-12","090_A3_BAR_gen-12_TempWarm-5psu","BAR","gen-12",90,"A3","5psu","TempWarm","TempWarm_5psu",6,TRUE,2,38,1.9,TRUE,3,2,0.2,8.2,NA,NA,NA,NA,NA,NA,3.9,11.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.13,0,0,1.38,"N",1,NA,NA,"BAR_TempWarm_5psu","12",5.1,5.1,5.1,5.1,0,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,7,10,"7_10",23.8,0.626315789473684,-0.52,-0.273684210526316,0.104
"BAR_gen-13","100_A4_BAR_gen-13_TempWarm-16psu","BAR","gen-13",100,"A4","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,33,2.33,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.3,1.4,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0,0.03,0,1.35,"N",1,NA,NA,"BAR_TempWarm_16psu","13",16.14,16.1,16.1,16.2,0.0547722557505154,25.7714604437466,26.16646484375,16.428076171875,34.23173828125,2.47389489451105,1,16,"1_16",8.8,0.266666666666667,-0.98,-0.420600858369099,0
"BAR_gen-15","114_A4_BAR_gen-15_TempWarm-16psu","BAR","gen-15",114,"A4","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,35,1.67,FALSE,3,2,0.25,12.6,NA,NA,NA,NA,NA,NA,14.6,2.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.17,0,0,0.94,"N",1,NA,NA,"BAR_TempWarm_16psu","15",16.06,16,16,16.2,0.0894427190999915,25.7714604437466,26.16646484375,16.428076171875,34.23173828125,2.47389489451105,5,14,"5_14",29.3,0.837142857142857,-0.73,-0.437125748502994,0.220779220779221
"BAR_gen-21","161_B2_BAR_gen-21_TempWarm-16psu","BAR","gen-21",161,"B2","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,39.5,2.09,FALSE,4,2,0.3,22.8,7.5,NA,NA,NA,NA,NA,5.6,27.6,NA,NA,NA,NA,1,2,3.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.45,0.04,0,1.56,"N",1,NA,NA,"BAR_TempWarm_16psu","21",16.175,16.1,16.1,16.4,0.149999999999999,25.8957324470566,26.123564453125,16.55677734375,31.700615234375,2.36168510535851,9,5,"9_5",80.5,2.0379746835443,-0.53,-0.253588516746411,0.420560747663551
