"pop","site","site_abbrev","lat","long","order","trt","surv_mean","surv_sd","len_mean","len_sd","weigh_mean","weigh_sd"
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl_21psu",1,0,2.83654651031856,1.25868397515004,0.0507254689044485,0.362705887615036
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl_7psu",0.5,0.522232967867094,2.84807566061179,2.96217966844985,0.116712877387036,0.608665909718772
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm_16psu",0.583333333333333,0.514928650544437,1.31252354874207,0.729839661684733,-0.197644563191974,0.221055131991367
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm_5psu",0.0833333333333333,0.288675134594813,0.626315789473684,NA,-0.273684210526316,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl_21psu",1,0,2.65753488688769,0.729433429607384,0.104380723082421,0.352031075756071
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl_7psu",0.5,0.522232967867094,2.93646925240915,1.20803190681111,-0.0326299566146135,0.297926973711846
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm_16psu",0.416666666666667,0.514928650544437,1.26255811215393,0.391598425563473,-0.257029138910393,0.0774299936319682
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm_5psu",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl_21psu",0.909090909090909,0.301511344577764,2.07892664338215,0.983785993686147,-0.128686115981234,0.29421467914732
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl_7psu",0.5,0.522232967867094,2.50235050391227,0.682203470238191,0.126027590270904,0.377374560846682
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm_16psu",0.666666666666667,0.492365963917331,1.64011167493856,0.665022785516336,-0.300584734100372,0.177387107177575
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm_5psu",0.0833333333333333,0.288675134594813,1.31968810916179,NA,-0.497854077253219,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl_21psu",0.916666666666667,0.288675134594813,2.45613763694606,0.772157861008053,0.0947212517100894,0.128551200388155
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl_7psu",0.5,0.522232967867094,2.06692465232292,0.664728412819026,-0.146787972023416,0.202106971777988
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm_16psu",0.666666666666667,0.492365963917331,1.90717253901354,0.520807735418343,-0.199927626159877,0.223254153326399
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm_5psu",0,0,NA,NA,NA,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl_21psu",1,0,2.38192940840618,0.732764170008535,-0.0643322790994192,0.20249737333756
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl_7psu",0.666666666666667,0.492365963917331,2.70748468740408,0.380807459228973,0.108663538951656,0.200072731543513
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm_16psu",0.75,0.452267016866645,1.83882669803468,0.615690969727945,-0.147872385969053,0.160996661735825
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm_5psu",0.166666666666667,0.389249472080761,1.37503235501359,0.81573111743021,-0.19527389739523,0.543939076889993
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl_21psu",1,0,4.1411018157348,1.79488692605134,0.191370593847635,0.233197124907473
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl_7psu",0.333333333333333,0.492365963917331,4.49165306863494,3.14603399513502,0.325146926240376,0.754712228910086
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm_16psu",0.416666666666667,0.514928650544437,2.82338395777904,0.909993650660602,-0.0588247612590265,0.36563135242936
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm_5psu",0,0,NA,NA,NA,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl_21psu",0.916666666666667,0.288675134594813,2.60900939470273,0.811860313536007,0.05074297525761,0.256321552851271
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempControl_7psu",0.0833333333333333,0.288675134594813,0.538461538461539,NA,-0.109442060085837,NA
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm_16psu",0.272727272727273,0.467099366496914,1.25293246187364,0.506431277624642,-0.567279015165937,0.379793138518598
"VAT","Inre Vattenholmen","VAT",58.87729419,11.11564685,1,"TempWarm_5psu",0,0,NA,NA,NA,NA
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl_21psu",1,0,2.62019636142536,1.21975412047235,-0.0652277823463506,0.228564197364507
"VIK","Vik","VIK",58.052528,11.568306,2,"TempControl_7psu",0.75,0.452267016866645,1.79572268126083,1.21885854956619,-0.218608287406234,0.498582769695359
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm_16psu",1,0,1.59952811249851,0.60561451560851,-0.337923339938033,0.253689475239374
"VIK","Vik","VIK",58.052528,11.568306,2,"TempWarm_5psu",0,0,NA,NA,NA,NA
