"pop","site","site_abbrev","lat","long","pop_order","trt","tank_ID","surv_mean","surv_sd","len_mean","len_sd","weigh_mean","weigh_sd"
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-7psu","A2",0.5,0.707106781186548,1.40757575757576,NA,1.15789473684211,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-7psu","A1",0.5,0.707106781186548,2.35,NA,0.140127388535032,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-5psu","A4",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-7psu","C1",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-7psu","C2",0.5,0.707106781186548,1.02558139534884,NA,-0.317829457364341,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-7psu","C3",1,0,5.6213258995726,4.43377275933395,0.107482571192249,0.452458938534852
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-21psu","A1",1,0,2.01777119585339,0.300330581035619,-0.00372051491926489,0.116491882844484
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-21psu","A2",1,0,1.84215893108298,0.356785594586039,-0.113588483146067,0.204832547218715
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-21psu","C1",1,0,2.94433566433566,0.492106761284511,0.024611375357644,0.0860672132295475
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-21psu","C2",1,0,3.3015303030303,2.22097954475051,0.11958041958042,0.940501467004765
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-21psu","C3",1,0,4.17033947065593,2.06684301444521,0.255502851878712,0.514956240909978
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-21psu","C4",1,0,2.7431434969531,0.642941211831901,0.0219671646752479,0.27957024281931
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-5psu","A3",0.5,0.707106781186548,0.626315789473684,NA,-0.273684210526316,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempControl-7psu","C4",0.5,0.707106781186548,1.06264501160093,NA,-0.494880546075085,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-16psu","B1",0,0,NA,NA,NA,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-16psu","B2",0.5,0.707106781186548,2.0379746835443,NA,-0.253588516746411,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-16psu","A3",0.5,0.707106781186548,1.19189189189189,NA,0.0880829015544042,NA
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-16psu","A4",1,0,0.551904761904762,0.403387582791183,-0.428863303436046,0.01168486187204
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-16psu","B3",1,0,2.0257443709744,0.240559602708861,-0.104382284382284,0.286073316882837
"BAR","Barsebäckshamn","BAR",55.75528,12.90189,4,"TempWarm-16psu","B4",0.5,0.707106781186548,0.8025,NA,-0.151515151515152,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-7psu","C3",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-7psu","C1",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-7psu","C2",1,0,3.77116454689984,0.234437562257464,0.0512865482424273,0.258833715158857
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-16psu","B1",0.5,0.707106781186548,0.811447811447812,NA,-0.172566371681416,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-16psu","B2",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-16psu","B3",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-16psu","B4",1,0,1.14984567901235,0.176994938130336,-0.263087368232982,0.115598124850043
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-5psu","A4",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-7psu","C4",0.5,0.707106781186548,2.10714285714286,NA,-0.420875420875421,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-16psu","A3",0.5,0.707106781186548,1.85013623978202,NA,-0.313131313131313,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempWarm-16psu","A4",0.5,0.707106781186548,1.35151515151515,NA,-0.273273273273273,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-21psu","A1",1,0,2.70221978624281,0.945418625391321,0.239306926462419,0.0295798632133329
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-21psu","A2",1,0,1.83768093624885,0.262829434620894,-0.0565613737545049,0.0640998218434106
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-21psu","C1",1,0,2.18427666860503,0.580182096246678,-0.246728782304102,0.205855000972764
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-21psu","C2",1,0,3.63986635526145,0.758476845645655,-0.0192029378776367,0.325334613515638
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-21psu","C3",1,0,2.95696649029982,0.14167077661868,0.25067648467433,0.0564957321702325
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-21psu","C4",1,0,2.62419908466819,0.224025020263793,0.458794021294021,0.739899509675236
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-7psu","A1",0.5,0.707106781186548,3.53333333333333,NA,0.40133779264214,NA
"BJO","Björkö","BJO",59.83484289,19.07867998,8,"TempControl-7psu","A2",1,0,2.21800511508951,1.94213840013263,-0.139407603969627,0.0292929476889835
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-7psu","C4",1,0,2.60890660197539,0.431174625367434,-0.0563564875491481,0.0213151454355052
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-21psu","A2",1,0,3.03837209302326,1.46847989674323,-0.0824962555352957,0.0801976327027885
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-21psu","C1",1,NA,0.310126582278481,NA,-0.536764705882353,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-16psu","A3",1,0,1.31083486238532,0.484841712039635,-0.43058884835852,0.236783125372838
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-21psu","A1",1,0,2.38669879518072,0.0527518697482784,0.224579880740339,0.102837956715584
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-21psu","C4",0.5,0.707106781186548,1.50088495575221,NA,-0.356140350877193,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-7psu","A1",1,0,2.81920496356684,0.996662952459532,0.0877464910014638,0.0519385244426182
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-7psu","A2",0.5,0.707106781186548,1.54710144927536,NA,0.867298578199052,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-7psu","C1",0.5,0.707106781186548,2.61077844311377,NA,-0.173913043478261,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-7psu","C2",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-7psu","C3",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-21psu","C2",1,0,2.44792650918635,0.0866345001201783,-0.0458178330620786,0.0703859778413139
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-16psu","A4",1,0,2.375492463592,0.115347148835238,-0.361508396684276,0.0821510906287683
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-16psu","B1",0.5,0.707106781186548,2.05,NA,-0.254285714285714,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-16psu","B2",1,0,1.42857142857143,0.808122035641769,-0.135616819827346,0.244169425973634
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-5psu","A4",0.5,0.707106781186548,1.31968810916179,NA,-0.497854077253219,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempControl-21psu","C3",1,0,1.61613005050505,0.591443039390187,-0.293243843669361,0.465920496874418
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-16psu","B4",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"HOG","Höganäs","HOG",56.1969,12.55141,3,"TempWarm-16psu","B3",0.5,0.707106781186548,0.841095890410959,NA,-0.294964028776978,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-21psu","A2",1,0,2.14175928187592,1.03311599641838,-0.0411764705882353,0.0582323231565392
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-21psu","C1",1,0,2.54145427286357,0.673076604760628,0.104090491367343,0.232485394397118
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-7psu","A2",0.5,0.707106781186548,1.00597014925373,NA,-0.301775147928994,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-7psu","C2",0.5,0.707106781186548,2.17708333333333,NA,-0.161417322834646,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-7psu","C3",1,0,2.21088863732843,0.894284459913826,-0.214191668465357,0.0213215664432896
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-7psu","C4",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-7psu","C1",0.5,0.707106781186548,2.32532751091703,NA,-0.243697478991597,NA
