"poptrt","order","cols","coast","poptrt2"
"VAT",1,"#002800","West","N1-VAT"
"VIK",2,"#155d27","West","N2-VIK"
"HOG",3,"#25a244","West","N3-HOG"
"BAR",4,"#6ede8a","West","N4-BAR"
"KUR",5,"#90e0ef","East","B5-KUR"
"KAL",6,"#00b4d8","East","B6-KAL"
"HOR",7,"#0077b6","East","B7-HOR"
"BJO",8,"#03045e","East","B8-BJO"
"TempControl-21psu",9,"#FFA203","trt","Current North Sea"
"TempControl-7psu",10,"#FE691E","trt","Current Baltic Sea"
"TempWarm-16psu",11,"deeppink","trt","Future North Sea"
"TempWarm-5psu",12,"deeppink4","trt","Future Baltic Sea"
