gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
6235868601				https://creativecommons.org/licenses/by-nc/4.0/	2026-04-15T19:38:46Z		https://www.inaturalist.org/observations/333948048	naomiyama					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/333948048	333948048		naomiyama																																							2026-01-08T09:27:19+01:00	09:27:19+01:00						Thu Jan 08 2026 09:27:19 GMT +0100 (GMT)																				DK	Hovedstaden				København N												55.6911430359	12.554728508	EPSG:4326	10																																		747884305				naomiyama		2026-01-08T08:27:45Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
6235296409				https://creativecommons.org/licenses/by/4.0/	2026-04-15T19:21:23Z		https://www.inaturalist.org/observations/342922987	Daniel Ellehammer Larsen					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/342922987	342922987		Daniel Ellehammer Larsen																																							2026-03-14T14:41:14+01:00	14:41:14+01:00						2026-03-14 14:41:14																				DK	Hovedstaden				Udsholt Strand, Græsted, Denmark												56.1106223889	12.1873941389	EPSG:4326																																			773881266				Daniel Ellehammer Larsen		2026-03-14T15:38:43Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5935411616				https://creativecommons.org/licenses/by-nc/4.0/	2025-12-30T14:34:20Z		https://www.inaturalist.org/observations/329938823	caleidoskopable					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/329938823	329938823		caleidoskopable																																							2023-01-07T14:51:00+01:00	14:51:00+01:00						2023/01/07 2:51 PM																				DK	Hovedstaden				Dragør, Denmark												55.594023	12.660503	EPSG:4326	4343																																		735612172				caleidoskopable		2025-12-08T04:54:06Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5230933223				https://creativecommons.org/licenses/by-nc/4.0/	2025-07-20T20:05:15Z		https://www.inaturalist.org/observations/298165324	Chiara D’Agata					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/298165324	298165324		Chiara D’Agata																																							2025-07-09T14:49:14+02:00	14:49:14+02:00						2025-07-09 14:49:14																				SE	Gotland				Snäckgärdsvägen, Visby, Gotland County, SE												57.6631917132	18.3183369897	EPSG:4326	347																																		665574929				Chiara D’Agata		2025-07-15T20:25:20Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5230426001				https://creativecommons.org/licenses/by-nc/4.0/	2025-07-21T12:15:49Z		https://www.inaturalist.org/observations/299455782	martinskands					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/299455782	299455782		martinskands																																							2025-07-20T11:24:02+02:00	11:24:02+02:00						Sun Jul 20 2025 11:24:02 GMT +0200 (GMT)																				DK	Hovedstaden				Klampenborg												55.8069610596	12.5834388733	EPSG:4326	9																																		667930494				martinskands		2025-07-20T09:24:10Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5230048480				https://creativecommons.org/publicdomain/zero/1.0/	2025-07-12T01:06:39Z		https://www.inaturalist.org/observations/297074494	Morten Rosenvold Villadsen					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/297074494	297074494		Morten Rosenvold Villadsen																																							2025-07-06							2025-07-06																				DK	Hovedstaden				Danmark												55.9430046	11.8591605127	EPSG:4326	257																																		663299896				Morten Rosenvold Villadsen		2025-07-11T18:02:34Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5176775620				https://creativecommons.org/licenses/by-nc/4.0/	2025-09-25T06:52:33Z		https://www.inaturalist.org/observations/284873090	Sven Ängermark					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/284873090	284873090		Sven Ängermark																																							2013-07-27T17:11:53+02:00	17:11:53+02:00						2013-07-27 17:11:53+02:00																				SE	Västra Götaland				Askeröfjorden, Askerön, Västra Götalands län, SE												58.0845077026	11.7547978983	EPSG:4326	100																																		639675332				Sven Ängermark		2025-05-28T18:24:44Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5168546320				https://creativecommons.org/licenses/by-nc/4.0/	2025-05-24T05:43:07Z		https://www.inaturalist.org/observations/283365056	Björn Källström					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/283365056	283365056		Björn Källström																																							2021-06-20T14:12:00+02:00	14:12:00+02:00						2021/06/20 2:12 PM																				SE	Västra Götaland				Hönö, Sweden												57.698821861	11.6781088782	EPSG:4326	15																																		636735583				Björn Källström		2025-05-23T13:14:37Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5167567093				https://creativecommons.org/licenses/by-nc/4.0/	2025-05-23T14:20:09Z		https://www.inaturalist.org/observations/283350167	Björn Källström					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/283350167	283350167		Björn Källström																																							2019-08-10T16:55:00+02:00	16:55:00+02:00						2019/08/10 4:55 PM																				SE	Västra Götaland				Strömstad Municipality, Sweden												58.9462368797	11.17120904	EPSG:4326																																			636704776				Björn Källström		2025-05-23T11:43:00Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
5069833802				https://creativecommons.org/licenses/by-nc/4.0/	2025-04-15T09:35:53Z		https://www.inaturalist.org/observations/261437542	Mario Aliana Pedrosa					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/261437542	261437542		Mario Aliana Pedrosa																								They grow up in a nearby sandbank. When the weather catches on, they get sent into the shore and eventually rottens up.															2025-02-12T13:19:25+01:00	13:19:25+01:00						2025-02-12 13:19:25																				DK	Hovedstaden				Søvej, Dragør, Capital Region of Denmark, DK												55.5707883333	12.6233783333	EPSG:4326	3																																		591780863				Mario Aliana Pedrosa		2025-02-12T12:37:41Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
