"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_MLL"
"1","AHU",351,"AHU-01","01","Åhus",0.000483768747107459
"2","AHU",366,"AHU-02","02","Åhus",0.000483768747107459
"3","AHU",361,"AHU-09","09","Åhus",0.000483768747107459
"4","AHU",367,"AHU-13","13","Åhus",0.000483768747107459
"5","ALA",219,"ALA-01","01","Ålabadarna",0.00011065536335922
"6","ALA",222,"ALA-02","02","Ålabadarna",0.00011065536335922
"7","ALA",230,"ALA-03","03","Ålabadarna",0.00011065536335922
"8","ALA",220,"ALA-04","04","Ålabadarna",0.00011065536335922
"9","ALA",229,"ALA-09","09","Ålabadarna",0.00011065536335922
"10","ALA",231,"ALA-11","11","Ålabadarna",0.00011065536335922
"11","ALA",233,"ALA-13","13","Ålabadarna",0.00011065536335922
"12","ALA",234,"ALA-14","14","Ålabadarna",0.00011065536335922
"13","ALA",236,"ALA-15","15","Ålabadarna",0.00011065536335922
"14","ALA",237,"ALA-17","17","Ålabadarna",0.00011065536335922
"15","ALA",238,"ALA-18","18","Ålabadarna",0.00011065536335922
"16","ALA",239,"ALA-19","19","Ålabadarna",0.00011065536335922
"17","ALA",240,"ALA-20","20","Ålabadarna",0.00011065536335922
"18","BAD",519,"BAD-03","03","Bödagården",0.000178131290452556
"19","BAD",520,"BAD-06","06","Bödagården",0.000178131290452556
"20","BAD",526,"BAD-16","16","Bödagården",0.000178131290452556
"21","BAD",533,"BAD-17","17","Bödagården",0.000178131290452556
"22","BAR",241,"BAR-01","01","Barsebäck hamn",0.000178131290452556
"23","BAR",244,"BAR-02","02","Barsebäck hamn",0.000178131290452556
"24","BAR",247,"BAR-03","03","Barsebäck hamn",0.000178131290452556
"25","BAR",250,"BAR-06","06","Barsebäck hamn",0.000178131290452556
"26","BAR",251,"BAR-07","07","Barsebäck hamn",0.000178131290452556
"27","BAR",255,"BAR-10","10","Barsebäck hamn",0.000178131290452556
"28","BAR",258,"BAR-14","14","Barsebäck hamn",0.000178131290452556
"29","BAR",259,"BAR-15","15","Barsebäck hamn",0.000178131290452556
"30","BAR",260,"BAR-16","16","Barsebäck hamn",0.000178131290452556
"31","BAR",261,"BAR-17","17","Barsebäck hamn",0.000484529980357842
"32","BAR",262,"BAR-18","18","Barsebäck hamn",0.00202035565945303
"33","BAR",263,"BAR-19","19","Barsebäck hamn",0.000735664751855626
"34","BAR",264,"BAR-20","20","Barsebäck hamn",0.000646189653190962
"35","BJN",394,"BJN-02","02","Björkenäs",0.000646189653190962
"36","BJO",703,"BJO-01","01","Björkö",0.000646189653190962
"37","BLA",404,"BLA-01","01","Bläsinge",0.000646189653190962
"38","BUR",489,"BUR-01","01","Burgsvik",0.000584848109608149
"39","BUR",491,"BUR-03","03","Burgsvik",0.000584848109608149
"40","BUR",493,"BUR-05","05","Burgsvik",0.000584848109608149
"41","BUR",494,"BUR-06","06","Burgsvik",0.000584848109608149
"42","BUR",496,"BUR-07","07","Burgsvik",0.000584848109608149
"43","BUR",498,"BUR-09","09","Burgsvik",0.000584848109608149
"44","BUR",499,"BUR-10","10","Burgsvik",0.000584848109608149
"45","BUR",501,"BUR-11","11","Burgsvik",0.000584848109608149
"46","BUR",504,"BUR-13","13","Burgsvik",0.000584848109608149
"47","BUR",507,"BUR-14","14","Burgsvik",0.000584848109608149
"48","BUR",508,"BUR-16","16","Burgsvik",0.000584848109608149
"49","BUR",509,"BUR-17","17","Burgsvik",0.000584848109608149
"50","BUR",511,"BUR-18","18","Burgsvik",0.000584848109608149
"51","EKO",615,"EKO-01","01","Ekön",0.000580066480497468
"52","EKO",624,"EKO-09","09","Ekön",0.000580066480497468
"53","FUR",383,"FUR-02","02","Furumon",0.000210802287048178
"54","FUR",379,"FUR-18","18","Furumon",0.000210802287048178
"55","GAL",669,"GAL-01","01","Gålö",0.00101479250949081
"56","GAL",687,"GAL-16","16","Gålö",0.00101479250949081
"57","GAS",44,"GAS-01","01","Gåsholmen ",0.000464715790018019
"58","GAS",46,"GAS-02","02","Gåsholmen ",0.000464715790018019
"59","GAS",47,"GAS-04","04","Gåsholmen ",0.000464715790018019
"60","GAS",48,"GAS-05","05","Gåsholmen ",0.000464715790018019
"61","GAS",49,"GAS-06","06","Gåsholmen ",0.000464715790018019
"62","GAS",50,"GAS-07","07","Gåsholmen ",0.000464715790018019
"63","GAS",51,"GAS-08","08","Gåsholmen ",0.000464715790018019
"64","GAS",52,"GAS-09","09","Gåsholmen ",0.000464715790018019
"65","GAS",53,"GAS-10","10","Gåsholmen ",0.000464715790018019
"66","GAS",56,"GAS-11","11","Gåsholmen ",0.000464715790018019
"67","GAS",66,"GAS-20","20","Gåsholmen ",0.000464715790018019
"68","GOT",176,"GOT-01","01","Gottskär",1.65895636017576e-05
"69","GOT",177,"GOT-05","05","Gottskär",1.65895636017576e-05
"70","GOT",178,"GOT-06","06","Gottskär",1.65895636017576e-05
"71","GOT",179,"GOT-09","09","Gottskär",1.65895636017576e-05
"72","GRO",193,"GRO-01","01","Grötvik",4.67641079796898e-05
"73","GRO",197,"GRO-10","10","Grötvik",4.67641079796898e-05
"74","HAN",744,"HAN-01","01","Hanko",0.0108151656877825
"75","HAN",749,"HAN-11","11","Hanko",0.0108151656877825
"76","HAN",754,"HAN-16","16","Hanko",0.0108151656877825
"77","HOG",200,"HOG-01","01","Höganäs",3.61960952544106e-05
"78","HOG",216,"HOG-02","02","Höganäs",3.61960952544106e-05
"79","HOG",203,"HOG-04","04","Höganäs",3.61960952544106e-05
"80","HOG",204,"HOG-05","05","Höganäs",3.61960952544106e-05
"81","HOG",205,"HOG-06","06","Höganäs",3.61960952544106e-05
"82","HOG",217,"HOG-07","07","Höganäs",3.61960952544106e-05
"83","HOG",208,"HOG-09","09","Höganäs",3.61960952544106e-05
"84","HOG",210,"HOG-15","15","Höganäs",3.61960952544106e-05
"85","HOG",212,"HOG-17","17","Höganäs",3.61960952544106e-05
"86","HOG",213,"HOG-18","18","Höganäs",3.61960952544106e-05
"87","HOG",214,"HOG-10","10","Höganäs",3.61960952544106e-05
"88","HOG",218,"HOG-19","19","Höganäs",3.61960952544106e-05
"89","HOR",587,"HOR-10","10","Hornsudde",0.000601356798614068
"90","ING",771,"ING-01","01","Ingå",0.0288941846122625
"91","KAL",426,"KAL-01","01","Kalmarsund",0.000508388551170337
"92","KAL",427,"KAL-02","02","Kalmarsund",0.000508388551170337
"93","KAL",441,"KAL-04","04","Kalmarsund",0.000508388551170337
"94","KAL",436,"KAL-06","06","Kalmarsund",0.000508388551170337
"95","KAL",448,"KAL-20","20","Kalmarsund",0.000508388551170337
"96","KAR",451,"KAR-02","02","Kårehamn",0.000420893855976127
"97","KAR",460,"KAR-03","03","Kårehamn",0.000420893855976127
"98","KAV",69,"KAV-01","01","Kämpersvik",0.000420893855976127
"99","KAV",71,"KAV-02","02","Kämpersvik",0.000420893855976127
"100","KAV",72,"KAV-03","03","Kämpersvik",0.000420893855976127
"101","KAV",75,"KAV-04","04","Kämpersvik",0.000420893855976127
"102","KAV",76,"KAV-05","05","Kämpersvik",0.000420893855976127
"103","KAV",77,"KAV-06","06","Kämpersvik",0.000420893855976127
"104","KAV",78,"KAV-07","07","Kämpersvik",0.000420893855976127
"105","KAV",79,"KAV-08","08","Kämpersvik",0.000420893855976127
"106","KAV",84,"KAV-11","11","Kämpersvik",0.000420893855976127
"107","KAV",85,"KAV-14","14","Kämpersvik",0.000420893855976127
"108","KAV",86,"KAV-15","15","Kämpersvik",0.000420893855976127
"109","KAV",87,"KAV-16","16","Kämpersvik",0.000610793122399918
"110","KAV",90,"KAV-17","17","Kämpersvik",0.000610793122399918
"111","KIE",2,"KIE-01","01","Kiel",0.00118738246980111
"112","KIE",4,"KIE-03","03","Kiel",0.00118738246980111
"113","KIE",5,"KIE-04","04","Kiel",0.00118738246980111
"114","KIE",7,"KIE-05","05","Kiel",0.00118738246980111
"115","KIE",11,"KIE-09","09","Kiel",0.00118738246980111
"116","KIE",12,"KIE-10","10","Kiel",0.00118738246980111
"117","KIE",14,"KIE-11","11","Kiel",0.00118738246980111
