"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"1","AHU",351,"AHU-01","01","Åhus",3.66847210303032e-05
"2","AHU",366,"AHU-02","02","Åhus",3.66847210303032e-05
"3","AHU",366,"AHU-03","03","Åhus",3.66847210303032e-05
"4","AHU",366,"AHU-04","04","Åhus",3.66847210303032e-05
"5","AHU",366,"AHU-06","06","Åhus",3.66847210303032e-05
"6","AHU",366,"AHU-07","07","Åhus",3.66847210303032e-05
"7","AHU",351,"AHU-08","08","Åhus",3.66847210303032e-05
"8","AHU",361,"AHU-09","09","Åhus",3.66847210303032e-05
"9","AHU",361,"AHU-10","10","Åhus",3.66847210303032e-05
"10","AHU",361,"AHU-11","11","Åhus",3.66847210303032e-05
"11","AHU",367,"AHU-13","13","Åhus",3.66847210303032e-05
"12","AHU",366,"AHU-14","14","Åhus",3.66847210303032e-05
"13","AHU",366,"AHU-15","15","Åhus",3.66847210303032e-05
"14","AHU",366,"AHU-16","16","Åhus",3.66847210303032e-05
"15","AHU",367,"AHU-17","17","Åhus",3.66847210303032e-05
"16","AHU",367,"AHU-18","18","Åhus",3.66847210303032e-05
"17","AHU",366,"AHU-19","19","Åhus",3.66847210303032e-05
"18","AHU",366,"AHU-20","20","Åhus",3.66847210303032e-05
"19","ALA",219,"ALA-01","01","Ålabadarna",2.86993823657772e-05
"20","ALA",222,"ALA-02","02","Ålabadarna",2.86993823657772e-05
"21","ALA",230,"ALA-03","03","Ålabadarna",2.86993823657772e-05
"22","ALA",220,"ALA-04","04","Ålabadarna",2.86993823657772e-05
"23","ALA",230,"ALA-07","07","Ålabadarna",2.86993823657772e-05
"24","ALA",230,"ALA-08","08","Ålabadarna",2.86993823657772e-05
"25","ALA",229,"ALA-09","09","Ålabadarna",2.86993823657772e-05
"26","ALA",230,"ALA-10","10","Ålabadarna",2.86993823657772e-05
"27","ALA",231,"ALA-11","11","Ålabadarna",2.86993823657772e-05
"28","ALA",230,"ALA-12","12","Ålabadarna",2.86993823657772e-05
"29","ALA",233,"ALA-13","13","Ålabadarna",2.86993823657772e-05
"30","ALA",234,"ALA-14","14","Ålabadarna",2.86993823657772e-05
"31","ALA",236,"ALA-15","15","Ålabadarna",2.86993823657772e-05
"32","ALA",236,"ALA-16","16","Ålabadarna",2.86993823657772e-05
"33","ALA",237,"ALA-17","17","Ålabadarna",2.86993823657772e-05
"34","ALA",238,"ALA-18","18","Ålabadarna",2.86993823657772e-05
