"","site","region","site_full","lat","long","offset_full","offset_MLL","order_full","order_MLL"
"1","AHU","Kristianstad","Åhus",55.973569,14.402056,3.66847210303032e-05,0.000483768747107459,17,24
"2","ALA","Øresund","Ålabadarna",55.940683,12.771034,2.86993823657772e-05,0.00011065536335922,14,9
"3","BAD","Öland","Bödagården",57.259256,17.058547,3.80001463953513e-05,0.000178131290452556,18,10
"4","BAR","Barsebäck","Barsebäck hamn",55.75528,12.90189,9.77969373146721e-05,0.000422301666071574,33,21
"5","BJN","Karlskrona","Björkenäs",56.159447,15.925111,0.000147175994874486,0.000646189653190962,35,32
"6","BJO","Östersjö","Björkö",59.8348428864531,19.0786799804945,6.54047977591205e-05,0.000646189653190962,29,33
"7","BLA","Öland","Bläsinge",56.621246,16.704923,4.97345143954752e-05,0.000646189653190962,25,34
"8","BUR","Gotland","Burgsvik",57.032289,18.223786,0.000251014861900187,0.000584848109608149,36,29
"9","EKO","Valdemarsvik","Ekön",58.175265,16.854798,3.82896076566315e-05,0.000580066480497468,19,28
"10","FUR","Pukaviksbukten","Furumon",56.0953999996185,14.7202999750773,1.10929477644389e-05,0.000210802287048178,4,12
"11","GAL","Haninge","Gålö",59.0908730537424,18.3269233873823,7.55582531053114e-05,0.00101479250949081,30,35
"12","GAS","Kosterhavet","Gåsholmen ",58.878628,11.134688,1.61109656202686e-05,0.000464715790018019,7,23
"13","GOT","Kungsbacka","Gottskär",57.39626,12.02123,5.87206831965681e-06,1.65895636017576e-05,1,1
"14","GRO","Lahalmsbukten","Grötvik",56.64116,12.78014,8.52584674209464e-06,4.67641079796898e-05,3,7
"15","HAN","Finland","Hanko",59.824232,22.990247,0.000322559205142274,0.0108151656877825,38,37
"16","HOG","Södra Höganäs","Höganäs",56.1969,12.55141,1.62055665111083e-05,3.61960952544106e-05,8,2
"17","HOR","Hornsudde","Hornsudde",57.695151,16.730625,4.80724704319179e-05,0.000601356798614068,24,30
"18","ING","Finland","Ingå",59.9906558,24.039419,0.000819672363726527,0.0288941846122625,39,39
"19","KAL","Kalmar","Kalmarsund",56.654431,16.351908,5.63137021123092e-05,0.000508388551170337,28,25
"20","KAR","Öland","Kårehamn",56.969566,16.912377,1.84717949528045e-05,0.000420893855976127,10,20
"21","KAV","Grebbestad-Fjällbacka","Kämpersvik",58.64622,11.27672,5.20757179824432e-05,0.000450109127733633,26,22
"22","KIE","Germany","Kiel",54.345615,10.154972,9.64458655333454e-05,0.00118738246980111,32,36
"23","KLI","Gotland","Klintehamn",57.401162,18.152719,2.56023836840353e-05,0.000579381993375309,13,27
"24","KOD","Kosterhavet","Koster donor site",58.882538,10.991989,2.08789809896685e-05,0.000558983842279869,11,26
"25","KRA","Tystberga","Krampö",58.690647,17.4658689,3.43496797909414e-05,0.000379055106748253,15,18
"26","KUR","Trelleborg","Kurland",55.395972,12.982861,4.08998371312232e-05,0.000398566780798619,20,19
"27","LJU","Ljugarn","Ljugarn",57.319176,18.695397,4.22918361968296e-05,0.000645562486805384,21,31
"28","LOM","Lomma","South Lomma Bay",55.67242,13.05485,1.76571944446474e-05,0.000371458408765919,9,17
"29","NOV","Sälöfjorden","N. Överön",57.795244,11.728779,4.54394176391322e-05,3.84980292971615e-05,23,3
"30","NYN","Nynäshamn","Nynäshamn",58.8811079,17.9542217,5.33466552988073e-05,3.84980292971615e-05,27,4
"31","OSK","Oskarshamn","Oskarshamn",57.031518,16.583068,0.000123972125058063,3.84980292971615e-05,34,5
"32","RAU","Finland","Rauma",61.052339,21.383974,1.24193664238397e-05,3.84980292971615e-05,5,6
"33","SBR","Göteborgs S skärgård","S. Brännö",57.64159,11.79115,2.34688240214538e-05,0.000200788043427911,12,11
"34","SKI","Skillinge","Skillinge",55.457556,14.2785,7.9117351438863e-05,0.000225312083062657,31,13
"35","SLI","Gotland","Slite",57.713318,18.831167,4.32667440244116e-05,0.000225312083062657,22,14
"36","STE","Hake-Älgöfjorden","Stenungsund",58.05143,11.81013,7.35063807695668e-06,8.46399193224868e-05,2,8
"37","TAL","Estonia","Tallinn",59.4576,24.5688,0.000287799389366138,0.0169195139004586,37,38
"38","VHA","Ellös-Havstenfjord","Väst Hjältön",58.25641,11.60238,1.37573677862147e-05,0.00023358153903122,6,15
"39","YST","Gamla Staden-Sandskogen","Ystad",55.4215587861172,13.8463615898543,3.44994052282547e-05,0.000320642653812316,16,16
