pop_order;region;site_full;site;lat;long;sampling_date;water_temperature_celcius;salinitu_psu;depth_m
1;Germany;Kiel;KIE;54.345615;10.154972;-;-;-;-
2;Kosterhavet;Koster donor site;KOD;58.882538;10.991989;20-06-2021;17.0;-;2.5
3;Kosterhavet;Gåsholmen ;GAS;58.878628;11.134688;-;-;-;-
4;Grebbestad-Fjällbacka;Kämpersvik;KAV;58.64622;11.27672;18-08-2022;-;-;3.5
5;Ellös-Havstenfjord;Väst Hjältön;VHA;58.25641;11.60238;06-07-2022;20.0;22.5;1.5-2.5
6;Hake-Älgöfjorden;Stenungsund;STE;58.05143;11.81013;25-09-2020;-;-;3.0
7;Sälöfjorden;N. Överön;NOV;57.795244;11.728779;09-06-2022;17.0;-;1.2
8;Göteborgs S skärgård;S. Brännö;SBR;57.64159;11.79115;19-07-2022;19.5;21.6;1.0
9;Kungsbacka;Gottskär;GOT;57.39626;12.02123;24-09-2020;-;-;1.5
10;Lahalmsbukten;Grötvik;GRO;56.64116;12.78014;23-09-2020;-;-;1.5
11;Södra Höganäs;Höganäs;HOG;56.19690;12.55141;22-09-2020;-;-;1.5
12;Øresund;Ålabadarna;ÅLA;55.940683;12.771034;22-09-2022;16.0;-;2.0
13;Barsebäck;Barsebäck hamn;BAR;55.75528;12.90189;22-09-2022;16.0;-;1.4
14;Lomma;South Lomma Bay;LOM;55.67242;13.05485;22-09-2022;16.0;-;4.0
15;Trelleborg;Kurland;KUR;55.395972;12.982861;23-06-2021;17.5;6.8;1.0-1.5
16;Gamla Staden-Sandskogen;Ystad;YST;55.4215587861172;13.8463615898543;22-06-2021;19.5;7.2;2.5
17;Skillinge;Skillinge;SKI;55.457556;14.2785;22-06-2021;18.3;7.3;1.5
18;Kristianstad;Åhus;AHU;55.973569;14.402056;17-09-2020;-;-;-
19;Pukaviksbukten;Furumon;FUR;56.0953999996185;14.7202999750773;21-06-2021;19.4;6.9;2.0
20;Karlskrona;Björkenäs;BJN;56.159447;15.925111;17-09-2020;-;-;-
21;Öland;Bläsinge;BLA;56.621246;16.704923;15-07-2021;24.0;-;1.0
22;Kalmar;Kalmarsund;KAL;"56.654431	";16.351908;16-09-2020;-;-;3.0
23;Öland;Kårehamn;KAR;56.969566;16.912377;16-07-2021;23.5;2.0;3.0
24;Oskarshamn;Oskarshamn;OSK;57.031518;16.583068;12-07-2021;22.0;6.5;2.5
25;Gotland;Burgsvik;BUR;57.032289;18.223786;14-07-2021;20.5;7.0;3.0-4.0
26;Öland;Bödagården;BÅD;57.259256;17.058547;15-09-2020;-;-;2.5
27;Ljugarn;Ljugarn;LJU;57.319176;18.695397;13-07-2021;23.0;7.0;2.5-3.0
28;Gotland;Klintehamn;KLI;57.401162;18.152719;14-07-2021;23.3;7.0;3.5
29;Hornsudde;Hornsudde;HOR;57.695151;16.730625;15-07-2021;24.4;-;1.0-1.5
30;Gotland;Slite;SLI;57.713318;18.831167;13-07-2021;22.0;6.5;3.0-3.5
31;Valdemarsvik;Ekön;EKO;58.175265;16.854798;26-07-2021;22.5;5.1;1.3
32;Tystberga;Krampö;KRA;58.6906470;17.4658689;27-07-2021;22.0;5.0;2.5
33;Nynäshamn;Nynäshamn;NYN;58.8811079;17.9542217;28-07-2021;21.0;5.6;3.4
34;Haninge;Gålö;GAL;59.09087305374239;18.326923387382347;28-07-2021;21.5;5.4;1.7-3.0
35;Östersjö;Björkö;BJO;59.83484288645309;19.078679980494496;29-07-2021;19.5;5.4;2.5
36;Finland;Rauma;RAU;61.0523390;21.383974;18-06-2022;16.0;5.5;2.0-2.5
37;Finland;Hanko;HAN;59.824232;22.990247 ;19-06-2022;11.0;6.2;1.5-2.0
38;Finland;Ingå;ING;59.9906558;24.0394190;20-06-2022;10.0;5.9;2.5-3.0
39;Estonia;Tallinn;TAL;59.457600;24.568800;20-06-2022;15.5;6.0;2.3
