"","region","site_full","pop","lat","long","order","coast"
"1","Kosterhavet","Koster donor site","KOD",58.882538,10.991989,1,"west"
"2","Kosterhavet","Gåsholmen ","GAS",58.878628,11.134688,2,"west"
"3","Grebbestad-Fjällbacka","Kämpersvik","KAV",58.64622,11.27672,3,"west"
"4","Ellös-Havstenfjord","Väst Hjältön","VHA",58.25641,11.60238,4,"west"
"5","Hake-Älgöfjorden","Stenungsund","STE",58.05143,11.81013,5,"west"
"6","Sälöfjorden","N. Överön","NOV",57.795244,11.728779,6,"west"
"7","Göteborgs S skärgård","S. Brännö","SBR",57.64159,11.79115,7,"west"
"8","Kungsbacka","Gottskär","GOT",57.39626,12.02123,8,"west"
"9","Lahalmsbukten","Grötvik","GRO",56.64116,12.78014,9,"west"
"10","Södra Höganäs","Höganäs","HOG",56.1969,12.55141,10,"west"
"11","Øresund","Ålabadarna","ALA",55.940683,12.771034,11,"west"
"12","Barsebäck","Barsebäck hamn","BAR",55.75528,12.90189,12,"west"
"13","Lomma","South Lomma Bay","LOM",55.67242,13.05485,13,"west"
"14","Trelleborg","Kurland","KUR",55.395972,12.982861,14,"east"
"15","Gamla Staden-Sandskogen","Ystad","YST",55.42155879,13.84636159,15,"east"
"16","Skillinge","Skillinge","SKI",55.457556,14.2785,16,"east"
"17","Kristianstad","Åhus","AHU",55.973569,14.402056,17,"east"
"18","Pukaviksbukten","Furumon","FUR",56.0954,14.72029998,18,"east"
"19","Karlskrona","Björkenäs","BJN",56.159447,15.925111,19,"east"
"20","Öland","Bläsinge","BLA",56.621246,16.704923,20,"east"
"21","Kalmar","Kalmarsund","KAL",56.654431,16.351908,21,"east"
"22","Öland","Kårehamn","KAR",56.969566,16.912377,22,"east"
"23","Oskarshamn","Oskarshamn","OSK",57.031518,16.583068,23,"east"
"24","Gotland","Burgsvik","BUR",57.032289,18.223786,24,"east"
"25","Öland","Bödagården","BAD",57.259256,17.058547,25,"east"
"26","Gotland","Ljugarn","LJU",57.319176,18.695397,26,"east"
"27","Gotland","Klintehamn","KLI",57.401162,18.152719,27,"east"
"28","Hornsudde","Hornsudde","HOR",57.695151,16.730625,28,"east"
"29","Gotland","Slite","SLI",57.713318,18.831167,29,"east"
"30","Valdemarsvik","Ekön","EKO",58.175265,16.854798,30,"east"
"31","Tystberga","Krampö","KRA",58.690647,17.4658689,31,"east"
"32","Nynäshamn","Nynäshamn","NYN",58.8811079,17.9542217,32,"east"
"33","Haninge","Gålö","GAL",59.09087305,18.32692339,33,"east"
"34","Östersjö","Björkö","BJO",59.83484289,19.07867998,34,"east"
