"","Name","BO_ph","BO_salinity","BO_sstmax","BO_sstmean","BO_sstmin","BO_sstrange"
"1","Kiel",8.17700004577637,35.701000213623,29.5620002746582,26.8269996643066,24.2119998931885,5.34999990463257
"2","Koster donor site",8.18400001525879,36.0200004577637,30.8330001831055,27.5340003967285,25.5869998931885,5.24599981307983
"3","Gåsholmen ",8.18400001525879,36.0379981994629,30.7320003509521,27.507999420166,25.4139995574951,5.31799983978271
"4","Kämpersvik",8.18200016021729,36.0400009155273,30.8430004119873,27.4629993438721,25.3509998321533,5.49200010299683
"5","Väst Hjältön",8.18000030517578,36.0470008850098,30.625,27.3279991149902,24.9909992218018,5.63399982452393
"6","Stenungsund",8.17800045013428,36.0400009155273,30.4179992675781,27.2679996490479,24.9039993286133,5.51399993896484
"7","N. Överön",8.17800045013428,36.0139999389648,30.3360004425049,27.2220001220703,24.9500007629395,5.38600015640259
"8","S. Brännö",8.17700004577637,36.0050010681152,30.2700004577637,27.2310009002686,24.7590007781982,5.51100015640259
"9","Gottskär",8.17500019073486,35.9970016479492,30.2019996643066,27.2290000915527,24.6809997558594,5.52099990844727
"10","Grötvik",8.16899967193604,35.9710006713867,29.8999996185303,27.0109996795654,24.3939990997314,5.50600004196167
"11","Höganäs",8.16899967193604,35.9469985961914,29.94700050354,26.9069995880127,24.2350006103516,5.71199989318848
"12","Ålabadarna",8.16699981689453,35.9500007629395,29.9890003204346,26.8969993591309,24.0790004730225,5.90999984741211
"13","Barsebäck hamn",8.16600036621094,35.951000213623,29.8460006713867,26.82200050354,23.9160003662109,5.92999982833862
"14","South Lomma Bay",8.16499996185303,35.9550018310547,29.7889995574951,26.818000793457,23.8560009002686,5.93300008773804
"15","Kurland",8.16499996185303,35.951000213623,29.6949996948242,26.7740001678467,23.8560009002686,5.83900022506714
"16","Ystad",8.15900039672852,35.9529991149902,29.6989994049072,26.8309993743896,23.8910007476807,5.80800008773804
"17","Skillinge",8.1560001373291,35.939998626709,29.7970008850098,26.8980007171631,24.0699996948242,5.72700023651123
"18","Åhus",8.1560001373291,35.9490013122559,29.6830005645752,26.9090003967285,24.0160007476807,5.66699981689453
"19","Furumon",8.1540002822876,35.9410018920898,29.6949996948242,26.8390007019043,24.0349998474121,5.65999984741211
"20","Björkenäs",8.14400005340576,35.8479995727539,29.2789993286133,26.7730007171631,24,5.27899980545044
"21","Bläsinge",8.13899993896484,35.8019981384277,28.9249992370605,26.6940002441406,23.9179992675781,5.00699996948242
"22","Kalmarsund",8.14200019836426,35.8390007019043,29.1459999084473,26.7399997711182,23.9009990692139,5.24499988555908
"23","Kårehamn",8.13799953460693,35.8170013427734,28.875,26.6110000610352,23.8320007324219,5.04300022125244
"24","Oskarshamn",8.14099979400635,35.8600006103516,28.951000213623,26.69700050354,23.82200050354,5.12900018692017
"25","Burgsvik",8.12899971008301,35.7509994506836,27.7789993286133,25.5480003356934,21.7560005187988,6.02299976348877
"26","Bödagården",8.13700008392334,35.8390007019043,28.7439994812012,26.6089992523193,23.9130001068115,4.83099985122681
"27","Ljugarn",8.1269998550415,35.8660011291504,27.7399997711182,25.7999992370605,23.1599998474121,4.57999992370605
"28","Klintehamn",8.13000011444092,35.8129997253418,28.2399997711182,26.238000869751,23.6620006561279,4.57800006866455
"29","Hornsudde",8.14099979400635,35.9179992675781,28.9099998474121,26.7479991912842,24.011999130249,4.89799976348877
"30","Slite",8.1269998550415,35.9749984741211,28.173999786377,25.9400005340576,22.9039993286133,5.26999998092651
"31","Ekön",8.14000034332275,35.9700012207031,28.8430004119873,26.7199993133545,23.875,4.96799993515015
"32","Krampö",8.13700008392334,36.0180015563965,28.8959999084473,26.7000007629395,23.7900009155273,5.10599994659424
"33","Nynäshamn",8.13399982452393,36.0589981079102,28.8239994049072,26.6140003204346,23.8239994049072,5
"34","Gålö",8.13199996948242,36.1139984130859,28.7870006561279,26.5669994354248,23.9720001220703,4.81500005722046
"35","Björkö",8.12800025939941,36.2060012817383,28.6509990692139,26.5690002441406,24.2439994812012,4.40700006484985
"36","Rauma",8.12100028991699,36.3489990234375,28.488000869751,26.6140003204346,24.5699996948242,3.91799998283386
"37","Hanko",8.12399959564209,36.5660018920898,30.0109996795654,27.3299999237061,23.9479999542236,6.06300020217896
"38","Ingå",8.12800025939941,36.7050018310547,30.4529991149902,27.3570003509521,23.6380004882812,6.81500005722046
"39","Tallinn",8.13000011444092,36.8279991149902,30.7439994812012,27.5100002288818,23.3959999084473,7.34800004959106
