"","fit_metric","method","cc","coast","fit_type","corr","pval","signif"
"1","surv","lea_offset","full","West","abs",-0.666666666666667,0.333333333333333,FALSE
"2","surv","lea_offset","full","West","rel",-0.666666666666667,0.333333333333333,FALSE
"3","surv","lea_offset","full","West","cf_abs",-0.666666666666667,0.333333333333333,FALSE
"4","surv","lea_offset","full","West","cf_rel",-0.666666666666667,0.333333333333333,FALSE
"5","surv","lea_offset","mll","West","abs",-0.666666666666667,0.333333333333333,FALSE
"6","surv","lea_offset","mll","West","rel",-0.666666666666667,0.333333333333333,FALSE
"7","surv","lea_offset","mll","West","cf_abs",-0.666666666666667,0.333333333333333,FALSE
"8","surv","lea_offset","mll","West","cf_rel",-0.666666666666667,0.333333333333333,FALSE
"9","surv","lea_offset","full","East","abs",-0.707106781186548,0.179712494879,FALSE
"10","surv","lea_offset","full","East","rel",-0.707106781186548,0.179712494879,FALSE
"11","surv","lea_offset","full","East","cf_abs",0.235702260395516,0.654720846018577,FALSE
"12","surv","lea_offset","full","East","cf_rel",-0.707106781186548,0.179712494879,FALSE
"13","surv","lea_offset","mll","East","abs",-0.707106781186548,0.179712494879,FALSE
"14","surv","lea_offset","mll","East","rel",-0.707106781186548,0.179712494879,FALSE
"15","surv","lea_offset","mll","East","cf_abs",0.235702260395516,0.654720846018577,FALSE
"16","surv","lea_offset","mll","East","cf_rel",-0.707106781186548,0.179712494879,FALSE
"17","surv","rda_offset","full","West","abs",-0.333333333333333,0.75,FALSE
"18","surv","rda_offset","full","West","rel",-0.333333333333333,0.75,FALSE
"19","surv","rda_offset","full","West","cf_abs",-0.333333333333333,0.75,FALSE
"20","surv","rda_offset","full","West","cf_rel",-0.333333333333333,0.75,FALSE
"21","surv","rda_offset","mll","West","abs",0,1,FALSE
"22","surv","rda_offset","mll","West","rel",0,1,FALSE
"23","surv","rda_offset","mll","West","cf_abs",0,1,FALSE
"24","surv","rda_offset","mll","West","cf_rel",0,1,FALSE
"25","surv","rda_offset","full","East","abs",0.235702260395516,0.654720846018577,FALSE
"26","surv","rda_offset","full","East","rel",0.235702260395516,0.654720846018577,FALSE
"27","surv","rda_offset","full","East","cf_abs",0.707106781186548,0.179712494879,FALSE
"28","surv","rda_offset","full","East","cf_rel",0.235702260395516,0.654720846018577,FALSE
"29","surv","rda_offset","mll","East","abs",0.235702260395516,0.654720846018577,FALSE
"30","surv","rda_offset","mll","East","rel",0.235702260395516,0.654720846018577,FALSE
"31","surv","rda_offset","mll","East","cf_abs",0.707106781186548,0.179712494879,FALSE
"32","surv","rda_offset","mll","East","cf_rel",0.235702260395516,0.654720846018577,FALSE
"33","surv","gf_offset","full","West","abs",-1,0.0833333333333333,FALSE
"34","surv","gf_offset","full","West","rel",-1,0.0833333333333333,FALSE
"35","surv","gf_offset","full","West","cf_abs",-1,0.0833333333333333,FALSE
"36","surv","gf_offset","full","West","cf_rel",-1,0.0833333333333333,FALSE
"37","surv","gf_offset","mll","West","abs",-1,0.0833333333333333,FALSE
"38","surv","gf_offset","mll","West","rel",-1,0.0833333333333333,FALSE
"39","surv","gf_offset","mll","West","cf_abs",-1,0.0833333333333333,FALSE
"40","surv","gf_offset","mll","West","cf_rel",-1,0.0833333333333333,FALSE
"41","surv","gf_offset","full","East","abs",-0.707106781186548,0.179712494879,FALSE
"42","surv","gf_offset","full","East","rel",-0.707106781186548,0.179712494879,FALSE
"43","surv","gf_offset","full","East","cf_abs",0.235702260395516,0.654720846018577,FALSE
"44","surv","gf_offset","full","East","cf_rel",-0.707106781186548,0.179712494879,FALSE
"45","surv","gf_offset","mll","East","abs",-0.707106781186548,0.179712494879,FALSE
"46","surv","gf_offset","mll","East","rel",-0.707106781186548,0.179712494879,FALSE
"47","surv","gf_offset","mll","East","cf_abs",0.235702260395516,0.654720846018577,FALSE
"48","surv","gf_offset","mll","East","cf_rel",-0.707106781186548,0.179712494879,FALSE
"49","surv","env_dist","full","West","abs",-1,0.0833333333333333,FALSE
"50","surv","env_dist","full","West","rel",-1,0.0833333333333333,FALSE
"51","surv","env_dist","full","West","cf_abs",-1,0.0833333333333333,FALSE
"52","surv","env_dist","full","West","cf_rel",-1,0.0833333333333333,FALSE
"53","surv","env_dist","mll","West","abs",-1,0.0833333333333333,FALSE
"54","surv","env_dist","mll","West","rel",-1,0.0833333333333333,FALSE
"55","surv","env_dist","mll","West","cf_abs",-1,0.0833333333333333,FALSE
"56","surv","env_dist","mll","West","cf_rel",-1,0.0833333333333333,FALSE
"57","surv","env_dist","full","East","abs",-0.707106781186548,0.179712494879,FALSE
"58","surv","env_dist","full","East","rel",-0.707106781186548,0.179712494879,FALSE
"59","surv","env_dist","full","East","cf_abs",-0.235702260395516,0.654720846018577,FALSE
"60","surv","env_dist","full","East","cf_rel",-0.707106781186548,0.179712494879,FALSE
"61","surv","env_dist","mll","East","abs",-0.707106781186548,0.179712494879,FALSE
"62","surv","env_dist","mll","East","rel",-0.707106781186548,0.179712494879,FALSE
"63","surv","env_dist","mll","East","cf_abs",-0.235702260395516,0.654720846018577,FALSE
"64","surv","env_dist","mll","East","cf_rel",-0.707106781186548,0.179712494879,FALSE
