"","method","cc","coast","kendall","pval","surv_coast"
"1","lea_offset","mll","both",0.0953495052935632,0.285782007075445,"Survival"
"2","lea_offset","mll","west",-0.438575738729214,0.00112132527129319,"Survival (West)"
"3","lea_offset","mll","east",-0.255376959227625,0.0551263221630239,"Survival (East)"
"4","rda_offset","mll","both",-0.0187863337567244,0.833426035193208,"Survival"
"5","rda_offset","mll","west",0.106181494639704,0.430216912283923,"Survival (West)"
"6","rda_offset","mll","east",0.0851256530758748,0.522632284253185,"Survival (East)"
"7","gf_offset","mll","both",0.112363543412861,0.208431701616796,"Survival"
"8","gf_offset","mll","west",-0.475508432516937,0.000411581597469774,"Survival (West)"
"9","gf_offset","mll","east",-0.255376959227625,0.0551263221630239,"Survival (East)"
"10","env_dist","mll","both",0.0102793146970756,0.908385620100041,"Survival"
"11","env_dist","mll","west",-0.475508432516937,0.000411581597469774,"Survival (West)"
"12","env_dist","mll","east",-0.255376959227625,0.0551263221630239,"Survival (East)"
