"go_method","fit_metric","fit_method","fit_type","cc","pearson","pearson_pval","spearman","spearman_pval","kendall","kendall_pval","r2","signif","pval_adj","signif_adj"
"lea","surv","cf","abs","mll",-0.476857164809837,0.005790393773205,-0.385005759127666,0.0295604483519294,-0.24650184901865,0.0533695755328324,0.227392755630476,FALSE,1,FALSE
"rda","surv","cf","abs","mll",0.148603752028988,0.416960311696028,0.136036600440692,0.457854716924217,0.100271938583858,0.431946510298641,0.022083075117093,FALSE,1,FALSE
"gf","surv","cf","abs","mll",-0.35289555006813,0.0475785169712369,-0.238803380121433,0.188083787482924,-0.150407907875786,0.23847874772516,0.124535269257888,FALSE,1,FALSE
"env","surv","cf","abs","mll",-0.323490694257186,0.0709112695704301,-0.314769470856656,0.0793149207539283,-0.200543877167715,0.116013125424671,0.104646229270996,FALSE,1,FALSE
"lea","surv","cf","abs","full",-0.457630993630564,0.00844929362363846,-0.363195543296142,0.0410358785000589,-0.238145854136662,0.0619812763001764,0.209426126331297,FALSE,1,FALSE
"rda","surv","cf","abs","full",0.291486619375583,0.105519193165028,0.2534051347883,0.161691052362575,0.183831887403739,0.149654554401684,0.0849644492750059,FALSE,1,FALSE
"gf","surv","cf","abs","full",-0.341268869553197,0.0559359669402968,-0.249708488037195,0.168106507892738,-0.158763902757774,0.213394159238564,0.116464441326117,FALSE,1,FALSE
"env","surv","cf","abs","full",-0.323490694257186,0.0709112695704301,-0.314769470856656,0.0793149207539283,-0.200543877167715,0.116013125424671,0.104646229270996,FALSE,1,FALSE
"lea","surv","cg","abs","mll",-0.318698950712843,0.0754382139313642,-0.277232638632196,0.124499499301707,-0.175118199228945,0.166455001783673,0.101569021185467,FALSE,1,FALSE
"rda","surv","cg","abs","mll",0.096130331279229,0.600713565687019,0.0858538741652754,0.640353515413245,0.0432644962800923,0.732462628454441,0.00924104059185431,FALSE,1,FALSE
"gf","surv","cg","abs","mll",-0.247904943450558,0.171301481605252,-0.182002859579492,0.31878377835534,-0.125673060623125,0.320711270776626,0.0614568609872246,FALSE,1,FALSE
"env","surv","cg","abs","mll",-0.280588495552779,0.119818879612635,-0.267121368655557,0.139419703332205,-0.183359055663248,0.147393628778413,0.078729903836572,FALSE,1,FALSE
"lea","surv","cg","abs","full",-0.304191822414109,0.0905152413847179,-0.27171740046312,0.132483800554163,-0.175118199228945,0.166455001783673,0.0925326648236166,FALSE,1,FALSE
"rda","surv","cg","abs","full",0.324764216595831,0.0697444195845667,0.313265528003489,0.0808386735655282,0.208081624966158,0.100146653422328,0.105471796381104,FALSE,1,FALSE
"gf","surv","cg","abs","full",-0.232172463477101,0.201013479891881,-0.171891589602853,0.346855227042005,-0.117432204188822,0.353468407857322,0.0539040527970257,FALSE,1,FALSE
"env","surv","cg","abs","full",-0.280588495552779,0.119818879612635,-0.267121368655557,0.139419703332205,-0.183359055663248,0.147393628778413,0.078729903836572,FALSE,1,FALSE
"lea","surv","cf","rel","mll",-0.263326014948091,0.145344269196595,-0.405164783338983,0.0214244904020827,-0.273350638540074,0.0330219719687543,0.0693405901484424,TRUE,1,FALSE
"rda","surv","cf","rel","mll",-0.0962815343611005,0.600138250613748,0.0451622691341762,0.806118012670892,0.0294377610735464,0.818418002126123,0.00927013385892776,FALSE,1,FALSE
"gf","surv","cf","rel","mll",-0.226931082968655,0.211659772768074,-0.279857995618338,0.120826442426739,-0.180831960880356,0.158457521184001,0.0514977164173267,FALSE,1,FALSE
"env","surv","cf","rel","mll",-0.178026174441068,0.329650825925276,-0.348526855654319,0.0505933887448243,-0.235502088588371,0.0662628340995051,0.0316933187861215,FALSE,1,FALSE
"lea","surv","cf","rel","full",-0.26455291973521,0.143409401962955,-0.397390950127362,0.0243095654344302,-0.269145244100996,0.0358152367653632,0.0699882473404243,TRUE,1,FALSE
"rda","surv","cf","rel","full",0.0322351785205837,0.860969597652873,0.207857492777377,0.253636685015939,0.159804988684966,0.212657045755501,0.00103910673425391,FALSE,1,FALSE
