"method","pop","cc","kendall_len","pval_len","kendall_weigh","pval_weigh","signif_len","signif_weigh"
"lea","BAR","full",-0.308307422409289,0.0487046190333753,-0.204300099186878,0.191485941159473,TRUE,FALSE
"lea","BJO","full",-0.503828121070972,0.00293580874949851,-0.227216603620242,0.179794758220763,TRUE,FALSE
"lea","HOG","full",-0.361441376636479,0.0235041026482054,-0.420317340430616,0.00834120674692518,TRUE,TRUE
"lea","HOR","full",-0.0893688910072626,0.579300634716224,-0.129991114192382,0.420006743407293,FALSE,FALSE
"lea","KAL","full",-0.41106954726285,0.00356834638704837,-0.365395153122533,0.00959150193388444,TRUE,TRUE
"lea","KUR","full",-0.21957751641342,0.219243370782377,-0.268372520060847,0.133212849705118,FALSE,FALSE
"lea","VAT","full",-0.555163657789387,0.0117625426349378,-0.555163657789387,0.0117625426349378,TRUE,TRUE
"lea","VIK","full",-0.251186640425202,0.0744071672437127,-0.302704750485434,0.0317081433591675,FALSE,TRUE
"rda","BAR","full",0.293449233377516,0.0606316221388631,0.11515096499624,0.461597116867273,FALSE,FALSE
"rda","BJO","full",0.0493949138304875,0.770587947225495,0.227216603620242,0.179794758220763,FALSE,FALSE
"rda","HOG","full",0.139015914090953,0.38364080497295,0.182401864715173,0.252306463980962,FALSE,FALSE
"rda","HOR","full",0.203111115925597,0.207663980499279,0.373724453303098,0.020426101629659,FALSE,TRUE
"rda","KAL","full",-0.106573586327405,0.449960783330259,-0.182697576561267,0.195282537116219,FALSE,FALSE
"rda","KUR","full",0.121987509118567,0.494907904410018,0.0975900072948533,0.585052941267812,FALSE,FALSE
"rda","VAT","full",0.241994414933835,0.272157279416674,0.412814001945954,0.0610348002448529,FALSE,FALSE
"rda","VIK","full",0.0170709367279263,0.903493323587547,0.205058056780456,0.145629224716391,FALSE,FALSE
"gf","BAR","full",-0.271161949829856,0.0829751937252539,-0.196871004670992,0.208139476327451,FALSE,FALSE
"gf","BJO","full",-0.503828121070972,0.00293580874949851,-0.227216603620242,0.179794758220763,TRUE,FALSE
"gf","HOG","full",-0.345553843597513,0.0303438158254972,-0.372734245287528,0.0193197754011064,TRUE,TRUE
"gf","HOR","full",-0.0893688910072626,0.579300634716224,-0.129991114192382,0.420006743407293,FALSE,FALSE
"gf","KAL","full",-0.41106954726285,0.00356834638704837,-0.365395153122533,0.00959150193388444,TRUE,TRUE
"gf","KUR","full",-0.21957751641342,0.219243370782377,-0.268372520060847,0.133212849705118,FALSE,FALSE
"gf","VAT","full",-0.555163657789387,0.0117625426349378,-0.555163657789387,0.0117625426349378,TRUE,TRUE
"gf","VIK","full",-0.251186640425202,0.0744071672437127,-0.302704750485434,0.0317081433591675,FALSE,TRUE
"env","BAR","full",-0.308307422409289,0.0487046190333753,-0.204300099186878,0.191485941159473,TRUE,FALSE
"env","BJO","full",-0.503828121070972,0.00293580874949851,-0.227216603620242,0.179794758220763,TRUE,FALSE
"env","HOG","full",-0.361441376636479,0.0235041026482054,-0.420317340430616,0.00834120674692518,TRUE,TRUE
"env","HOR","full",-0.0893688910072626,0.579300634716224,-0.129991114192382,0.420006743407293,FALSE,FALSE
"env","KAL","full",-0.41106954726285,0.00356834638704837,-0.365395153122533,0.00959150193388444,TRUE,TRUE
"env","KUR","full",-0.21957751641342,0.219243370782377,-0.268372520060847,0.133212849705118,FALSE,FALSE
"env","VAT","full",-0.555163657789387,0.0117625426349378,-0.555163657789387,0.0117625426349378,TRUE,TRUE
"env","VIK","full",-0.251186640425202,0.0744071672437127,-0.302704750485434,0.0317081433591675,FALSE,TRUE
"lea","BAR","mll",-0.308307422409289,0.0487046190333753,-0.204300099186878,0.191485941159473,TRUE,FALSE
"lea","BJO","mll",-0.503828121070972,0.00293580874949851,-0.227216603620242,0.179794758220763,TRUE,FALSE
"lea","HOG","mll",-0.361441376636479,0.0235041026482054,-0.420317340430616,0.00834120674692518,TRUE,TRUE
"lea","HOR","mll",-0.0893688910072626,0.579300634716224,-0.129991114192382,0.420006743407293,FALSE,FALSE
"lea","KAL","mll",-0.41106954726285,0.00356834638704837,-0.365395153122533,0.00959150193388444,TRUE,TRUE
"lea","KUR","mll",-0.21957751641342,0.219243370782377,-0.268372520060847,0.133212849705118,FALSE,FALSE
"lea","VAT","mll",-0.555163657789387,0.0117625426349378,-0.555163657789387,0.0117625426349378,TRUE,TRUE
"lea","VIK","mll",-0.251186640425202,0.0744071672437127,-0.302704750485434,0.0317081433591675,FALSE,TRUE
"rda","BAR","mll",0.404885651115813,0.00963549821148876,0.196871004670992,0.208139476327451,TRUE,FALSE
"rda","BJO","mll",0.0493949138304875,0.770587947225495,0.227216603620242,0.179794758220763,FALSE,FALSE
"rda","HOG","mll",0.091353314974055,0.566977963351693,0.134818769572084,0.397479809631536,FALSE,FALSE
"rda","HOR","mll",0.203111115925597,0.207663980499279,0.373724453303098,0.020426101629659,FALSE,TRUE
"rda","KAL","mll",-0.106573586327405,0.449960783330259,-0.182697576561267,0.195282537116219,FALSE,FALSE
"rda","KUR","mll",0.121987509118567,0.494907904410018,0.0975900072948533,0.585052941267812,FALSE,FALSE
"rda","VAT","mll",0.241994414933835,0.272157279416674,0.412814001945954,0.0610348002448529,FALSE,FALSE
"rda","VIK","mll",0.0170709367279263,0.903493323587547,0.205058056780456,0.145629224716391,FALSE,FALSE
"gf","BAR","mll",-0.271161949829856,0.0829751937252539,-0.196871004670992,0.208139476327451,FALSE,FALSE
"gf","BJO","mll",-0.503828121070972,0.00293580874949851,-0.227216603620242,0.179794758220763,TRUE,FALSE
"gf","HOG","mll",-0.345553843597513,0.0303438158254972,-0.372734245287528,0.0193197754011064,TRUE,TRUE
"gf","HOR","mll",-0.0893688910072626,0.579300634716224,-0.129991114192382,0.420006743407293,FALSE,FALSE
"gf","KAL","mll",-0.41106954726285,0.00356834638704837,-0.365395153122533,0.00959150193388444,TRUE,TRUE
"gf","KUR","mll",-0.21957751641342,0.219243370782377,-0.268372520060847,0.133212849705118,FALSE,FALSE
"gf","VAT","mll",-0.555163657789387,0.0117625426349378,-0.555163657789387,0.0117625426349378,TRUE,TRUE
"gf","VIK","mll",-0.251186640425202,0.0744071672437127,-0.302704750485434,0.0317081433591675,FALSE,TRUE
"env","BAR","mll",-0.308307422409289,0.0487046190333753,-0.204300099186878,0.191485941159473,TRUE,FALSE
"env","BJO","mll",-0.503828121070972,0.00293580874949851,-0.227216603620242,0.179794758220763,TRUE,FALSE
"env","HOG","mll",-0.361441376636479,0.0235041026482054,-0.420317340430616,0.00834120674692518,TRUE,TRUE
"env","HOR","mll",-0.0893688910072626,0.579300634716224,-0.129991114192382,0.420006743407293,FALSE,FALSE
"env","KAL","mll",-0.41106954726285,0.00356834638704837,-0.365395153122533,0.00959150193388444,TRUE,TRUE
"env","KUR","mll",-0.21957751641342,0.219243370782377,-0.268372520060847,0.133212849705118,FALSE,FALSE
"env","VAT","mll",-0.555163657789387,0.0117625426349378,-0.555163657789387,0.0117625426349378,TRUE,TRUE
"env","VIK","mll",-0.251186640425202,0.0744071672437127,-0.302704750485434,0.0317081433591675,FALSE,TRUE
