"method","pop","cc","kendall_surv","pval_surv","type_surv","signif"
"lea","BAR","full",-0.333333333333333,0.75,"proportion",FALSE
"lea","BJO","full",-0.333333333333333,0.75,"proportion",FALSE
"lea","HOG","full",-0.333333333333333,0.75,"proportion",FALSE
"lea","HOR","full",0,1,"proportion",FALSE
"lea","KAL","full",0,1,"proportion",FALSE
"lea","KUR","full",0,1,"proportion",FALSE
"lea","VAT","full",-0.666666666666667,0.333333333333333,"proportion",FALSE
"lea","VIK","full",-0.547722557505166,0.278598671837963,"proportion",FALSE
"rda","BAR","full",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","BJO","full",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","HOG","full",0,1,"proportion",FALSE
"rda","HOR","full",1,0.0833333333333333,"proportion",FALSE
"rda","KAL","full",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","KUR","full",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","VAT","full",-0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","VIK","full",-0.912870929175277,0.0709514924273057,"proportion",FALSE
"gf","BAR","full",0,1,"proportion",FALSE
"gf","BJO","full",-0.333333333333333,0.75,"proportion",FALSE
"gf","HOG","full",0,1,"proportion",FALSE
"gf","HOR","full",0,1,"proportion",FALSE
"gf","KAL","full",0,1,"proportion",FALSE
"gf","KUR","full",0,1,"proportion",FALSE
"gf","VAT","full",-0.666666666666667,0.333333333333333,"proportion",FALSE
"gf","VIK","full",-0.547722557505166,0.278598671837963,"proportion",FALSE
"env","BAR","full",-0.333333333333333,0.75,"proportion",FALSE
"env","BJO","full",-0.333333333333333,0.75,"proportion",FALSE
"env","HOG","full",-0.333333333333333,0.75,"proportion",FALSE
"env","HOR","full",0,1,"proportion",FALSE
"env","KAL","full",0,1,"proportion",FALSE
"env","KUR","full",0,1,"proportion",FALSE
"env","VAT","full",-0.666666666666667,0.333333333333333,"proportion",FALSE
"env","VIK","full",-0.547722557505166,0.278598671837963,"proportion",FALSE
"lea","BAR","mll",-0.333333333333333,0.75,"proportion",FALSE
"lea","BJO","mll",-0.333333333333333,0.75,"proportion",FALSE
"lea","HOG","mll",-0.333333333333333,0.75,"proportion",FALSE
"lea","HOR","mll",0,1,"proportion",FALSE
"lea","KAL","mll",0,1,"proportion",FALSE
"lea","KUR","mll",0,1,"proportion",FALSE
"lea","VAT","mll",-0.666666666666667,0.333333333333333,"proportion",FALSE
"lea","VIK","mll",-0.547722557505166,0.278598671837963,"proportion",FALSE
"rda","BAR","mll",0,1,"proportion",FALSE
"rda","BJO","mll",0.333333333333333,0.75,"proportion",FALSE
"rda","HOG","mll",-0.333333333333333,0.75,"proportion",FALSE
"rda","HOR","mll",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","KAL","mll",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","KUR","mll",0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","VAT","mll",-0.666666666666667,0.333333333333333,"proportion",FALSE
"rda","VIK","mll",-0.912870929175277,0.0709514924273057,"proportion",FALSE
"gf","BAR","mll",0,1,"proportion",FALSE
"gf","BJO","mll",-0.333333333333333,0.75,"proportion",FALSE
"gf","HOG","mll",0,1,"proportion",FALSE
"gf","HOR","mll",0,1,"proportion",FALSE
"gf","KAL","mll",0,1,"proportion",FALSE
"gf","KUR","mll",0,1,"proportion",FALSE
"gf","VAT","mll",-0.666666666666667,0.333333333333333,"proportion",FALSE
"gf","VIK","mll",-0.547722557505166,0.278598671837963,"proportion",FALSE
"env","BAR","mll",-0.333333333333333,0.75,"proportion",FALSE
"env","BJO","mll",-0.333333333333333,0.75,"proportion",FALSE
"env","HOG","mll",-0.333333333333333,0.75,"proportion",FALSE
"env","HOR","mll",0,1,"proportion",FALSE
"env","KAL","mll",0,1,"proportion",FALSE
"env","KUR","mll",0,1,"proportion",FALSE
"env","VAT","mll",-0.666666666666667,0.333333333333333,"proportion",FALSE
"env","VIK","mll",-0.547722557505166,0.278598671837963,"proportion",FALSE
"lea","BAR","full",-0.341394370999459,0.0103512469867016,"binary",TRUE
"lea","BJO","full",-0.255376959227625,0.0551263221630239,"binary",FALSE
"lea","HOG","full",-0.306742414887327,0.0226798965702815,"binary",TRUE
"lea","HOR","full",-0.0851256530758749,0.522632284253185,"binary",FALSE
"lea","KAL","full",-0.124485023955176,0.349849268445814,"binary",FALSE
"lea","KUR","full",-0.154303349962092,0.246530733159065,"binary",FALSE
"lea","VAT","full",-0.571040240720161,2.21291694400971e-05,"binary",TRUE
"lea","VIK","full",-0.605530070819498,5.42800099642586e-06,"binary",TRUE
"rda","BAR","full",0.409673245199351,0.00209345619617119,"binary",TRUE
"rda","BJO","full",0.595879571531124,7.63928559195182e-06,"binary",TRUE
"rda","HOG","full",0.0400098802026948,0.766288841749924,"binary",FALSE
"rda","HOR","full",0.595879571531124,7.63928559195182e-06,"binary",TRUE
"rda","KAL","full",0.33788792216405,0.0111635871110139,"binary",TRUE
"rda","KUR","full",0.497199683211185,0.000188487717988793,"binary",TRUE
"rda","VAT","full",-0.38069349381344,0.00468155954440033,"binary",TRUE
"rda","VIK","full",-0.715626447332134,7.68594972480359e-08,"binary",TRUE
"gf","BAR","full",-0.136557748399784,0.305104792126895,"binary",FALSE
"gf","BJO","full",-0.255376959227625,0.0551263221630239,"binary",FALSE
"gf","HOG","full",-0.0577920491816703,0.667678609967348,"binary",FALSE
"gf","HOR","full",-0.0851256530758749,0.522632284253185,"binary",FALSE
"gf","KAL","full",-0.124485023955176,0.349849268445814,"binary",FALSE
"gf","KUR","full",-0.154303349962092,0.246530733159065,"binary",FALSE
