"method","trt","cc","kendall_surv","pval_surv","type_surv","signif"
"lea","TempControl-21psu","full",0.0458349248514106,0.884836122122616,"proportion",FALSE
"lea","TempControl-7psu","full",-0.080582296402538,0.790482228139345,"proportion",FALSE
"lea","TempWarm-16psu","full",-0.518874521662771,0.0785458509511906,"proportion",FALSE
"lea","TempWarm-5psu","full",-0.412514323662695,0.192379455784821,"proportion",FALSE
"rda","TempControl-21psu","full",0.137504774554232,0.663907901877649,"proportion",FALSE
"rda","TempControl-7psu","full",0,1,"proportion",FALSE
"rda","TempWarm-16psu","full",-0.14824986333222,0.615228167080245,"proportion",FALSE
"rda","TempWarm-5psu","full",-0.0458349248514106,0.884836122122616,"proportion",FALSE
"gf","TempControl-21psu","full",0.137504774554232,0.663907901877649,"proportion",FALSE
"gf","TempControl-7psu","full",-0.161164592805076,0.595163146709572,"proportion",FALSE
"gf","TempWarm-16psu","full",-0.741249316661101,0.0119667451574363,"proportion",TRUE
"gf","TempWarm-5psu","full",-0.412514323662695,0.192379455784821,"proportion",FALSE
"env","TempControl-21psu","full",0.137504774554232,0.663907901877649,"proportion",FALSE
"env","TempControl-7psu","full",-0.080582296402538,0.790482228139345,"proportion",FALSE
"env","TempWarm-16psu","full",-0.592999453328881,0.0443784273454868,"proportion",TRUE
"env","TempWarm-5psu","full",-0.412514323662695,0.192379455784821,"proportion",FALSE
"lea","TempControl-21psu","mll",-0.137504774554232,0.663907901877649,"proportion",FALSE
"lea","TempControl-7psu","mll",-0.161164592805076,0.595163146709572,"proportion",FALSE
"lea","TempWarm-16psu","mll",-0.444749589996661,0.131586760281186,"proportion",FALSE
"lea","TempWarm-5psu","mll",-0.412514323662695,0.192379455784821,"proportion",FALSE
"rda","TempControl-21psu","mll",0.137504774554232,0.663907901877649,"proportion",FALSE
"rda","TempControl-7psu","mll",-0.080582296402538,0.790482228139345,"proportion",FALSE
"rda","TempWarm-16psu","mll",-0.0741249316661101,0.801572631471744,"proportion",FALSE
"rda","TempWarm-5psu","mll",-0.0458349248514106,0.884836122122616,"proportion",FALSE
"gf","TempControl-21psu","mll",0.137504774554232,0.663907901877649,"proportion",FALSE
"gf","TempControl-7psu","mll",-0.161164592805076,0.595163146709572,"proportion",FALSE
"gf","TempWarm-16psu","mll",-0.815374248327211,0.00570213276152433,"proportion",TRUE
"gf","TempWarm-5psu","mll",-0.412514323662695,0.192379455784821,"proportion",FALSE
"env","TempControl-21psu","mll",0.137504774554232,0.663907901877649,"proportion",FALSE
"env","TempControl-7psu","mll",-0.080582296402538,0.790482228139345,"proportion",FALSE
"env","TempWarm-16psu","mll",-0.592999453328881,0.0443784273454868,"proportion",TRUE
"env","TempWarm-5psu","mll",-0.412514323662695,0.192379455784821,"proportion",FALSE
"lea","TempControl-21psu","full",-0.00957980980878905,0.914595220178236,"binary",FALSE
"lea","TempControl-7psu","full",-0.0945732487486921,0.287153512169238,"binary",FALSE
"lea","TempWarm-16psu","full",-0.25989372519515,0.00362049927153637,"binary",TRUE
"lea","TempWarm-5psu","full",-0.137919321091843,0.12060702175318,"binary",FALSE
"rda","TempControl-21psu","full",0.0344873153116406,0.699437969289065,"binary",FALSE
"rda","TempControl-7psu","full",-0.031524416249564,0.722742725543175,"binary",FALSE
"rda","TempWarm-16psu","full",-0.104641420933837,0.241421242805466,"binary",FALSE
"rda","TempWarm-5psu","full",-0.0197027601559775,0.824510645871922,"binary",FALSE
"gf","TempControl-21psu","full",0.0344873153116406,0.699437969289065,"binary",FALSE
"gf","TempControl-7psu","full",-0.110335456873474,0.214316047245375,"binary",FALSE
"gf","TempWarm-16psu","full",-0.309136746811073,0.000538712836901747,"binary",TRUE
"gf","TempWarm-5psu","full",-0.137919321091843,0.12060702175318,"binary",FALSE
"env","TempControl-21psu","full",0.0134117337323047,0.880652635980677,"binary",FALSE
"env","TempControl-7psu","full",-0.0945732487486921,0.287153512169238,"binary",FALSE
"env","TempWarm-16psu","full",-0.276308065733791,0.00197998066725865,"binary",TRUE
"env","TempWarm-5psu","full",-0.137919321091843,0.12060702175318,"binary",FALSE
"lea","TempControl-21psu","mll",-0.0555628968909765,0.533930962009066,"binary",FALSE
"lea","TempControl-7psu","mll",-0.118216560935865,0.183359020246935,"binary",FALSE
"lea","TempWarm-16psu","mll",-0.243479384656509,0.006416379368146,"binary",TRUE
"lea","TempWarm-5psu","mll",-0.137919321091843,0.12060702175318,"binary",FALSE
"rda","TempControl-21psu","mll",0.0344873153116406,0.699437969289065,"binary",FALSE
"rda","TempControl-7psu","mll",-0.047286624374346,0.59459205452129,"binary",FALSE
"rda","TempWarm-16psu","mll",-0.0389840587792725,0.66253240043964,"binary",FALSE
"rda","TempWarm-5psu","mll",-0.0197027601559775,0.824510645871922,"binary",FALSE
"gf","TempControl-21psu","mll",0.0344873153116406,0.699437969289065,"binary",FALSE
"gf","TempControl-7psu","mll",-0.110335456873474,0.214316047245375,"binary",FALSE
"gf","TempWarm-16psu","mll",-0.325551087349714,0.000267927167700895,"binary",TRUE
"gf","TempWarm-5psu","mll",-0.137919321091843,0.12060702175318,"binary",FALSE
"env","TempControl-21psu","mll",0.0134117337323047,0.880652635980677,"binary",FALSE
"env","TempControl-7psu","mll",-0.0945732487486921,0.287153512169238,"binary",FALSE
"env","TempWarm-16psu","mll",-0.276308065733791,0.00197998066725865,"binary",TRUE
"env","TempWarm-5psu","mll",-0.137919321091843,0.12060702175318,"binary",FALSE
