"","trt","BAR","BJO","HOG","HOR","KAL","KUR","VAT","VIK","cc","mod"
"1","TempControl-21psu",0.0335892028767853,0.0405470159848639,0.0327935580860458,0.0376757770596112,0.035210459225521,0.0364892323556607,0.0264109595923734,0.025287291995192,"mll","af"
"2","TempControl-7psu",0.0191789945941412,0.0218707320822991,0.0180101815531308,0.017207970523568,0.0107918862323656,0.0155234078518529,0.0376525115433469,0.0229551794203449,"mll","af"
"3","TempWarm-16psu",0.0484063184271493,0.0524321145024211,0.0470675055394533,0.0475088223620423,0.0417172671795236,0.0461661783332278,0.0561580496620621,0.0466208280601399,"mll","af"
"4","TempWarm-5psu",0.0467251458371832,0.0498725998609103,0.0453618423263277,0.0448130529381222,0.0386194696933848,0.0434958666766898,0.0582626157883896,0.0472583309808177,"mll","af"
"5","TempControl-21psu",0.0445624489717004,0.0559699817341512,0.044204585658097,0.0499961425533782,0.0485803939050771,0.0491686032091598,0.0346743505939083,0.0333194001621481,"full","af"
"6","TempControl-7psu",0.0206101475352325,0.0225894420883704,0.0202619096387139,0.0157193545608818,0.010376678811943,0.0156334252757315,0.0435090081493841,0.0279272384951533,"full","af"
"7","TempWarm-16psu",0.0548641571625129,0.0605030612241277,0.054194117279403,0.053519730552974,0.0490065383914961,0.0531932447944576,0.0619192221449978,0.0518053116523449,"full","af"
"8","TempWarm-5psu",0.0505067808918377,0.0522360601979636,0.0498502889703869,0.0460498766422701,0.0407181852712088,0.0460783773470015,0.0666106641268981,0.0540865555860158,"full","af"
"9","TempControl-21psu",0.0464702712503834,0.0605111999495668,0.0460312928004271,0.0523292511123069,0.0493041346843691,0.0509331116781881,0.0420320613585974,0.0366840741410337,"mll","geno"
"10","TempControl-7psu",0.0367329348828684,0.0397461254185398,0.0363951459140398,0.0288939863635244,0.0229696927127167,0.0296615054410067,0.0484767153839742,0.0402645919226021,"mll","geno"
"11","TempWarm-16psu",0.0859502995897,0.095348466376728,0.0854656259628135,0.0842201042598262,0.0787855255393634,0.0845490305028083,0.0875386789871254,0.0819384013816923,"mll","geno"
"12","TempWarm-5psu",0.0849712970544955,0.090064928005226,0.084547517623428,0.0790027864229622,0.0731827897455535,0.0801492896991726,0.091883486522968,0.0858100068587686,"mll","geno"
"13","TempControl-21psu",0.0709162729890906,0.0909179114062742,0.0699149233899229,0.0745433341054361,0.0689030773186895,0.0741373015534355,0.0625463542746834,0.0535666025534942,"full","geno"
"14","TempControl-7psu",0.0541673677537011,0.0608921987704575,0.0533864908726928,0.0408780237192,0.0293605681911724,0.0433808336956953,0.0707748508574274,0.0598321578934855,"full","geno"
"15","TempWarm-16psu",0.13616383653035,0.150137860201294,0.134787035687466,0.129695607408934,0.118741114843875,0.131574426244345,0.138532898733688,0.128361500455754,"full","geno"
"16","TempWarm-5psu",0.133604792827104,0.141991604696663,0.132365574631907,0.12236485237131,0.11068756455242,0.125150777976946,0.144419993348577,0.134262918840738,"full","geno"
