"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"1","HOR","TempControl-21psu",1,"A1",0.00108588112945303,0.00216630679839815,"lea_offset"
"2","KUR","TempControl-21psu",2,"A1",0.000723570255015169,0.00179755875404677,"lea_offset"
"3","BAR","TempControl-21psu",3,"A1",0.000978851260367794,0.00264865134636356,"lea_offset"
"4","HOG","TempControl-21psu",4,"A1",0.000825979441389612,0.00244248084194727,"lea_offset"
"5","VIK","TempControl-21psu",5,"A1",0.000407321162150768,0.00119190695413403,"lea_offset"
"6","VAT","TempControl-21psu",6,"A1",0.00197699618144754,0.00324658610356453,"lea_offset"
"7","KAL","TempControl-21psu",7,"A1",0.000746906474477859,0.00204361759083699,"lea_offset"
"8","BJO","TempControl-21psu",8,"A1",0.0011584225866585,0.00257144582076335,"lea_offset"
"9","KAL","TempControl-7psu",9,"A1",3.14456763748227e-05,2.97574540777226e-05,"lea_offset"
"10","KUR","TempControl-7psu",10,"A1",0.000139885066974281,7.26652951682943e-05,"lea_offset"
"11","BJO","TempControl-7psu",11,"A1",0.000344799612014385,0.00026086847204795,"lea_offset"
"12","VIK","TempControl-7psu",12,"A1",0.00051723965412025,0.000562907817767212,"lea_offset"
"13","VAT","TempControl-7psu",13,"A1",0.00232809575174522,0.00211214718007064,"lea_offset"
"14","HOR","TempControl-7psu",14,"A1",0.00042702385228296,0.000193777944708483,"lea_offset"
"15","HOG","TempControl-7psu",15,"A1",0.00060258228203809,0.000666623276436722,"lea_offset"
"16","BAR","TempControl-7psu",16,"A1",0.000737469198125143,0.000768229094772072,"lea_offset"
"17","VIK","TempControl-21psu",17,"A1",0.00041126306827235,0.00120858103562483,"lea_offset"
"18","HOG","TempControl-21psu",18,"A1",0.000813400929180329,0.00239328121216541,"lea_offset"
"19","VAT","TempControl-21psu",19,"A1",0.00197699618144754,0.00324658610356453,"lea_offset"
"20","BJO","TempControl-21psu",20,"A1",0.00115081732729153,0.00254065486869224,"lea_offset"
"21","BAR","TempControl-21psu",21,"A1",0.000978851260367794,0.00264865134636356,"lea_offset"
"22","KAL","TempControl-21psu",22,"A1",0.000737142688812762,0.00201726703059517,"lea_offset"
"23","HOR","TempControl-21psu",23,"A1",0.00108492129619303,0.00216992302951263,"lea_offset"
"24","KUR","TempControl-21psu",24,"A1",0.000721479399282031,0.00180032121525247,"lea_offset"
"25","VAT","TempControl-7psu",25,"A1",0.00232087994669414,0.00210781269717324,"lea_offset"
"26","HOG","TempControl-7psu",26,"A1",0.00060258228203809,0.000666623276436722,"lea_offset"
"27","VIK","TempControl-7psu",27,"A1",0.00051723965412025,0.000562907817767212,"lea_offset"
"28","BAR","TempControl-7psu",28,"A1",0.000747353165125439,0.000781539145658018,"lea_offset"
"29","KUR","TempControl-7psu",29,"A1",0.000138441639432616,7.21252718355027e-05,"lea_offset"
"30","KAL","TempControl-7psu",30,"A1",3.14456763748227e-05,2.97574540777226e-05,"lea_offset"
"31","HOR","TempControl-7psu",31,"A1",0.000435907093263387,0.000206270624783806,"lea_offset"
"32","BJO","TempControl-7psu",32,"A1",0.000341110529784527,0.000250405119092254,"lea_offset"
"33","VIK","TempControl-21psu",33,"A2",0.000408864767240677,0.00118691529741852,"lea_offset"
"34","VAT","TempControl-21psu",34,"A2",0.00196223096957581,0.00323271305355643,"lea_offset"
"35","HOR","TempControl-21psu",35,"A2",0.00107466703611003,0.00209441073973929,"lea_offset"
"36","BJO","TempControl-21psu",36,"A2",0.00120223850241434,0.0026378114301578,"lea_offset"
"37","KAL","TempControl-21psu",37,"A2",0.000737713485203668,0.00199558409786877,"lea_offset"
"38","BAR","TempControl-21psu",38,"A2",0.000970131233114993,0.00260929202669094,"lea_offset"
"39","HOG","TempControl-21psu",39,"A2",0.000815801018690116,0.00238622985409956,"lea_offset"
"40","KUR","TempControl-21psu",40,"A2",0.000730246663225471,0.00178951427639155,"lea_offset"
"41","VAT","TempControl-7psu",41,"A2",0.00231733406702605,0.00209258203329074,"lea_offset"
"42","HOG","TempControl-7psu",42,"A2",0.000603346558193965,0.00066544021187383,"lea_offset"
"43","BJO","TempControl-7psu",43,"A2",0.000373215716492333,0.000296441855572279,"lea_offset"
"44","KUR","TempControl-7psu",44,"A2",0.000145532774342504,7.94678370428302e-05,"lea_offset"
"45","BAR","TempControl-7psu",45,"A2",0.000747306124134933,0.000773547060689385,"lea_offset"
"46","VIK","TempControl-7psu",46,"A2",0.000527441529871424,0.000576289558929301,"lea_offset"
"47","KAL","TempControl-7psu",47,"A2",3.0954000019569e-05,2.6363658710555e-05,"lea_offset"
"48","HOR","TempControl-7psu",48,"A2",0.000443826941639748,0.000211151258623472,"lea_offset"
"49","HOG","TempControl-21psu",49,"A2",0.000822131282090858,0.00241078726395431,"lea_offset"
"50","BJO","TempControl-21psu",50,"A2",0.0011736908003309,0.00255001637340171,"lea_offset"
"51","HOR","TempControl-21psu",51,"A2",0.00110023507291497,0.00217838493428812,"lea_offset"
"52","KAL","TempControl-21psu",52,"A2",0.000754018490221324,0.00205046753681725,"lea_offset"
"53","VAT","TempControl-21psu",53,"A2",0.0019574042115081,0.00319205077371026,"lea_offset"
"54","KUR","TempControl-21psu",54,"A2",0.000730246663225471,0.00178951427639155,"lea_offset"
"55","VIK","TempControl-21psu",55,"A2",0.000404915378916657,0.00117037001266971,"lea_offset"
"56","BAR","TempControl-21psu",56,"A2",0.000963766444429114,0.00258409091544639,"lea_offset"
"57","KUR","TempControl-7psu",57,"A2",0.000147635162693296,8.1327646677323e-05,"lea_offset"
"58","BJO","TempControl-7psu",58,"A2",0.000368347775587438,0.000281358666029953,"lea_offset"
"59","KAL","TempControl-7psu",59,"A2",3.230289759245e-05,2.96370948252549e-05,"lea_offset"
"60","HOR","TempControl-7psu",60,"A2",0.000443648679020505,0.000212664214792275,"lea_offset"
"61","VIK","TempControl-7psu",61,"A2",0.000521906049213372,0.000568477139368257,"lea_offset"
"62","HOG","TempControl-7psu",62,"A2",0.000606568213962624,0.000665413289740515,"lea_offset"
"63","BAR","TempControl-7psu",63,"A2",0.000747306124134933,0.000773547060689385,"lea_offset"
"64","VAT","TempControl-7psu",64,"A2",0.00230022550400855,0.00207156650467818,"lea_offset"
"65","VIK","TempWarm-16psu",65,"A3",0.00217513527897417,0.00185721963665985,"lea_offset"
"66","KAL","TempWarm-16psu",66,"A3",0.00183923387157263,0.00198795567002868,"lea_offset"
"67","HOG","TempWarm-16psu",67,"A3",0.00269551960290631,0.00275464192008765,"lea_offset"
"68","KUR","TempWarm-16psu",68,"A3",0.00233022375908318,0.00218728178303552,"lea_offset"
"69","BJO","TempWarm-16psu",69,"A3",0.00322200035058739,0.00317076666399801,"lea_offset"
"70","BAR","TempWarm-16psu",70,"A3",0.00294451405401657,0.00292291453843823,"lea_offset"
"71","VAT","TempWarm-16psu",71,"A3",0.00483360535307034,0.00395056822886687,"lea_offset"
"72","HOR","TempWarm-16psu",72,"A3",0.00309501737659642,0.00256999169037177,"lea_offset"
"73","KAL","TempWarm-5psu",73,"A3",0.00157892054655681,0.00115324239753126,"lea_offset"
"74","HOR","TempWarm-5psu",74,"A3",0.00287728091547435,0.00175692437380538,"lea_offset"
"75","VAT","TempWarm-5psu",75,"A3",0.00538718342392235,0.00378584847477117,"lea_offset"
