"","pop","trt","gap_mll","gap_full"
"1","BAR","TempControl-21psu",0.0082112712016676,0.00784687932287865
"2","BAR","TempControl-7psu",0.00631001782480743,0.00603310428081371
"3","BAR","TempWarm-16psu",0.0378874833416026,0.0324867576504869
"4","BAR","TempWarm-5psu",0.0387968512985465,0.0333087291575688
"5","BJO","TempControl-21psu",0.0176274793532371,0.0186350990430135
"6","BJO","TempControl-7psu",0.00940951679224918,0.00817935987815604
"7","BJO","TempWarm-16psu",0.0528083065030915,0.0476296964067405
"8","BJO","TempWarm-5psu",0.0489581024794342,0.0419272204323047
"9","HOG","TempControl-21psu",0.00847134744155477,0.0080223127935198
"10","HOG","TempControl-7psu",0.00727042805177325,0.0068526372910448
"11","HOG","TempWarm-16psu",0.0397116472429262,0.0340573412271299
"12","HOG","TempWarm-5psu",0.0412259433014971,0.0354383723115126
"13","HOR","TempControl-21psu",0.012130585864678,0.0130500082207995
"14","HOR","TempControl-7psu",0.00452717688844812,0.00380410060749539
"15","HOR","TempWarm-16psu",0.0397173761205386,0.0355956240613319
"16","HOR","TempWarm-5psu",0.0363063086555059,0.0308009520467256
"17","KAL","TempControl-21psu",0.00885863824734058,0.010198944966464
"18","KAL","TempControl-7psu",0.0022572618871481,0.0019408273928609
"19","KAL","TempWarm-16psu",0.0322515174125972,0.0293282192446749
"20","KAL","TempWarm-5psu",0.0296364057736042,0.0253100530850692
"21","KUR","TempControl-21psu",0.00994947455746373,0.0108460894393634
"22","KUR","TempControl-7psu",0.00426931214243565,0.00363773965943301
"23","KUR","TempWarm-16psu",0.038212420023613,0.0341392479548437
"24","KUR","TempWarm-5psu",0.0363808067195769,0.0310033684264976
"25","VAT","TempControl-21psu",0.00929471078543997,0.008369505842136
"26","VAT","TempControl-7psu",0.0122599184592406,0.0130874603224836
"27","VAT","TempWarm-16psu",0.0424178774340081,0.0361262842801332
"28","VAT","TempWarm-5psu",0.0471016644869932,0.0419932220166023
"29","VIK","TempControl-21psu",0.00561921277474393,0.00506711267655759
"30","VIK","TempControl-7psu",0.00809386292441518,0.00801900399975227
"31","VIK","TempWarm-16psu",0.0367067853268665,0.0312329680522131
"32","VIK","TempWarm-5psu",0.0413219757521668,0.0360630183483901
