"","pop","trt","bagnum","method","cc","offset"
"1","HOR","TempControl-21psu",1,"rda_offset","mll",3.22171703634763
"2","HOR","TempControl-21psu",1,"rda_offset","full",3.77659023840342
"3","KUR","TempControl-21psu",2,"rda_offset","mll",2.7518858825924
"4","KUR","TempControl-21psu",2,"rda_offset","full",3.19214766028388
"5","BAR","TempControl-21psu",3,"rda_offset","mll",1.86744587433902
"6","BAR","TempControl-21psu",3,"rda_offset","full",2.34842776061572
"7","HOG","TempControl-21psu",4,"rda_offset","mll",1.72166698503086
"8","HOG","TempControl-21psu",4,"rda_offset","full",2.1607722340211
"9","VIK","TempControl-21psu",5,"rda_offset","mll",0.99796235376684
"10","VIK","TempControl-21psu",5,"rda_offset","full",1.28965768066627
"11","VAT","TempControl-21psu",6,"rda_offset","mll",0.874448152879785
"12","VAT","TempControl-21psu",6,"rda_offset","full",1.38947346410552
"13","KAL","TempControl-21psu",7,"rda_offset","mll",2.95244730319561
"14","KAL","TempControl-21psu",7,"rda_offset","full",3.37398529891016
"15","BJO","TempControl-21psu",8,"rda_offset","mll",3.17239446556241
"16","BJO","TempControl-21psu",8,"rda_offset","full",3.70936240531865
"17","KAL","TempControl-7psu",9,"rda_offset","mll",0.167595857811083
"18","KAL","TempControl-7psu",9,"rda_offset","full",0.234645612305581
"19","KUR","TempControl-7psu",10,"rda_offset","mll",0.0655770477394326
"20","KUR","TempControl-7psu",10,"rda_offset","full",0.0383097662078791
"21","BJO","TempControl-7psu",11,"rda_offset","mll",0.469752531854141
"22","BJO","TempControl-7psu",11,"rda_offset","full",0.656458060163272
"23","VIK","TempControl-7psu",12,"rda_offset","mll",1.73152739163433
"24","VIK","TempControl-7psu",12,"rda_offset","full",1.78538359674956
"25","VAT","TempControl-7psu",13,"rda_offset","mll",1.91221910660514
"26","VAT","TempControl-7psu",13,"rda_offset","full",1.75628833886608
"27","HOR","TempControl-7psu",14,"rda_offset","mll",0.382266977247396
"28","HOR","TempControl-7psu",14,"rda_offset","full",0.579132490920727
"29","HOG","TempControl-7psu",15,"rda_offset","mll",1.06720675007427
"30","HOG","TempControl-7psu",15,"rda_offset","full",0.980067652758221
"31","BAR","TempControl-7psu",16,"rda_offset","mll",0.888588585462007
"32","BAR","TempControl-7psu",16,"rda_offset","full",0.759973543193302
"33","VIK","TempControl-21psu",17,"rda_offset","mll",1.0174033831743
"34","VIK","TempControl-21psu",17,"rda_offset","full",1.31162037940877
"35","HOG","TempControl-21psu",18,"rda_offset","mll",1.68274911347335
"36","HOG","TempControl-21psu",18,"rda_offset","full",2.11684478885697
"37","VAT","TempControl-21psu",19,"rda_offset","mll",0.874448152879785
"38","VAT","TempControl-21psu",19,"rda_offset","full",1.38947346410552
"39","BJO","TempControl-21psu",20,"rda_offset","mll",3.16423083666764
"40","BJO","TempControl-21psu",20,"rda_offset","full",3.69860768571967
"41","BAR","TempControl-21psu",21,"rda_offset","mll",1.86744587433902
"42","BAR","TempControl-21psu",21,"rda_offset","full",2.34842776061572
"43","KAL","TempControl-21psu",22,"rda_offset","mll",2.93297151432116
"44","KAL","TempControl-21psu",22,"rda_offset","full",3.35202223820891
"45","HOR","TempControl-21psu",23,"rda_offset","mll",3.21039722311784
"46","HOR","TempControl-21psu",23,"rda_offset","full",3.7653818532003
"47","KUR","TempControl-21psu",24,"rda_offset","mll",2.74057022922247
"48","KUR","TempControl-21psu",24,"rda_offset","full",3.18093804817792
"49","VAT","TempControl-7psu",25,"rda_offset","mll",1.89274846186821
"50","VAT","TempControl-7psu",25,"rda_offset","full",1.73435218655763
"51","HOG","TempControl-7psu",26,"rda_offset","mll",1.06720675007427
"52","HOG","TempControl-7psu",26,"rda_offset","full",0.980067652758221
"53","VIK","TempControl-7psu",27,"rda_offset","mll",1.73152739163433
"54","VIK","TempControl-7psu",27,"rda_offset","full",1.78538359674956
"55","BAR","TempControl-7psu",28,"rda_offset","mll",0.899907869497044
"56","BAR","TempControl-7psu",28,"rda_offset","full",0.771168012681002
"57","KUR","TempControl-7psu",29,"rda_offset","mll",0.0288508648333972
"58","KUR","TempControl-7psu",29,"rda_offset","full",0.0705430046133549
"59","KAL","TempControl-7psu",30,"rda_offset","mll",0.167595857811083
"60","KAL","TempControl-7psu",30,"rda_offset","full",0.234645612305581
"61","HOR","TempControl-7psu",31,"rda_offset","mll",0.426055162695092
"62","HOR","TempControl-7psu",31,"rda_offset","full",0.632393994478509
"63","BJO","TempControl-7psu",32,"rda_offset","mll",0.442396344563984
"64","BJO","TempControl-7psu",32,"rda_offset","full",0.623745489869376
"65","VIK","TempControl-21psu",33,"rda_offset","mll",0.978022349500573
"66","VIK","TempControl-21psu",33,"rda_offset","full",1.26787098794877
"67","VAT","TempControl-21psu",34,"rda_offset","mll",0.873784585651167
"68","VAT","TempControl-21psu",34,"rda_offset","full",1.38870555039734
"69","HOR","TempControl-21psu",35,"rda_offset","mll",3.15342921848123
"70","HOR","TempControl-21psu",35,"rda_offset","full",3.69960596657421
"71","BJO","TempControl-21psu",36,"rda_offset","mll",3.15987096362167
"72","BJO","TempControl-21psu",36,"rda_offset","full",3.69812230114385
"73","KAL","TempControl-21psu",37,"rda_offset","mll",2.89240648605662
"74","KAL","TempControl-21psu",37,"rda_offset","full",3.3079957367895
"75","BAR","TempControl-21psu",38,"rda_offset","mll",1.82736897876718
"76","BAR","TempControl-21psu",38,"rda_offset","full",2.30435694575551
"77","HOG","TempControl-21psu",39,"rda_offset","mll",1.66243498042303
"78","HOG","TempControl-21psu",39,"rda_offset","full",2.09493159663836
"79","KUR","TempControl-21psu",40,"rda_offset","mll",2.70013897008236
"80","KUR","TempControl-21psu",40,"rda_offset","full",3.13688142583205
"81","VAT","TempControl-7psu",41,"rda_offset","mll",1.94504973760073
"82","VAT","TempControl-7psu",41,"rda_offset","full",1.78885229503998
"83","HOG","TempControl-7psu",42,"rda_offset","mll",1.10070632230595
"84","HOG","TempControl-7psu",42,"rda_offset","full",1.01340668530526
"85","BJO","TempControl-7psu",43,"rda_offset","mll",0.459743656736718
"86","BJO","TempControl-7psu",43,"rda_offset","full",0.645162381527676
"87","KUR","TempControl-7psu",44,"rda_offset","mll",0.055139128260407
"88","KUR","TempControl-7psu",44,"rda_offset","full",0.0451110031806007
"89","BAR","TempControl-7psu",45,"rda_offset","mll",0.952651892032206
"90","BAR","TempControl-7psu",45,"rda_offset","full",0.825928710974107
"91","VIK","TempControl-7psu",46,"rda_offset","mll",1.80345636027793
"92","VIK","TempControl-7psu",46,"rda_offset","full",1.8626363366552
"93","KAL","TempControl-7psu",47,"rda_offset","mll",0.127045165454142
"94","KAL","TempControl-7psu",47,"rda_offset","full",0.189659360385344
"95","HOR","TempControl-7psu",48,"rda_offset","mll",0.392966354238966
"96","HOR","TempControl-7psu",48,"rda_offset","full",0.5975090906502
"97","HOG","TempControl-21psu",49,"rda_offset","mll",1.68188456701391
"98","HOG","TempControl-21psu",49,"rda_offset","full",2.11689459049092
"99","BJO","TempControl-21psu",50,"rda_offset","mll",3.11276966760612
"100","BJO","TempControl-21psu",50,"rda_offset","full",3.64343945367863
"101","HOR","TempControl-21psu",51,"rda_offset","mll",3.18921939253825
"102","HOR","TempControl-21psu",51,"rda_offset","full",3.74305770437227
"103","KAL","TempControl-21psu",52,"rda_offset","mll",2.92004149500241
"104","KAL","TempControl-21psu",52,"rda_offset","full",3.34071372149303
"105","VAT","TempControl-21psu",53,"rda_offset","mll",0.834928869225687
"106","VAT","TempControl-21psu",53,"rda_offset","full",1.34484365520648
"107","KUR","TempControl-21psu",54,"rda_offset","mll",2.70013897008236
"108","KUR","TempControl-21psu",54,"rda_offset","full",3.13688142583205
"109","VIK","TempControl-21psu",55,"rda_offset","mll",0.958606761185392
"110","VIK","TempControl-21psu",55,"rda_offset","full",1.24591181246458
"111","BAR","TempControl-21psu",56,"rda_offset","mll",1.80790458053296
"112","BAR","TempControl-21psu",56,"rda_offset","full",2.28239372793628
"113","KUR","TempControl-7psu",57,"rda_offset","mll",0.0650570491180958
"114","KUR","TempControl-7psu",57,"rda_offset","full",0.0354873920337682
"115","BJO","TempControl-7psu",58,"rda_offset","mll",0.413500390522165
"116","BJO","TempControl-7psu",58,"rda_offset","full",0.590479536351524
"117","KAL","TempControl-7psu",59,"rda_offset","mll",0.135208752547622
"118","KAL","TempControl-7psu",59,"rda_offset","full",0.200373836663736
"119","HOR","TempControl-7psu",60,"rda_offset","mll",0.412436049470321
"120","HOR","TempControl-7psu",60,"rda_offset","full",0.61919953548639
"121","VIK","TempControl-7psu",61,"rda_offset","mll",1.78399819015982
"122","VIK","TempControl-7psu",61,"rda_offset","full",1.84067470154424
"123","HOG","TempControl-7psu",62,"rda_offset","mll",1.12012208649694
"124","HOG","TempControl-7psu",62,"rda_offset","full",1.03536707312403
"125","BAR","TempControl-7psu",63,"rda_offset","mll",0.952651892032206
"126","BAR","TempControl-7psu",63,"rda_offset","full",0.825928710974107
"127","VAT","TempControl-7psu",64,"rda_offset","mll",1.93372751706203
"128","VAT","TempControl-7psu",64,"rda_offset","full",1.77765993850061
"129","VIK","TempWarm-16psu",65,"rda_offset","mll",0.355561674220852
"130","VIK","TempWarm-16psu",65,"rda_offset","full",0.189296761447988
"131","KAL","TempWarm-16psu",66,"rda_offset","mll",1.75063591370707
"132","KAL","TempWarm-16psu",66,"rda_offset","full",2.21234325988208
"133","HOG","TempWarm-16psu",67,"rda_offset","mll",0.591547070842454
"134","HOG","TempWarm-16psu",67,"rda_offset","full",1.00271009423788
"135","KUR","TempWarm-16psu",68,"rda_offset","mll",1.58287323480034
"136","KUR","TempWarm-16psu",68,"rda_offset","full",2.06303224165567
"137","BJO","TempWarm-16psu",69,"rda_offset","mll",1.96778356710213
"138","BJO","TempWarm-16psu",69,"rda_offset","full",2.53698149966651
"139","BAR","TempWarm-16psu",70,"rda_offset","mll",0.745958219070978
"140","BAR","TempWarm-16psu",70,"rda_offset","full",1.23120367511758
"141","VAT","TempWarm-16psu",71,"rda_offset","mll",0.455306982949462
"142","VAT","TempWarm-16psu",71,"rda_offset","full",0.21314840705301
"143","HOR","TempWarm-16psu",72,"rda_offset","mll",2.02387295229761
