"","pop","trt","bagnum","cc","offset"
"1","HOR","TempControl-21psu",1,"mll",18.3435917635673
"2","HOR","TempControl-21psu",1,"full",20.5190810604925
"3","KUR","TempControl-21psu",2,"mll",15.9784936026227
"4","KUR","TempControl-21psu",2,"full",17.7222620911387
"5","BAR","TempControl-21psu",3,"mll",9.93720934556229
"6","BAR","TempControl-21psu",3,"full",11.9647482883892
"7","HOG","TempControl-21psu",4,"mll",9.31349046624618
"8","HOG","TempControl-21psu",4,"full",11.1769583415268
"9","VIK","TempControl-21psu",5,"mll",5.27060864226356
"10","VIK","TempControl-21psu",5,"full",6.52628737948454
"11","VAT","TempControl-21psu",6,"mll",3.21010579993693
"12","VAT","TempControl-21psu",6,"full",5.42459783785342
"13","KAL","TempControl-21psu",7,"mll",17.1867982823743
"14","KAL","TempControl-21psu",7,"full",18.8614352728152
"15","BJO","TempControl-21psu",8,"mll",18.6491411261628
"16","BJO","TempControl-21psu",8,"full",20.7720707396031
"17","KAL","TempControl-7psu",9,"mll",0.728400063882681
"18","KAL","TempControl-7psu",9,"full",0.997734620114856
"19","KUR","TempControl-7psu",10,"mll",0.67247780966267
"20","KUR","TempControl-7psu",10,"full",0.340243727401446
"21","BJO","TempControl-7psu",11,"mll",2.65772996134216
"22","BJO","TempControl-7psu",11,"full",3.40805402124404
"23","VIK","TempControl-7psu",12,"mll",10.8503715020689
"24","VIK","TempControl-7psu",12,"full",10.9626503224598
"25","VAT","TempControl-7psu",13,"mll",13.2578116823816
"26","VAT","TempControl-7psu",13,"full",12.4391028148469
"27","HOR","TempControl-7psu",14,"mll",1.57890998151084
"28","HOR","TempControl-7psu",14,"full",2.30346483795992
"29","HOG","TempControl-7psu",15,"mll",7.15458615877134
"30","HOG","TempControl-7psu",15,"full",6.68674231117348
"31","BAR","TempControl-7psu",16,"mll",6.33572290798228
"32","BAR","TempControl-7psu",16,"full",5.70014719847132
"33","VIK","TempControl-21psu",17,"mll",5.38559644894574
"34","VIK","TempControl-21psu",17,"full",6.65120836306985
"35","HOG","TempControl-21psu",18,"mll",9.08340105807764
"36","HOG","TempControl-21psu",18,"full",10.9271163743562
"37","VAT","TempControl-21psu",19,"mll",3.21010579993693
"38","VAT","TempControl-21psu",19,"full",5.42459783785342
"39","BJO","TempControl-21psu",20,"mll",18.6097904528672
"40","BJO","TempControl-21psu",20,"full",20.7210339382722
"41","BAR","TempControl-21psu",21,"mll",9.93720934556229
"42","BAR","TempControl-21psu",21,"full",11.9647482883892
"43","KAL","TempControl-21psu",22,"mll",17.0717022930436
"44","KAL","TempControl-21psu",22,"full",18.7365142892298
"45","HOR","TempControl-21psu",23,"mll",18.2678218304314
"46","HOR","TempControl-21psu",23,"full",20.445196878238
"47","KUR","TempControl-21psu",24,"mll",15.9027362948048
"48","KUR","TempControl-21psu",24,"full",17.6483779088842
"49","VAT","TempControl-7psu",25,"mll",13.1427312419899
"50","VAT","TempControl-7psu",25,"full",12.3141818312616
"51","HOG","TempControl-7psu",26,"mll",7.15458615877134
"52","HOG","TempControl-7psu",26,"full",6.68674231117348
"53","VIK","TempControl-7psu",27,"mll",10.8503715020689
"54","VIK","TempControl-7psu",27,"full",10.9626503224598
"55","BAR","TempControl-7psu",28,"mll",6.4115016132138
"56","BAR","TempControl-7psu",28,"full",5.77403138072581
