"","pop","trt","offset_mll","offset_full"
"1","BAR","TempControl-21psu",8.07190550245631,9.90183589950429
"2","BAR","TempControl-7psu",7.01184200459025,6.55580017283635
"3","BAR","TempWarm-16psu",3.00296529561148,4.94228541414918
"4","BAR","TempWarm-5psu",9.36948939517787,8.37368375691182
"5","BJO","TempControl-21psu",16.756274326024,18.8541769840951
"6","BJO","TempControl-7psu",1.78039599112642,2.40597295356432
"7","BJO","TempWarm-16psu",11.5290733136461,13.8903445814448
"8","BJO","TempWarm-5psu",1.29967708080409,0.658553836538055
"9","HOG","TempControl-21psu",7.36439248045719,9.01906973844112
"10","HOG","TempControl-7psu",7.7301858112527,7.44451230742295
"11","HOG","TempWarm-16psu",2.39514141422687,4.06815050678942
"12","HOG","TempWarm-5psu",10.0881320889448,9.26301233548877
"13","HOR","TempControl-21psu",16.0603119934651,18.1567294621957
"14","HOR","TempControl-7psu",1.03439653260217,1.70719258864917
"15","HOR","TempWarm-16psu",10.8149936240685,13.1897331441397
"16","HOR","TempWarm-5psu",1.54713201172687,0.11520031086678
"17","KAL","TempControl-21psu",15.0143596737494,16.6258025740507
"18","KAL","TempControl-7psu",0.300412239006678,0.2361539432619
"19","KAL","TempWarm-16psu",9.77789813534648,11.6621633556993
"20","KAL","TempWarm-5psu",2.51746230130375,1.668774985567
"21","KUR","TempControl-21psu",13.8958203797049,15.5619618169573
"22","KUR","TempControl-7psu",1.21339145127269,0.901837005280016
"23","KUR","TempWarm-16psu",8.67041259263403,10.5980050133261
"24","KUR","TempWarm-5psu",3.60146069123246,2.71927860366982
"25","VAT","TempControl-21psu",1.57679409951169,3.39329273205504
"26","VAT","TempControl-7psu",13.5679046867061,13.0617098596794
"27","VAT","TempWarm-16psu",3.95622795422098,1.57553225448587
"28","VAT","TempWarm-5psu",15.9068913637073,14.8770285282037
"29","VIK","TempControl-21psu",3.60603303190851,4.61074639210048
"30","VIK","TempControl-7psu",11.4951521528019,11.8569560140288
"31","VIK","TempWarm-16psu",2.0702866692778,0.559067286677507
"32","VIK","TempWarm-5psu",13.8390850748213,13.674782491477
