"","pops2","order2","pops1","order1","distances"
"1","BAR",8,"TempWarm-5psu",4,6.0353
"2","BAR",8,"TempWarm-16psu",3,5.7974
"3","BAR",8,"TempControl-7psu",2,2.7722
"4","BAR",8,"VAT",5,2.0284
"5","BAR",8,"TempControl-21psu",1,3.2931
"6","BAR",8,"KUR",9,1.6854
"7","BAR",8,"BAR",8,0
"8","BAR",8,"KAL",10,2.1087
"9","BAR",8,"HOR",11,2.0651
"10","BAR",8,"HOG",7,0.3555
"11","BAR",8,"BJO",12,2.3404
"12","BAR",8,"VIK",6,1.2011
"13","BJO",12,"VAT",5,4.1118
"14","BJO",12,"TempWarm-5psu",4,6.2003
"15","BJO",12,"TempWarm-16psu",3,6.8452
"16","BJO",12,"TempControl-7psu",2,2.7082
"17","BJO",12,"TempControl-21psu",1,4.9783
"18","BJO",12,"KUR",9,1.1145
"19","BJO",12,"BAR",8,2.3404
"20","BJO",12,"KAL",10,1.5314
"21","BJO",12,"HOR",11,1.0518
"22","BJO",12,"HOG",7,2.4062
"23","BJO",12,"BJO",12,0
"24","BJO",12,"VIK",6,3.213
"25","HOG",7,"TempWarm-16psu",3,5.7683
"26","HOG",7,"TempControl-7psu",2,2.8197
"27","HOG",7,"TempWarm-5psu",4,6.0562
"28","HOG",7,"KUR",9,1.7413
"29","HOG",7,"BAR",8,0.3555
"30","HOG",7,"VAT",5,2.1236
"31","HOG",7,"TempControl-21psu",1,3.2186
"32","HOG",7,"HOG",7,0
"33","HOG",7,"BJO",12,2.4062
"34","HOG",7,"VIK",6,0.9969
"35","HOG",7,"HOR",11,2.25
"36","HOG",7,"KAL",10,2.1344
"37","HOR",11,"TempWarm-5psu",4,5.7503
"38","HOR",11,"TempWarm-16psu",3,6.2752
"39","HOR",11,"TempControl-21psu",1,4.4518
"40","HOR",11,"KUR",9,0.9301
"41","HOR",11,"BAR",8,2.0651
"42","HOR",11,"VAT",5,3.7295
"43","HOR",11,"HOR",11,0
"44","HOR",11,"HOG",7,2.25
"45","HOR",11,"BJO",12,1.0518
"46","HOR",11,"VIK",6,2.9865
"47","HOR",11,"TempControl-7psu",2,2.246
"48","HOR",11,"KAL",10,1.372
"49","KAL",10,"TempWarm-16psu",3,5.3493
"50","KAL",10,"KUR",9,0.7006
"51","KAL",10,"BAR",8,2.1087
"52","KAL",10,"VAT",5,4.0852
"53","KAL",10,"TempWarm-5psu",4,4.7555
"54","KAL",10,"HOG",7,2.1344
"55","KAL",10,"BJO",12,1.5314
"56","KAL",10,"VIK",6,2.7338
"57","KAL",10,"TempControl-7psu",2,1.2321
"58","KAL",10,"TempControl-21psu",1,3.9871
"59","KAL",10,"KAL",10,0
"60","KAL",10,"HOR",11,1.372
"61","KUR",9,"BAR",8,1.6854
"62","KUR",9,"VAT",5,3.608
"63","KUR",9,"TempWarm-5psu",4,5.3861
"64","KUR",9,"TempWarm-16psu",3,5.774
"65","KUR",9,"BJO",12,1.1145
"66","KUR",9,"VIK",6,2.4157
"67","KUR",9,"TempControl-7psu",2,1.8042
"68","KUR",9,"TempControl-21psu",1,3.9378
"69","KUR",9,"KUR",9,0
"70","KUR",9,"KAL",10,0.7006
"71","KUR",9,"HOR",11,0.9301
"72","KUR",9,"HOG",7,1.7413
"73","TempControl-21psu",1,"BAR",8,3.2931
"74","TempControl-21psu",1,"VAT",5,3.4861
"75","TempControl-21psu",1,"TempWarm-5psu",4,5.5002
"76","TempControl-21psu",1,"TempWarm-16psu",3,3.7897
"77","TempControl-21psu",1,"TempControl-7psu",2,3.6719
"78","TempControl-21psu",1,"VIK",6,2.4044
"79","TempControl-21psu",1,"TempControl-21psu",1,0
"80","TempControl-21psu",1,"KUR",9,3.9378
"81","TempControl-21psu",1,"KAL",10,3.9871
"82","TempControl-21psu",1,"HOR",11,4.4518
"83","TempControl-21psu",1,"HOG",7,3.2186
"84","TempControl-21psu",1,"BJO",12,4.9783
"85","TempControl-7psu",2,"TempControl-7psu",2,0
"86","TempControl-7psu",2,"KAL",10,1.2321
"87","TempControl-7psu",2,"BAR",8,2.7722
"88","TempControl-7psu",2,"VAT",5,4.5587
"89","TempControl-7psu",2,"TempWarm-5psu",4,3.5941
"90","TempControl-7psu",2,"TempWarm-16psu",3,4.2678
"91","TempControl-7psu",2,"BJO",12,2.7082
"92","TempControl-7psu",2,"VIK",6,3.1674
"93","TempControl-7psu",2,"TempControl-21psu",1,3.6719
"94","TempControl-7psu",2,"KUR",9,1.8042
"95","TempControl-7psu",2,"HOR",11,2.246
"96","TempControl-7psu",2,"HOG",7,2.8197
"97","TempWarm-16psu",3,"TempWarm-16psu",3,0
"98","TempWarm-16psu",3,"TempControl-7psu",2,4.2678
"99","TempWarm-16psu",3,"KUR",9,5.774
"100","TempWarm-16psu",3,"KAL",10,5.3493
"101","TempWarm-16psu",3,"BAR",8,5.7974
"102","TempWarm-16psu",3,"VAT",5,6.6275
"103","TempWarm-16psu",3,"TempWarm-5psu",4,2.8851
"104","TempWarm-16psu",3,"HOG",7,5.7683
"105","TempWarm-16psu",3,"BJO",12,6.8452
"106","TempWarm-16psu",3,"VIK",6,5.394
"107","TempWarm-16psu",3,"TempControl-21psu",1,3.7897
"108","TempWarm-16psu",3,"HOR",11,6.2752
"109","TempWarm-5psu",4,"TempWarm-5psu",4,0
"110","TempWarm-5psu",4,"TempWarm-16psu",3,2.8851
"111","TempWarm-5psu",4,"TempControl-7psu",2,3.5941
"112","TempWarm-5psu",4,"TempControl-21psu",1,5.5002
"113","TempWarm-5psu",4,"KUR",9,5.3861
"114","TempWarm-5psu",4,"KAL",10,4.7555
"115","TempWarm-5psu",4,"BAR",8,6.0353
"116","TempWarm-5psu",4,"VAT",5,7.4833
"117","TempWarm-5psu",4,"HOR",11,5.7503
"118","TempWarm-5psu",4,"HOG",7,6.0562
"119","TempWarm-5psu",4,"BJO",12,6.2003
"120","TempWarm-5psu",4,"VIK",6,6.1427
"121","VAT",5,"BAR",8,2.0284
"122","VAT",5,"VAT",5,0
"123","VAT",5,"TempWarm-5psu",4,7.4833
"124","VAT",5,"TempWarm-16psu",3,6.6275
"125","VAT",5,"TempControl-7psu",2,4.5587
"126","VAT",5,"VIK",6,1.9753
"127","VAT",5,"TempControl-21psu",1,3.4861
"128","VAT",5,"KUR",9,3.608
"129","VAT",5,"BJO",12,4.1118
"130","VAT",5,"KAL",10,4.0852
"131","VAT",5,"HOR",11,3.7295
"132","VAT",5,"HOG",7,2.1236
"133","VIK",6,"TempControl-7psu",2,3.1674
"134","VIK",6,"TempWarm-16psu",3,5.394
"135","VIK",6,"BAR",8,1.2011
"136","VIK",6,"VAT",5,1.9753
"137","VIK",6,"TempWarm-5psu",4,6.1427
"138","VIK",6,"KUR",9,2.4157
"139","VIK",6,"BJO",12,3.213
"140","VIK",6,"VIK",6,0
"141","VIK",6,"TempControl-21psu",1,2.4044
"142","VIK",6,"HOG",7,0.9969
"143","VIK",6,"KAL",10,2.7338
"144","VIK",6,"HOR",11,2.9865
