"","pops2","order2","pops1","order1","distances"
"1","BAR",8,"TempWarm-5psu",4,10.9001
"2","BAR",8,"TempWarm-16psu",3,11.2933
"3","BAR",8,"TempControl-7psu",2,3.4925
"4","BAR",8,"VAT",6,2.3027
"5","BAR",8,"TempControl-21psu",1,6.3282
"6","BAR",8,"KUR",9,1.4742
"7","BAR",8,"BAR",8,0
"8","BAR",8,"KAL",10,2.3395
"9","BAR",8,"HOR",11,1.989
"10","BAR",8,"HOG",7,0.6414
"11","BAR",8,"BJO",12,2.6138
"12","BAR",8,"VIK",5,2.1814
"13","BJO",12,"VAT",6,4.1949
"14","BJO",12,"TempWarm-5psu",4,12.28
"15","BJO",12,"TempWarm-16psu",3,13.1798
"16","BJO",12,"TempControl-7psu",2,4.7721
"17","BJO",12,"TempControl-21psu",1,8.2971
"18","BJO",12,"KUR",9,2.2761
"19","BJO",12,"BAR",8,2.6138
"20","BJO",12,"KAL",10,3.2724
"21","BJO",12,"HOR",11,2.4056
"22","BJO",12,"HOG",7,2.5636
"23","BJO",12,"BJO",12,0
"24","BJO",12,"VIK",5,4.1232
"25","HOG",7,"TempWarm-16psu",3,11.4677
"26","HOG",7,"TempControl-7psu",2,3.7115
"27","HOG",7,"TempWarm-5psu",4,11.1689
"28","HOG",7,"KUR",9,1.6349
"29","HOG",7,"BAR",8,0.6414
"30","HOG",7,"VAT",6,2.44
"31","HOG",7,"TempControl-21psu",1,6.2538
"32","HOG",7,"HOG",7,0
"33","HOG",7,"BJO",12,2.5636
"34","HOG",7,"VIK",5,1.8827
"35","HOG",7,"HOR",11,2.4349
"36","HOG",7,"KAL",10,2.5539
"37","HOR",11,"TempWarm-5psu",4,10.5356
"38","HOR",11,"TempWarm-16psu",3,11.3338
"39","HOR",11,"TempControl-21psu",1,7.0281
"40","HOR",11,"KUR",9,1.3335
"41","HOR",11,"BAR",8,1.989
"42","HOR",11,"VAT",6,3.5516
"43","HOR",11,"HOR",11,0
"44","HOR",11,"HOG",7,2.4349
"45","HOR",11,"BJO",12,2.4056
"46","HOR",11,"VIK",5,3.6138
"47","HOR",11,"TempControl-7psu",2,3.2104
"48","HOR",11,"KAL",10,1.9994
"49","KAL",10,"TempWarm-16psu",3,9.9659
"50","KAL",10,"KUR",9,1.307
"51","KAL",10,"BAR",8,2.3395
