"","pop","region","site_full","lat","long","order","coast","go_current_full","go_future_full","go_current_mll","go_future_mll","method"
"1","KOD","Kosterhavet","Koster donor site",58.882538,10.991989,1,"west",0.000748274464074837,0.00366295426711073,0.000588370986139126,0.00414903153827044,"lea_offset"
"2","GAS","Kosterhavet","Gåsholmen ",58.878628,11.134688,2,"west",0.00024892294980104,0.00268764205065446,0.000829263736639313,0.00470241557203883,"lea_offset"
"3","KAV","Grebbestad-Fjällbacka","Kämpersvik",58.64622,11.27672,3,"west",0.000752604832076987,0.00368880058916089,0.00058271369812261,0.00311313608484506,"lea_offset"
"4","VHA","Ellös-Havstenfjord","Väst Hjältön",58.25641,11.60238,4,"west",0.00104205125866952,0.00452420267992485,0.000918687860882045,0.00415417879103259,"lea_offset"
"5","STE","Hake-Älgöfjorden","Stenungsund",58.05143,11.81013,5,"west",0.00112301596914798,0.00446331158111771,0.000934836205112176,0.00462467754630611,"lea_offset"
"6","NOV","Sälöfjorden","N. Överön",57.795244,11.728779,6,"west",0.000545471205932184,0.00218095003298614,0.00151781615671592,0.00527249218931062,"lea_offset"
"7","SBR","Göteborgs S skärgård","S. Brännö",57.64159,11.79115,7,"west",0.000575642112177944,0.00230245293609472,0.000791145481975549,0.003492246084231,"lea_offset"
"8","GOT","Kungsbacka","Gottskär",57.39626,12.02123,8,"west",0.00105502428919391,0.00423299906326435,0.000381602381195231,0.00374373167300421,"lea_offset"
"9","GRO","Lahalmsbukten","Grötvik",56.64116,12.78014,9,"west",0.000863048219584456,0.00418054149220874,0.000321208520193216,0.00166241865494807,"lea_offset"
"10","HOG","Södra Höganäs","Höganäs",56.1969,12.55141,10,"west",0.000361972263129443,0.00286596945779644,0.000520505202667789,0.00188560643248366,"lea_offset"
"11","ALA","Øresund","Ålabadarna",55.940683,12.771034,11,"west",0.000723904789737243,0.00321438681239779,0.00103212455373035,0.00416561964458735,"lea_offset"
"12","BAR","Barsebäck","Barsebäck hamn",55.75528,12.90189,12,"west",0.00103009264956802,0.00395929109485435,0.00114430906055832,0.00389250829501032,"lea_offset"
"13","LOM","Lomma","South Lomma Bay",55.67242,13.05485,13,"west",0.000599436021534985,0.0034056065927244,0.00109741328877134,0.00397119987221554,"lea_offset"
"14","KUR","Trelleborg","Kurland",55.395972,12.982861,14,"east",0.00082253546635104,0.00366362105255076,0.00124253527438026,0.00395326401830439,"lea_offset"
"15","YST","Gamla Staden-Sandskogen","Ystad",55.42155879,13.84636159,15,"east",0.00093980570495143,0.0041449554663054,0.00263441591746922,0.00694182221418682,"lea_offset"
"16","SKI","Skillinge","Skillinge",55.457556,14.2785,16,"east",0.000403058896824643,0.00287102550092726,0.00260430356207685,0.00522772860686339,"lea_offset"
"17","AHU","Kristianstad","Åhus",55.973569,14.402056,17,"east",0.000194069546141751,0.00191307824403644,0.00260430356207685,0.00522772860686339,"lea_offset"
"18","FUR","Pukaviksbukten","Furumon",56.0954,14.72029998,18,"east",8.05467376511388e-05,0.00154347101556444,0.00260430356207685,0.00522772860686339,"lea_offset"
"19","BJN","Karlskrona","Björkenäs",56.159447,15.925111,19,"east",0.000440246691060484,0.00240712670426254,0.00260430356207685,0.00522772860686339,"lea_offset"
"20","BLA","Öland","Bläsinge",56.621246,16.704923,20,"east",0.00240574539157308,0.00594449870631142,0.00260430356207685,0.00522772860686339,"lea_offset"
"21","KAL","Kalmar","Kalmarsund",56.654431,16.351908,21,"east",0.0003948495971264,0.00192304587175247,0.00260430356207685,0.00522772860686339,"lea_offset"
"22","KAR","Öland","Kårehamn",56.969566,16.912377,22,"east",0.000293795521274045,0.00113223849136836,0.00260430356207685,0.00522772860686339,"lea_offset"
"23","OSK","Oskarshamn","Oskarshamn",57.031518,16.583068,23,"east",0.00106363064134084,0.00386366878836268,0.00263546393695082,0.00651286068228092,"lea_offset"
"24","BUR","Gotland","Burgsvik",57.032289,18.223786,24,"east",0.000706088642672601,0.00366590026708031,0.00103950163196611,0.00447492643151792,"lea_offset"
"25","BAD","Öland","Bödagården",57.259256,17.058547,25,"east",0.00200577786520411,0.00361676253191785,0.0005749747205252,0.003936431620392,"lea_offset"
"26","LJU","Gotland","Ljugarn",57.319176,18.695397,26,"east",0.00270561070522508,0.00376623913341715,0.0005749747205252,0.003936431620392,"lea_offset"
"27","KLI","Gotland","Klintehamn",57.401162,18.152719,27,"east",0.00333980859567578,0.00485208565310948,0.0012031609870241,0.00414043849201639,"lea_offset"
"28","HOR","Hornsudde","Hornsudde",57.695151,16.730625,28,"east",0.00442377358506764,0.00614450357219667,0.00103990772499353,0.00420066579901467,"lea_offset"
"29","SLI","Gotland","Slite",57.713318,18.831167,29,"east",0.00342373310716611,0.00498678068038675,0.00103990772499353,0.00420066579901467,"lea_offset"
"30","EKO","Valdemarsvik","Ekön",58.175265,16.854798,30,"east",0.00345522030928335,0.0051068618539418,0.00103990772499353,0.00420066579901467,"lea_offset"
"31","KRA","Tystberga","Krampö",58.690647,17.4658689,31,"east",0.00501411094614723,0.00649733210906906,0.00103990772499353,0.00420066579901467,"lea_offset"
"32","NYN","Nynäshamn","Nynäshamn",58.8811079,17.9542217,32,"east",0.00949042070121692,0.00988765429619111,0.00103990772499353,0.00420066579901467,"lea_offset"
"33","GAL","Haninge","Gålö",59.09087305,18.32692339,33,"east",0.00307742732661807,0.00571134011762226,0.00103990772499353,0.00420066579901467,"lea_offset"
"34","BJO","Östersjö","Björkö",59.83484289,19.07867998,34,"east",0.00275987573525479,0.00323921658800321,0.00103990772499353,0.00420066579901467,"lea_offset"
