"trt","pop","fit_off","method","fit","coast","metric","pop_ord","trt_ord"
"TempControl_21psu","BAR",0.364428379110029,"cg","rel","West","len",4,1
"TempControl_21psu","BAR",0.1,"cg","rel","West","surv",4,1
"TempControl_21psu","BAR",0,"cf","rel","West","surv",4,1
"TempControl_21psu","VAT",0.254979055181188,"cg","rel","East","weigh",1,1
"TempControl_21psu","VIK",0,"cf","rel","West","surv",2,1
"TempControl_21psu","BAR",0,"cf","rel","West","len",4,1
"TempControl_21psu","BAR",0.179411584885682,"cg","abs","West","surv",4,1
"TempControl_21psu","VIK",0,"cf","rel","West","surv",2,1
"TempControl_21psu","VAT",0,"cf","rel","West","surv",1,1
"TempControl_21psu","HOG",0,"cf","rel","West","len",3,1
"TempControl_21psu","HOG",0,"cf","rel","West","surv",3,1
"TempControl_21psu","BAR",0,"cf","rel","East","weigh",4,1
"TempControl_21psu","BAR",0,"cf","rel","West","surv",4,1
"TempControl_21psu","BAR",0.090909090909091,"cg","abs","West","surv",4,1
"TempControl_21psu","VAT",0,"cf","rel","East","weigh",1,1
"TempControl_21psu","BAR",0,"cf","rel","West","surv",4,1
"TempControl_21psu","VAT",0,"cf","rel","West","surv",1,1
"TempControl_21psu","BAR",0.75761986693641,"cg","abs","West","surv",4,1
"TempControl_21psu","BAR",-1.39417981122257,"cg","rel","West","len",4,1
"TempControl_21psu","BAR",0.364428379110029,"cg","rel","East","weigh",4,1
"TempControl_21psu","BAR",0,"cf","rel","West","len",4,1
"TempControl_21psu","HOG",-0.090909090909091,"cg","rel","West","surv",3,1
"TempControl_21psu","BAR",0,"cf","rel","West","surv",4,1
"TempControl_21psu","HOG",-0.206576013161382,"cg","rel","East","weigh",3,1
"TempControl_21psu","VAT",0.00833333333333382,"cg","rel","West","surv",1,1
"TempControl_21psu","HOG",-0.54126971804321,"cg","abs","West","surv",3,1
"TempControl_21psu","VIK",0,"cg","rel","West","len",2,1
"TempControl_21psu","VIK",0,"cf","rel","West","surv",2,1
"TempControl_21psu","VAT",0.53008275132058,"cg","abs","West","surv",1,1
"TempControl_21psu","HOG",0,"cf","rel","West","surv",3,1
"TempControl_21psu","HOG",-0.090909090909091,"cg","abs","West","surv",3,1
"TempControl_21psu","HOG",0.972872775252857,"cg","rel","West","len",3,1
"TempControl_21psu","VIK",0,"cf","rel","West","len",2,1
"TempControl_21psu","HOG",0,"cf","rel","East","weigh",3,1
"TempControl_21psu","VAT",0,"cf","rel","West","surv",1,1
"TempControl_21psu","VAT",0,"cf","rel","West","len",1,1
"TempControl_21psu","VAT",0.179429091238844,"cg","abs","West","surv",1,1
"TempControl_21psu","VIK",0,"cf","rel","West","len",2,1
"TempControl_21psu","VAT",0.00757575757575801,"cg","abs","West","surv",1,1
"TempControl_21psu","VAT",-1.39431585039842,"cg","rel","West","len",1,1
"TempControl_21psu","HOG",0,"cf","rel","West","surv",3,1
"TempControl_21psu","HOG",0,"cf","rel","West","len",3,1
"TempControl_21psu","VIK",0,"cg","abs","West","surv",2,1
