"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord","pos_fit_off","log_fit_off"
"TempControl_21psu","BAR",0,"cg","rel","surv",4,1,1.001,0.000999500333083423
"TempControl_21psu","VAT",-0.083333333333333,"cg","rel","surv",1,1,0.917666666666667,-0.0859210625076391
"TempControl_21psu","KUR",0.499999999999999,"cg","rel","surv",5,1,1.501,0.406131552651324
"TempControl_21psu","KAL",0,"cg","rel","surv",6,1,1.001,0.000999500333083423
"TempControl_21psu","VIK",0.499999999999999,"cg","rel","surv",2,1,1.501,0.406131552651324
"TempControl_21psu","BJO",0.499999999999999,"cg","rel","surv",8,1,1.501,0.406131552651324
"TempControl_21psu","HOG",-0.090909090909091,"cg","rel","surv",3,1,0.910090909090909,-0.094210784361024
"TempControl_21psu","HOR",0.375,"cg","rel","surv",7,1,1.376,0.319180739511152
"TempControl_7psu","BJO",0.500000000000002,"cg","rel","surv",8,2,1.501,0.406131552651326
"TempControl_7psu","HOR",0.500000000000002,"cg","rel","surv",7,2,1.501,0.406131552651326
"TempControl_7psu","BAR",-0.5,"cg","rel","surv",4,2,0.501,-0.691149177897272
"TempControl_7psu","KAL",-0.333333333333333,"cg","rel","surv",6,2,0.667666666666667,-0.403966231984428
"TempControl_7psu","VIK",1.25,"cg","rel","surv",2,2,2.251,0.811374561924596
"TempControl_7psu","VAT",-0.916666666666667,"cg","rel","surv",1,2,0.0843333333333333,-2.47297807892273
"TempControl_7psu","KUR",0,"cg","rel","surv",5,2,1.001,0.000999500333083423
"TempControl_7psu","HOG",-0.5,"cg","rel","surv",3,2,0.501,-0.691149177897272
"TempWarm_16psu","HOR",7.00000000000001,"cg","rel","surv",7,3,8.00100000000001,2.07956653386799
"TempWarm_16psu","BAR",-0.358333333333334,"cg","rel","surv",4,3,0.642666666666666,-0.442129092479756
"TempWarm_16psu","BJO",4.00000000000001,"cg","rel","surv",8,3,5.00100000000001,1.60963789243677
"TempWarm_16psu","VAT",-0.7,"cg","rel","surv",1,3,0.301,-1.20064501423326
"TempWarm_16psu","HOG",-0.266666666666666,"cg","rel","surv",3,3,0.734333333333334,-0.308792220847903
"TempWarm_16psu","KUR",4.00000000000001,"cg","rel","surv",5,3,5.00100000000001,1.60963789243677
"TempWarm_16psu","VIK",11,"cg","rel","surv",2,3,12.001,2.4849899796493
"TempWarm_16psu","KAL",-0.175,"cg","rel","surv",6,3,0.826,-0.191160505461159
"TempWarm_5psu","HOR",-1,"cg","rel","surv",7,4,0.001,-6.90775527898214
"TempWarm_5psu","HOG",-0.909090909090909,"cg","rel","surv",3,4,0.0919090909090908,-2.38695533276004
"TempWarm_5psu","KUR",-1,"cg","rel","surv",5,4,0.001,-6.90775527898214
"TempWarm_5psu","BAR",-0.909090909090909,"cg","rel","surv",4,4,0.0919090909090908,-2.38695533276004
"TempWarm_5psu","BJO",-1,"cg","rel","surv",8,4,0.001,-6.90775527898214
"TempWarm_5psu","VAT",-1,"cg","rel","surv",1,4,0.001,-6.90775527898214
"TempWarm_5psu","KAL",-0.818181818181818,"cg","rel","surv",6,4,0.182818181818182,-1.69926316200785
"TempWarm_5psu","VIK",-1,"cg","rel","surv",2,4,0.001,-6.90775527898214
"TempControl_21psu","VIK",0.333333333333333,"cf","rel","surv",2,1,1.33433333333333,0.288431791342327
"TempControl_21psu","BAR",0,"cf","rel","surv",4,1,1.001,0.000999500333083423
"TempControl_21psu","KUR",2,"cf","rel","surv",5,1,3.001,1.09894556645823
"TempControl_21psu","KAL",0.499999999999999,"cf","rel","surv",6,1,1.501,0.406131552651324
"TempControl_21psu","HOG",0,"cf","rel","surv",3,1,1.001,0.000999500333083423
"TempControl_21psu","VAT",10,"cf","rel","surv",1,1,11.001,2.3979861777573
"TempControl_21psu","BJO",0,"cf","rel","surv",8,1,1.001,0.000999500333083423
"TempControl_21psu","HOR",0,"cf","rel","surv",7,1,1.001,0.000999500333083423
"TempControl_7psu","BAR",-0.5,"cf","rel","surv",4,2,0.501,-0.691149177897272
"TempControl_7psu","KUR",0,"cf","rel","surv",5,2,1.001,0.000999500333083423
"TempControl_7psu","VIK",0,"cf","rel","surv",2,2,1.001,0.000999500333083423
"TempControl_7psu","BJO",-0.5,"cf","rel","surv",8,2,0.501,-0.691149177897272
"TempControl_7psu","HOR",-0.454545454545455,"cf","rel","surv",7,2,0.546454545454545,-0.604304148741346
"TempControl_7psu","KAL",0,"cf","rel","surv",6,2,1.001,0.000999500333083423
"TempControl_7psu","VAT",0,"cf","rel","surv",1,2,1.001,0.000999500333083423
"TempControl_7psu","HOG",-0.45,"cf","rel","surv",3,2,0.551,-0.596020469829223
"TempWarm_16psu","KAL",0.125,"cf","rel","surv",6,3,1.126,0.118671529717498
"TempWarm_16psu","BAR",-0.416666666666667,"cf","rel","surv",4,3,0.584333333333333,-0.537283682729013
"TempWarm_16psu","KUR",0.250000000000002,"cf","rel","surv",5,3,1.251,0.223943231484776
"TempWarm_16psu","BJO",-0.583333333333333,"cf","rel","surv",8,3,0.417666666666667,-0.873071612754178
"TempWarm_16psu","HOG",-0.266666666666666,"cf","rel","surv",3,3,0.734333333333334,-0.308792220847903
"TempWarm_16psu","HOR",-0.272727272727273,"cf","rel","surv",7,3,0.728272727272727,-0.317079675565391
"TempWarm_16psu","VAT",2.27272727272728,"cf","rel","surv",1,3,3.27372727272728,1.1859291745407
"TempWarm_16psu","VIK",0.333333333333333,"cf","rel","surv",2,3,1.33433333333333,0.288431791342327
"TempWarm_5psu","HOR",-1,"cf","rel","surv",7,4,0.001,-6.90775527898214
"TempWarm_5psu","BAR",-0.916666666666667,"cf","rel","surv",4,4,0.0843333333333333,-2.47297807892273
"TempWarm_5psu","KUR",-1,"cf","rel","surv",5,4,0.001,-6.90775527898214
"TempWarm_5psu","KAL",-0.75,"cf","rel","surv",6,4,0.251,-1.38230233985035
"TempWarm_5psu","BJO",-1,"cf","rel","surv",8,4,0.001,-6.90775527898214
"TempWarm_5psu","HOG",-0.908333333333333,"cf","rel","surv",3,4,0.0926666666666666,-2.37874645395961
"TempWarm_5psu","VAT",-1,"cf","rel","surv",1,4,0.001,-6.90775527898214
"TempWarm_5psu","VIK",-1,"cf","rel","surv",2,4,0.001,-6.90775527898214
"TempControl_21psu","HOG",-0.267092347747658,"cg","rel","len",3,1,0.531290730413116,-0.632445892669504
"TempControl_21psu","BAR",0,"cg","rel","len",4,1,0.798383078160774,-0.225166748897902
"TempControl_21psu","BJO",-0.0184487841237918,"cg","rel","len",8,1,0.779934294036982,-0.248545601260879
"TempControl_21psu","HOR",-0.0928341540128931,"cg","rel","len",7,1,0.705548924147881,-0.348779163321311
"TempControl_21psu","VIK",-0.0322396379136724,"cg","rel","len",2,1,0.766143440247102,-0.266385867964061
"TempControl_21psu","VAT",-0.0802162470412926,"cg","rel","len",1,1,0.718166831119482,-0.331053381604617
"TempControl_21psu","KAL",-0.160271337084941,"cg","rel","len",6,1,0.638111741075833,-0.449241868220959
"TempControl_21psu","KUR",0.529501472344526,"cg","rel","len",5,1,1.3278845505053,0.283587112414722
"TempControl_7psu","KAL",0.0187955389646408,"cg","rel","len",6,2,0.817178617125415,-0.201897582404728
"TempControl_7psu","BJO",-0.346238632517187,"cg","rel","len",8,2,0.452144445643587,-0.793753580193589
"TempControl_7psu","VAT",-0.797383078160774,"cg","rel","len",1,2,0.001,-6.90775527898214
"TempControl_7psu","HOG",-0.0583941094211413,"cg","rel","len",3,2,0.739988968739633,-0.301120000003638
